epoch,train_loss,val_loss,val_perplexity,syntax_validity,learning_rate
1,4.82,4.21,67.3,12.4,2e-05
2,3.89,3.54,34.5,34.2,4e-05
3,3.21,2.98,19.7,52.8,6e-05
4,2.71,2.52,12.4,68.4,8e-05
5,2.34,2.18,8.85,78.6,0.0001
6,2.05,1.94,6.96,85.3,9.9e-05
7,1.82,1.76,5.81,90.1,9.8e-05
8,1.65,1.62,5.05,93.2,9.7e-05
9,1.52,1.52,4.57,94.8,9.5e-05
10,1.41,1.44,4.22,95.2,9.3e-05
12,1.26,1.32,3.74,97.1,8.9e-05
15,1.12,1.21,3.35,98.2,8.3e-05
18,1.02,1.14,3.13,98.8,7.6e-05
20,0.96,1.1,3.0,99.1,7.1e-05
25,0.84,1.01,2.75,99.5,5.9e-05
30,0.76,0.95,2.59,99.7,4.7e-05
35,0.7,0.91,2.48,99.8,3.5e-05
40,0.65,0.87,2.39,99.9,2.4e-05
45,0.61,0.85,2.34,99.9,1.4e-05
47,0.59,0.84,2.32,99.9,1e-05
50,0.58,0.85,2.34,99.9,5e-06
