metal,cn,n_samples,model_top1_correct,model_top1_acc,condfreq_top1_correct,condfreq_top1_acc,delta_top1,delta_top1_pp,model_top5_acc,condfreq_top5_acc,delta_top5
Y,12,12,11,0.916667,6,0.5,0.416667,41.67,1.0,1.0,0.0
Y,9,16,10,0.625,6,0.375,0.25,25.0,1.0,1.0,0.0
Mn,4,24,21,0.875,15,0.625,0.25,25.0,1.0,1.0,0.0
Tc,8,10,9,0.9,7,0.7,0.2,20.0,1.0,1.0,0.0
La,4,26,22,0.846154,17,0.653846,0.192308,19.23,1.0,1.0,0.0
Mo,5,130,115,0.884615,92,0.707692,0.176923,17.69,0.992308,0.976923,0.015385
Fe,11,40,32,0.8,25,0.625,0.175,17.5,1.0,1.0,0.0
Mn,9,100,90,0.9,73,0.73,0.17,17.0,1.0,1.0,0.0
La,11,12,8,0.666667,6,0.5,0.166667,16.67,1.0,1.0,0.0
V,10,18,16,0.888889,13,0.722222,0.166667,16.67,1.0,1.0,0.0
Ru,11,24,24,1.0,20,0.833333,0.166667,16.67,1.0,1.0,0.0
Co,3,12,12,1.0,10,0.833333,0.166667,16.67,1.0,1.0,0.0
W,5,86,76,0.883721,62,0.72093,0.162791,16.28,0.976744,0.988372,-0.011628
Tc,5,20,18,0.9,15,0.75,0.15,15.0,0.95,1.0,-0.05
La,7,34,25,0.735294,20,0.588235,0.147059,14.71,0.911765,1.0,-0.088235
Mn,8,200,175,0.875,146,0.73,0.145,14.5,0.995,0.995,0.0
Fe,13,14,14,1.0,12,0.857143,0.142857,14.29,1.0,1.0,0.0
V,6,158,140,0.886076,118,0.746835,0.139241,13.92,0.993671,1.0,-0.006329
Re,7,410,352,0.858537,296,0.721951,0.136585,13.66,0.992683,0.997561,-0.004878
Re,8,298,254,0.852349,214,0.718121,0.134228,13.42,0.993289,0.993289,0.0
Cr,12,90,79,0.877778,67,0.744444,0.133333,13.33,0.977778,1.0,-0.022222
Mo,7,286,233,0.814685,195,0.681818,0.132867,13.29,0.979021,0.993007,-0.013986
Ti,7,76,72,0.947368,62,0.815789,0.131579,13.16,0.986842,1.0,-0.013158
Mn,6,338,301,0.890533,257,0.760355,0.130178,13.02,0.994083,0.997041,-0.002959
Mn,10,100,87,0.87,74,0.74,0.13,13.0,0.99,0.99,0.0
Fe,12,54,40,0.740741,33,0.611111,0.12963,12.96,0.962963,1.0,-0.037037
V,9,62,51,0.822581,43,0.693548,0.129032,12.9,0.967742,1.0,-0.032258
Re,9,48,43,0.895833,37,0.770833,0.125,12.5,0.979167,1.0,-0.020833
Hf,8,40,35,0.875,30,0.75,0.125,12.5,1.0,1.0,0.0
Re,6,766,679,0.886423,584,0.762402,0.124021,12.4,0.986945,0.994778,-0.007833
Mo,6,642,533,0.830218,457,0.711838,0.11838,11.84,0.981308,0.984424,-0.003115
W,6,550,474,0.861818,410,0.745455,0.116364,11.64,0.970909,0.987273,-0.016364
Fe,7,286,248,0.867133,215,0.751748,0.115385,11.54,0.98951,0.98951,0.0
Co,12,70,56,0.8,48,0.685714,0.114286,11.43,0.971429,1.0,-0.028571
Zr,7,44,41,0.931818,36,0.818182,0.113636,11.36,1.0,1.0,0.0
Ti,5,44,38,0.863636,33,0.75,0.113636,11.36,1.0,0.977273,0.022727
Co,9,56,44,0.785714,38,0.678571,0.107143,10.71,1.0,0.982143,0.017857
Mo,9,106,90,0.849057,79,0.745283,0.103774,10.38,0.971698,0.990566,-0.018868
Cr,10,20,17,0.85,15,0.75,0.1,10.0,1.0,1.0,0.0
Hf,9,10,8,0.8,7,0.7,0.1,10.0,0.9,1.0,-0.1
Rh,10,10,9,0.9,8,0.8,0.1,10.0,1.0,1.0,0.0
Mn,7,208,187,0.899038,167,0.802885,0.096154,9.62,0.990385,1.0,-0.009615
Re,5,128,101,0.789062,89,0.695312,0.09375,9.38,0.960938,0.992188,-0.03125
Zr,13,54,51,0.944444,46,0.851852,0.092593,9.26,1.0,1.0,0.0
La,13,22,15,0.681818,13,0.590909,0.090909,9.09,1.0,1.0,0.0
Fe,10,156,137,0.878205,123,0.788462,0.089744,8.97,0.987179,0.99359,-0.00641
Co,11,56,45,0.803571,40,0.714286,0.089286,8.93,1.0,1.0,0.0
Cr,7,34,31,0.911765,28,0.823529,0.088235,8.82,1.0,1.0,0.0
Hf,5,46,43,0.934783,39,0.847826,0.086957,8.7,1.0,1.0,0.0
Fe,14,46,35,0.76087,31,0.673913,0.086957,8.7,1.0,1.0,0.0
Co,8,162,128,0.790123,114,0.703704,0.08642,8.64,0.981481,0.987654,-0.006173
Sc,10,12,10,0.833333,9,0.75,0.083333,8.33,1.0,1.0,0.0
Zr,9,24,19,0.791667,17,0.708333,0.083333,8.33,0.916667,1.0,-0.083333
V,7,92,73,0.793478,66,0.717391,0.076087,7.61,0.978261,1.0,-0.021739
Mn,11,14,13,0.928571,12,0.857143,0.071429,7.14,1.0,1.0,0.0
Ti,13,14,14,1.0,13,0.928571,0.071429,7.14,1.0,1.0,0.0
Os,8,70,65,0.928571,60,0.857143,0.071429,7.14,0.985714,0.985714,0.0
Mo,11,14,9,0.642857,8,0.571429,0.071429,7.14,1.0,1.0,0.0
Zr,11,28,27,0.964286,25,0.892857,0.071429,7.14,1.0,1.0,0.0
Cr,6,198,162,0.818182,148,0.747475,0.070707,7.07,0.969697,0.994949,-0.025253
V,8,88,70,0.795455,64,0.727273,0.068182,6.82,1.0,1.0,0.0
Co,5,88,77,0.875,71,0.806818,0.068182,6.82,0.988636,1.0,-0.011364
Co,10,154,122,0.792208,112,0.727273,0.064935,6.49,0.967532,1.0,-0.032468
Os,7,128,115,0.898438,107,0.835938,0.0625,6.25,0.984375,1.0,-0.015625
Mo,10,32,29,0.90625,27,0.84375,0.0625,6.25,1.0,1.0,0.0
Os,10,16,12,0.75,11,0.6875,0.0625,6.25,1.0,1.0,0.0
Fe,8,528,456,0.863636,423,0.801136,0.0625,6.25,0.982955,0.984848,-0.001894
Ir,4,82,75,0.914634,70,0.853659,0.060976,6.1,0.987805,1.0,-0.012195
Mn,5,50,43,0.86,40,0.8,0.06,6.0,0.96,1.0,-0.04
Ir,3,34,29,0.852941,27,0.794118,0.058824,5.88,1.0,0.970588,0.029412
Fe,6,524,433,0.826336,403,0.769084,0.057252,5.73,0.977099,0.990458,-0.013359
V,5,70,61,0.871429,57,0.814286,0.057143,5.71,1.0,1.0,0.0
Re,10,54,49,0.907407,46,0.851852,0.055556,5.56,0.981481,1.0,-0.018519
Tc,9,18,18,1.0,17,0.944444,0.055556,5.56,1.0,1.0,0.0
Co,6,128,98,0.765625,91,0.710938,0.054688,5.47,0.976562,1.0,-0.023438
Ti,6,168,145,0.863095,136,0.809524,0.053571,5.36,1.0,0.994048,0.005952
Ru,6,862,763,0.885151,717,0.831787,0.053364,5.34,0.984919,0.99652,-0.011601
Zr,6,150,132,0.88,124,0.826667,0.053333,5.33,1.0,1.0,0.0
Fe,9,190,169,0.889474,159,0.836842,0.052632,5.26,0.973684,1.0,-0.026316
Rh,4,218,195,0.894495,184,0.844037,0.050459,5.05,0.990826,0.995413,-0.004587
Nb,7,20,18,0.9,17,0.85,0.05,5.0,1.0,1.0,0.0
Ru,8,544,469,0.862132,443,0.814338,0.047794,4.78,0.981618,0.998162,-0.016544
Y,8,42,32,0.761905,30,0.714286,0.047619,4.76,0.952381,1.0,-0.047619
Ta,5,64,51,0.796875,48,0.75,0.046875,4.69,0.96875,1.0,-0.03125
Rh,3,22,22,1.0,21,0.954545,0.045455,4.55,1.0,1.0,0.0
La,6,44,40,0.909091,38,0.863636,0.045455,4.55,0.977273,1.0,-0.022727
Nb,6,46,39,0.847826,37,0.804348,0.043478,4.35,0.978261,1.0,-0.021739
Mo,8,164,129,0.786585,122,0.743902,0.042683,4.27,0.987805,0.987805,0.0
Fe,4,240,205,0.854167,195,0.8125,0.041667,4.17,0.983333,0.995833,-0.0125
W,11,24,19,0.791667,18,0.75,0.041667,4.17,0.875,1.0,-0.125
Re,4,24,19,0.791667,18,0.75,0.041667,4.17,1.0,1.0,0.0
La,5,24,21,0.875,20,0.833333,0.041667,4.17,0.958333,1.0,-0.041667
Hf,4,24,22,0.916667,21,0.875,0.041667,4.17,1.0,1.0,0.0
Ti,8,172,150,0.872093,143,0.831395,0.040698,4.07,0.976744,0.988372,-0.011628
Tc,6,52,45,0.865385,43,0.826923,0.038462,3.85,1.0,1.0,0.0
Ta,3,26,25,0.961538,24,0.923077,0.038462,3.85,1.0,1.0,0.0
W,9,104,80,0.769231,76,0.730769,0.038462,3.85,0.942308,1.0,-0.057692
Ir,5,188,166,0.882979,159,0.845745,0.037234,3.72,0.989362,0.989362,0.0
Ru,10,200,168,0.84,161,0.805,0.035,3.5,0.975,1.0,-0.025
Tc,7,30,29,0.966667,28,0.933333,0.033333,3.33,1.0,1.0,0.0
Y,3,30,27,0.9,26,0.866667,0.033333,3.33,1.0,1.0,0.0
Hf,6,60,52,0.866667,50,0.833333,0.033333,3.33,1.0,1.0,0.0
Y,4,62,52,0.83871,50,0.806452,0.032258,3.23,1.0,1.0,0.0
W,10,62,51,0.822581,49,0.790323,0.032258,3.23,1.0,1.0,0.0
Rh,6,270,246,0.911111,238,0.881481,0.02963,2.96,0.992593,0.988889,0.003704
Ta,4,36,32,0.888889,31,0.861111,0.027778,2.78,1.0,1.0,0.0
Os,6,192,170,0.885417,165,0.859375,0.026042,2.6,0.989583,1.0,-0.010417
Ti,4,40,36,0.9,35,0.875,0.025,2.5,1.0,1.0,0.0
Rh,7,86,77,0.895349,75,0.872093,0.023256,2.33,0.965116,1.0,-0.034884
Cr,4,44,40,0.909091,39,0.886364,0.022727,2.27,1.0,1.0,0.0
Ta,6,96,81,0.84375,79,0.822917,0.020833,2.08,1.0,1.0,0.0
Y,6,52,41,0.788462,40,0.769231,0.019231,1.92,0.980769,1.0,-0.019231
W,7,166,134,0.807229,131,0.789157,0.018072,1.81,0.96988,0.987952,-0.018072
Os,5,62,56,0.903226,55,0.887097,0.016129,1.61,1.0,1.0,0.0
Zr,12,210,194,0.92381,191,0.909524,0.014286,1.43,0.995238,0.995238,0.0
Ru,7,422,362,0.85782,356,0.843602,0.014218,1.42,0.978673,0.99763,-0.018957
Ir,6,636,545,0.856918,536,0.842767,0.014151,1.42,0.960692,0.993711,-0.033019
Ir,8,558,484,0.867384,478,0.856631,0.010753,1.08,0.96595,0.994624,-0.028674
Fe,5,318,266,0.836478,264,0.830189,0.006289,0.63,0.974843,0.990566,-0.015723
Ru,9,1092,959,0.878205,953,0.872711,0.005495,0.55,0.988095,0.994505,-0.00641
Ru,2,16,16,1.0,16,1.0,0.0,0.0,1.0,1.0,0.0
Fe,15,12,9,0.75,9,0.75,0.0,0.0,1.0,1.0,0.0
Os,4,30,29,0.966667,29,0.966667,0.0,0.0,1.0,1.0,0.0
Rh,9,56,50,0.892857,50,0.892857,0.0,0.0,0.982143,1.0,-0.017857
Co,7,66,56,0.848485,56,0.848485,0.0,0.0,0.984848,1.0,-0.015152
Ir,9,42,40,0.952381,40,0.952381,0.0,0.0,0.97619,1.0,-0.02381
Ru,12,14,10,0.714286,10,0.714286,0.0,0.0,1.0,1.0,0.0
Zr,4,16,14,0.875,14,0.875,0.0,0.0,1.0,1.0,0.0
Hf,10,26,21,0.807692,21,0.807692,0.0,0.0,1.0,1.0,0.0
Ti,11,26,24,0.923077,24,0.923077,0.0,0.0,1.0,1.0,0.0
Ti,9,56,49,0.875,49,0.875,0.0,0.0,0.964286,1.0,-0.035714
La,9,26,17,0.653846,17,0.653846,0.0,0.0,0.923077,1.0,-0.076923
La,12,16,11,0.6875,11,0.6875,0.0,0.0,0.9375,1.0,-0.0625
Sc,9,10,10,1.0,10,1.0,0.0,0.0,1.0,1.0,0.0
La,8,32,22,0.6875,22,0.6875,0.0,0.0,0.9375,1.0,-0.0625
Ti,14,18,17,0.944444,17,0.944444,0.0,0.0,1.0,1.0,0.0
Sc,7,28,22,0.785714,22,0.785714,0.0,0.0,0.964286,1.0,-0.035714
Sc,6,54,49,0.907407,49,0.907407,0.0,0.0,1.0,1.0,0.0
Re,11,12,11,0.916667,11,0.916667,0.0,0.0,1.0,1.0,0.0
W,4,14,12,0.857143,12,0.857143,0.0,0.0,0.857143,1.0,-0.142857
Zr,5,48,45,0.9375,45,0.9375,0.0,0.0,1.0,1.0,0.0
Zr,8,90,73,0.811111,73,0.811111,0.0,0.0,0.955556,1.0,-0.044444
Hf,12,36,33,0.916667,33,0.916667,0.0,0.0,1.0,1.0,0.0
V,4,40,33,0.825,33,0.825,0.0,0.0,0.9,1.0,-0.1
Cr,8,28,22,0.785714,22,0.785714,0.0,0.0,0.892857,1.0,-0.107143
W,8,186,137,0.736559,137,0.736559,0.0,0.0,0.956989,0.989247,-0.032258
Mo,4,36,30,0.833333,30,0.833333,0.0,0.0,1.0,1.0,0.0
Cr,11,24,20,0.833333,20,0.833333,0.0,0.0,0.958333,1.0,-0.041667
Cr,5,42,35,0.833333,35,0.833333,0.0,0.0,1.0,1.0,0.0
Ru,5,312,273,0.875,274,0.878205,-0.003205,-0.32,0.967949,0.996795,-0.028846
Rh,5,136,120,0.882353,122,0.897059,-0.014706,-1.47,0.985294,1.0,-0.014706
Y,5,56,45,0.803571,46,0.821429,-0.017857,-1.79,1.0,1.0,0.0
Rh,8,346,295,0.852601,302,0.872832,-0.020231,-2.02,0.971098,0.985549,-0.014451
Zr,10,48,39,0.8125,40,0.833333,-0.020833,-2.08,0.979167,1.0,-0.020833
Ru,4,46,38,0.826087,39,0.847826,-0.021739,-2.17,1.0,1.0,0.0
Zr,14,44,38,0.863636,39,0.886364,-0.022727,-2.27,0.954545,1.0,-0.045455
Ir,7,132,110,0.833333,113,0.856061,-0.022727,-2.27,1.0,1.0,0.0
Co,4,120,94,0.783333,98,0.816667,-0.033333,-3.33,0.966667,1.0,-0.033333
Ti,12,84,72,0.857143,75,0.892857,-0.035714,-3.57,0.97619,1.0,-0.02381
Nb,5,18,17,0.944444,18,1.0,-0.055556,-5.56,1.0,1.0,0.0
Fe,3,70,61,0.871429,65,0.928571,-0.057143,-5.71,0.971429,1.0,-0.028571
Y,7,52,40,0.769231,43,0.826923,-0.057692,-5.77,0.942308,1.0,-0.057692
Ti,10,34,28,0.823529,30,0.882353,-0.058824,-5.88,0.970588,1.0,-0.029412
Sc,5,50,43,0.86,46,0.92,-0.06,-6.0,0.96,1.0,-0.04
Os,9,50,43,0.86,46,0.92,-0.06,-6.0,1.0,1.0,0.0
Nb,4,16,13,0.8125,14,0.875,-0.0625,-6.25,1.0,1.0,0.0
Mo,12,14,11,0.785714,12,0.857143,-0.071429,-7.14,1.0,1.0,0.0
Ru,3,14,12,0.857143,13,0.928571,-0.071429,-7.14,1.0,1.0,0.0
Ta,7,34,24,0.705882,27,0.794118,-0.088235,-8.82,0.941176,1.0,-0.058824
Nb,9,10,8,0.8,9,0.9,-0.1,-10.0,0.9,1.0,-0.1
Sc,4,30,25,0.833333,28,0.933333,-0.1,-10.0,1.0,1.0,0.0
Sc,8,18,14,0.777778,16,0.888889,-0.111111,-11.11,0.944444,1.0,-0.055556
La,3,18,14,0.777778,16,0.888889,-0.111111,-11.11,0.944444,1.0,-0.055556
Hf,11,14,12,0.857143,14,1.0,-0.142857,-14.29,0.928571,1.0,-0.071429
Ta,8,26,18,0.692308,22,0.846154,-0.153846,-15.38,0.961538,1.0,-0.038462
Ta,9,12,10,0.833333,12,1.0,-0.166667,-16.67,1.0,1.0,0.0
Nb,8,12,8,0.666667,10,0.833333,-0.166667,-16.67,1.0,1.0,0.0
Fe,2,22,15,0.681818,21,0.954545,-0.272727,-27.27,1.0,1.0,0.0
Cr,9,14,7,0.5,12,0.857143,-0.357143,-35.71,0.857143,1.0,-0.142857
