,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Sc,,,-10.0,-6.0,0.0,0.0,-11.11,0.0,8.33,,,,,
Ti,,,2.5,11.36,5.36,13.16,4.07,0.0,-5.88,0.0,-3.57,7.14,0.0,
V,,,0.0,5.71,13.92,7.61,6.82,12.9,16.67,,,,,
Cr,,,2.27,0.0,7.07,8.82,0.0,-35.71,10.0,0.0,13.33,,,
Mn,,,25.0,6.0,13.02,9.62,14.5,17.0,13.0,7.14,,,,
Fe,-27.27,-5.71,4.17,0.63,5.73,11.54,6.25,5.26,8.97,17.5,12.96,14.29,8.7,0.0
Co,,16.67,-3.33,6.82,5.47,0.0,8.64,10.71,6.49,8.93,11.43,,,
Ni,,,,,,,,,,,,,,
Cu,,,,,,,,,,,,,,
Zn,,,,,,,,,,,,,,
Y,,3.33,3.23,-1.79,1.92,-5.77,4.76,25.0,,,41.67,,,
Zr,,,0.0,0.0,5.33,11.36,0.0,8.33,-2.08,7.14,1.43,9.26,-2.27,
Nb,,,-6.25,-5.56,4.35,5.0,-16.67,-10.0,,,,,,
Mo,,,0.0,17.69,11.84,13.29,4.27,10.38,6.25,7.14,-7.14,,,
Tc,,,,15.0,3.85,3.33,20.0,5.56,,,,,,
Ru,0.0,-7.14,-2.17,-0.32,5.34,1.42,4.78,0.55,3.5,16.67,0.0,,,
Rh,,4.55,5.05,-1.47,2.96,2.33,-2.02,0.0,10.0,,,,,
Pd,,,,,,,,,,,,,,
Ag,,,,,,,,,,,,,,
Cd,,,,,,,,,,,,,,
La,,-11.11,19.23,4.17,4.55,14.71,0.0,0.0,,16.67,0.0,9.09,,
Hf,,,4.17,8.7,3.33,,12.5,10.0,0.0,-14.29,0.0,,,
Ta,,3.85,2.78,4.69,2.08,-8.82,-15.38,-16.67,,,,,,
W,,,0.0,16.28,11.64,1.81,0.0,3.85,3.23,4.17,,,,
Re,,,4.17,9.38,12.4,13.66,13.42,12.5,5.56,0.0,,,,
Os,,,0.0,1.61,2.6,6.25,7.14,-6.0,6.25,,,,,
Ir,,5.88,6.1,3.72,1.42,-2.27,1.08,0.0,,,,,,
Pt,,,,,,,,,,,,,,
Au,,,,,,,,,,,,,,
Hg,,,,,,,,,,,,,,
