sample_id,metal,cn,target_donor,condfreq_prediction,model_prediction,model_confidence,model_top2,model_top2_prob,model_top3,model_top3_prob
tmqm_268_donor_261,La,3,S,C,S,0.9999922513961792,P,6.444730388466269e-06,A,1.137553795160784e-06
tmqm_958_donor_229,Ti,5,S,C,S,0.9999802112579346,P,1.662838985794224e-05,[,1.4380349284692784e-06
tmqm_358_donor_170,Sc,6,S,C,S,0.9999699592590332,P,2.153822424588725e-05,A,7.618852123414399e-06
tmqm_1774_donor_194,V,4,S,C,S,0.9999470710754396,P,5.142624650034122e-05,A,1.2102416349080158e-06
tmqm_243_donor_172,Y,7,S,C,S,0.9999450445175172,P,3.627415935625322e-05,[,1.0449369256093632e-05
tmqm_5477_donor_198,Fe,9,S,C,S,0.999942660331726,P,3.873984314850532e-05,A,1.039130802382715e-05
tmqm_4393_donor_28,Re,6,P,C,P,0.999895453453064,[,6.973673589527607e-05,S,3.424648093641736e-05
tmqm_1774_donor_188,V,4,S,C,S,0.999890923500061,A,6.293771002674475e-05,P,4.0076516597764567e-05
tmqm_6140_donor_27,Fe,4,S,C,S,0.9998822212219238,P,0.0001053516898537,A,9.063880497706124e-06
tmqm_1008_donor_165,Zr,7,S,C,S,0.9998464584350586,P,0.000112415960757,A,3.70439920516219e-05
tmqm_2314_donor_104,Mo,6,O,C,O,0.999806582927704,N,0.0001240466517629,S,4.366589928395115e-05
tmqm_6541_donor_250,Fe,7,O,C,O,0.9998014569282532,N,0.0001214538569911,C,5.185862028156407e-05
tmqm_4660_donor_104,Re,7,O,C,O,0.9997937083244324,N,0.0001373257837258,S,4.378075755084865e-05
tmqm_8283_donor_107,Rh,4,O,C,O,0.9997482895851136,I,0.0001319692819379,N,7.142656249925494e-05
tmqm_3651_donor_154,Re,7,O,C,O,0.9997430443763732,N,0.0001675950770732,C,2.5326346076326445e-05
tmqm_7122_donor_104,Fe,7,O,C,O,0.99972802400589,N,0.0001574176421854,I,4.873613943345845e-05
tmqm_1058_donor_87,Zr,12,S,C,S,0.9997139573097228,P,0.0002188316284446,A,6.585975643247366e-05
tmqm_2238_donor_141,Mo,6,O,C,O,0.9996947050094604,I,0.0001583343982929,N,7.656551315449178e-05
tmqm_2720_donor_211,W,6,O,C,O,0.9996933937072754,N,0.0001589102466823,S,5.92302021686919e-05
tmqm_1204_donor_126,Zr,13,S,C,S,0.9996864795684814,P,0.0001563750993227,[,0.0001325640478171
tmqm_3084_donor_187,W,6,S,C,S,0.9996761083602904,P,0.0002963442530017,A,2.4729231881792657e-05
tmqm_1968_donor_109,Cr,6,O,C,O,0.9996622800827026,N,0.0002493445645086,I,2.818972097884398e-05
tmqm_2494_donor_162,W,6,O,C,O,0.9996514320373536,N,0.0002104929590132,S,4.104384424863383e-05
tmqm_4735_donor_104,Re,6,O,C,O,0.9996457099914552,N,0.0002114502713084,I,9.340158430859448e-05
tmqm_7559_donor_177,Ru,6,S,C,S,0.9996457099914552,P,0.0003263619437348,A,2.635950477269944e-05
tmqm_4421_donor_38,Mn,9,O,C,O,0.9996446371078492,S,0.0001305347395827,N,0.0001052057777997
tmqm_3606_donor_211,Re,8,O,C,O,0.9996334314346312,N,0.0001451943826396,S,0.0001447784743504
tmqm_45_donor_83,Sc,7,S,C,S,0.999620795249939,P,0.0003705246490426,A,5.108141522214282e-06
tmqm_3484_donor_16,Mn,8,O,C,O,0.9996191263198853,N,0.0001564307749504,F,4.826434451388195e-05
tmqm_794_donor_87,Hf,5,S,C,S,0.9996180534362792,P,0.0002608451468404,A,0.0001186720255645
