sample_id,metal,cn,target_donor,condfreq_prediction,model_prediction,model_confidence,model_top2,model_top2_prob,model_top3,model_top3_prob
tmqm_268_donor_261,La,3,S,C,S,0.9999922513961792,P,6.444730388466269e-06,A,1.137553795160784e-06
tmqm_958_donor_229,Ti,5,S,C,S,0.9999802112579346,P,1.662838985794224e-05,[,1.4380349284692784e-06
tmqm_358_donor_170,Sc,6,S,C,S,0.9999699592590332,P,2.153822424588725e-05,A,7.618852123414399e-06
tmqm_1774_donor_194,V,4,S,C,S,0.9999470710754395,P,5.142624650034122e-05,A,1.2102416349080158e-06
tmqm_243_donor_172,Y,7,S,C,S,0.9999450445175171,P,3.627415935625322e-05,[,1.0449369256093632e-05
tmqm_5477_donor_198,Fe,9,S,C,S,0.9999426603317261,P,3.8739843148505315e-05,A,1.039130802382715e-05
tmqm_4393_donor_28,Re,6,P,C,P,0.999895453453064,[,6.973673589527607e-05,S,3.4246480936417356e-05
tmqm_1774_donor_188,V,4,S,C,S,0.999890923500061,A,6.293771002674475e-05,P,4.0076516597764567e-05
tmqm_6140_donor_27,Fe,4,S,C,S,0.9998822212219238,P,0.00010535168985370547,A,9.063880497706123e-06
tmqm_1008_donor_165,Zr,7,S,C,S,0.9998464584350586,P,0.00011241596075706184,A,3.70439920516219e-05
tmqm_2314_donor_104,Mo,6,O,C,O,0.9998065829277039,N,0.0001240466517629102,S,4.366589928395115e-05
tmqm_6541_donor_250,Fe,7,O,C,O,0.9998014569282532,N,0.00012145385699113831,C,5.185862028156407e-05
tmqm_4660_donor_104,Re,7,O,C,O,0.9997937083244324,N,0.00013732578372582793,S,4.378075755084865e-05
tmqm_8283_donor_107,Rh,4,O,C,O,0.9997482895851135,I,0.000131969281937927,N,7.142656249925494e-05
tmqm_3651_donor_154,Re,7,O,C,O,0.9997430443763733,N,0.00016759507707320154,C,2.5326346076326445e-05
tmqm_7122_donor_104,Fe,7,O,C,O,0.9997280240058899,N,0.0001574176421854645,I,4.873613943345845e-05
tmqm_1058_donor_87,Zr,12,S,C,S,0.9997139573097229,P,0.00021883162844460458,A,6.585975643247366e-05
tmqm_2238_donor_141,Mo,6,O,C,O,0.9996947050094604,I,0.00015833439829293638,N,7.656551315449178e-05
tmqm_2720_donor_211,W,6,O,C,O,0.9996933937072754,N,0.00015891024668235332,S,5.92302021686919e-05
tmqm_1204_donor_126,Zr,13,S,C,S,0.9996864795684814,P,0.00015637509932275862,[,0.00013256404781714082
tmqm_3084_donor_187,W,6,S,C,S,0.9996761083602905,P,0.0002963442530017346,A,2.4729231881792657e-05
tmqm_1968_donor_109,Cr,6,O,C,O,0.9996622800827026,N,0.0002493445645086467,I,2.818972097884398e-05
tmqm_2494_donor_162,W,6,O,C,O,0.9996514320373535,N,0.00021049295901320875,S,4.104384424863383e-05
tmqm_4735_donor_104,Re,6,O,C,O,0.9996457099914551,N,0.0002114502713084221,I,9.340158430859447e-05
tmqm_7559_donor_177,Ru,6,S,C,S,0.9996457099914551,P,0.00032636194373480976,A,2.6359504772699438e-05
tmqm_4421_donor_38,Mn,9,O,C,O,0.9996446371078491,S,0.00013053473958279938,N,0.00010520577779971063
tmqm_3606_donor_211,Re,8,O,C,O,0.9996334314346313,N,0.00014519438263960183,S,0.00014477847435045987
tmqm_45_donor_83,Sc,7,S,C,S,0.999620795249939,P,0.00037052464904263616,A,5.108141522214282e-06
tmqm_3484_donor_16,Mn,8,O,C,O,0.9996191263198853,N,0.00015643077495042235,F,4.826434451388195e-05
tmqm_794_donor_87,Hf,5,S,C,S,0.9996180534362793,P,0.00026084514684043825,A,0.00011867202556459233
