cn,n_samples,top1_correct,top1_acc,top1_acc_pct,top5_correct,top5_acc,top5_acc_pct
2,32,32,1.0,100.0,32,1.0,100.0
3,111,106,0.954955,95.5,106,0.954955,95.5
4,565,536,0.948673,94.87,546,0.966372,96.64
5,967,919,0.950362,95.04,941,0.973113,97.31
6,2877,2819,0.97984,97.98,2841,0.987487,98.75
7,1305,1281,0.981609,98.16,1286,0.985441,98.54
8,1782,1769,0.992705,99.27,1773,0.994949,99.49
9,1037,1018,0.981678,98.17,1023,0.9865,98.65
10,472,467,0.989407,98.94,467,0.989407,98.94
11,153,150,0.980392,98.04,153,1.0,100.0
12,299,292,0.976589,97.66,295,0.986622,98.66
13,62,59,0.951613,95.16,60,0.967742,96.77
14,59,59,1.0,100.0,59,1.0,100.0
