metal,cn,n_samples,model_top1_correct,model_top1_acc,condfreq_top1_correct,condfreq_top1_acc,delta_top1,delta_top1_pp,model_top5_acc,condfreq_top5_acc,delta_top5
Y,12,12,11,0.916667,6,0.5,0.416667,41.67,1.0,1.0,0.0
Y,9,16,10,0.625,6,0.375,0.25,25.0,1.0,1.0,0.0
Mn,4,24,21,0.875,15,0.625,0.25,25.0,1.0,1.0,0.0
Tc,8,10,9,0.9,7,0.7,0.2,20.0,1.0,1.0,0.0
La,4,26,22,0.846154,17,0.653846,0.192308,19.23,1.0,1.0,0.0
Mo,5,130,115,0.884615,92,0.707692,0.176923,17.69,0.992308,0.976923,0.015385
Fe,11,40,32,0.8,25,0.625,0.175,17.5,1.0,1.0,0.0
Mn,9,100,90,0.9,73,0.73,0.17,17.0,1.0,1.0,0.0
La,11,12,8,0.666667,6,0.5,0.166667,16.67,1.0,1.0,0.0
V,10,18,16,0.888889,13,0.722222,0.166667,16.67,1.0,1.0,0.0
Ru,11,24,24,1.0,20,0.833333,0.166667,16.67,1.0,1.0,0.0
Co,3,12,12,1.0,10,0.833333,0.166667,16.67,1.0,1.0,0.0
W,5,86,76,0.883721,62,0.72093,0.162791,16.28,0.976744,0.988372,-0.011628
Tc,5,20,18,0.9,15,0.75,0.15,15.0,0.95,1.0,-0.05
La,7,34,25,0.735294,20,0.588235,0.147059,14.71,0.911765,1.0,-0.088235
Mn,8,200,175,0.875,146,0.73,0.145,14.5,0.995,0.995,0.0
Fe,13,14,14,1.0,12,0.857143,0.142857,14.29,1.0,1.0,0.0
V,6,158,140,0.886076,118,0.746835,0.139241,13.92,0.993671,1.0,-0.006329
Re,7,410,352,0.858537,296,0.721951,0.136585,13.66,0.992683,0.997561,-0.004878
Re,8,298,254,0.852349,214,0.718121,0.134228,13.42,0.993289,0.993289,0.0
