threshold,n_samples,n_correct,coverage,coverage_pct,accuracy,accuracy_pct
0.05,19992,17135,1.0,100.0,0.857093,85.71
0.1,19992,17135,1.0,100.0,0.857093,85.71
0.15,19991,17135,0.99995,99.99,0.857136,85.71
0.2,19960,17130,0.998399,99.84,0.858216,85.82
0.25,19874,17115,0.994098,99.41,0.861175,86.12
0.3,19724,17083,0.986595,98.66,0.866102,86.61
0.35,19546,17027,0.977691,97.77,0.871125,87.11
0.4,19289,16935,0.964836,96.48,0.877962,87.8
0.45,19011,16839,0.95093,95.09,0.88575,88.58
0.5,18614,16673,0.931072,93.11,0.895724,89.57
0.55,18216,16482,0.911164,91.12,0.904809,90.48
0.6,17821,16262,0.891407,89.14,0.912519,91.25
0.65,17410,16034,0.870848,87.08,0.920965,92.1
0.7,16907,15720,0.845688,84.57,0.929792,92.98
0.75,16372,15359,0.818928,81.89,0.938126,93.81
0.8,15708,14874,0.785714,78.57,0.946906,94.69
0.85,14858,14208,0.743197,74.32,0.956253,95.63
0.85,14858,14208,0.743197,74.32,0.956253,95.63
0.9,13834,13334,0.691977,69.2,0.963857,96.39
0.9,13834,13334,0.691977,69.2,0.963857,96.39
0.95,12373,12058,0.618898,61.89,0.974541,97.45
0.95,12373,12058,0.618898,61.89,0.974541,97.45
0.99,8389,8303,0.419618,41.96,0.989748,98.97
