CN,bl_random_top1,bl_frequency_top1,bl_rule_validator_top1,mlm_pll_top1,ranker_frozen_top1,ranker_finetuned_top1,bl_random_mrr,bl_frequency_mrr,bl_rule_validator_mrr,mlm_pll_mrr,ranker_frozen_mrr,ranker_finetuned_mrr,n
2,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.25,0.1111,0.3333,1.0,1
3,0.0476,0.0476,0.0,0.0,0.0952,0.0952,0.2218,0.1835,0.1683,0.1187,0.2764,0.3243,21
4,0.1414,0.0303,0.1111,0.0,0.0606,0.0909,0.286,0.1694,0.2418,0.1106,0.2204,0.2853,99
5,0.0789,0.0592,0.0395,0.0,0.0461,0.0724,0.2118,0.2138,0.1773,0.1147,0.2165,0.2698,152
6,0.0721,0.0473,0.0653,0.0135,0.0518,0.1622,0.2151,0.1959,0.2056,0.1248,0.226,0.3595,444
7,0.065,0.06,0.075,0.0,0.015,0.135,0.2185,0.2029,0.2277,0.1072,0.1962,0.3499,200
8,0.0551,0.0588,0.0662,0.0,0.0184,0.1029,0.2071,0.1994,0.2081,0.1059,0.1886,0.3031,272
9,0.0897,0.0321,0.0769,0.0,0.0641,0.1538,0.2369,0.1805,0.2293,0.1107,0.2576,0.3768,156
10,0.0455,0.0455,0.0455,0.0,0.0303,0.1061,0.1922,0.1971,0.173,0.1075,0.2199,0.3083,66
11,0.0357,0.1071,0.1071,0.0,0.0357,0.1071,0.1912,0.2414,0.2342,0.1086,0.197,0.2999,28
12,0.0455,0.0,0.0909,0.0,0.0227,0.1591,0.1825,0.1387,0.251,0.109,0.1814,0.3621,44
13,0.0,0.1,0.0,0.0,0.0,0.3,0.0944,0.2802,0.1482,0.1117,0.1515,0.49,10
14,0.0,0.0,0.2857,0.0,0.0,0.1429,0.1169,0.2218,0.3575,0.1131,0.23,0.348,7
15,0.0,1.0,0.0,0.0,0.0,1.0,0.3333,1.0,0.125,0.1667,0.25,1.0,1
