complex_id,metal,CN,metal_row,n_decoys,ranker_finetuned_mrr,ranker_finetuned_margin,mlm_pll_top1,bl_rule_validator_top1
tmqm_4054,Tc,8,4d,17,0.125,-4.9356,0,0
tmqm_3817,Tc,6,4d,17,0.1429,-4.6292,0,0
tmqm_5783,Os,8,5d,14,0.1,-4.5365,0,0
tmqm_536,Hf,8,5d,14,0.2,-3.9659,0,0
tmqm_6320,Fe,6,3d,17,0.1667,-3.9515,0,0
tmqm_3675,Mn,8,3d,17,0.1429,-3.6206,0,0
tmqm_1749,Nb,9,4d,15,0.125,-3.5021,0,0
tmqm_750,Ti,7,3d,17,0.1111,-3.4746,0,0
tmqm_1994,W,6,5d,14,0.0833,-3.2236,0,0
tmqm_778,Hf,6,5d,15,0.0769,-3.1413,0,0
tmqm_1363,Ta,8,5d,14,0.1111,-3.0532,0,0
tmqm_8237,Ir,7,5d,17,0.1429,-3.0495,0,0
tmqm_1722,Ta,8,5d,15,0.1,-2.9952,0,0
tmqm_900,Hf,7,5d,15,0.0833,-2.9708,0,0
tmqm_32,Y,7,4d,15,0.1,-2.9308,0,0
tmqm_838,Hf,8,5d,15,0.0769,-2.898,0,1
tmqm_1838,Mo,12,4d,14,0.125,-2.8678,0,0
tmqm_9902,Co,5,3d,14,0.0714,-2.8431,0,0
tmqm_3347,Tc,8,4d,17,0.125,-2.8421,0,0
tmqm_689,Hf,12,5d,17,0.0769,-2.8315,0,0
tmqm_2701,W,7,5d,14,0.125,-2.8081,0,1
tmqm_425,Hf,12,5d,15,0.125,-2.7859,0,0
tmqm_822,Zr,6,4d,17,0.125,-2.7657,0,0
tmqm_2208,Mo,6,4d,14,0.1429,-2.7571,0,0
tmqm_7852,Fe,4,3d,14,0.1111,-2.749,0,0
tmqm_1604,Nb,6,4d,17,0.125,-2.7209,0,0
tmqm_4184,Re,10,5d,13,0.1111,-2.7173,0,0
tmqm_212,Y,6,4d,14,0.1111,-2.6988,0,0
tmqm_2390,W,7,5d,17,0.1667,-2.6906,0,0
tmqm_7963,Ru,10,4d,17,0.1429,-2.648,0,0
tmqm_9114,Rh,6,4d,17,0.0667,-2.6252,0,0
tmqm_4113,Mn,7,3d,17,0.1,-2.5708,0,0
tmqm_7341,Os,8,5d,17,0.1429,-2.5415,0,1
tmqm_638,Ti,12,3d,15,0.1429,-2.5263,0,1
tmqm_2560,Cr,6,3d,17,0.1,-2.484,0,0
tmqm_1807,W,8,5d,15,0.1667,-2.4668,0,0
tmqm_4485,Tc,6,4d,17,0.2,-2.437,0,0
tmqm_4174,Tc,6,4d,17,0.1667,-2.437,0,0
tmqm_8008,Ru,5,4d,14,0.1667,-2.4252,0,0
tmqm_7485,Os,8,5d,15,0.125,-2.4154,0,0
tmqm_9015,Co,10,3d,17,0.0714,-2.415,0,0
tmqm_4551,Re,7,5d,15,0.1,-2.4111,0,0
tmqm_1775,Ta,8,5d,15,0.1,-2.3931,0,0
tmqm_3334,W,6,5d,15,0.1111,-2.3897,0,0
tmqm_6334,Ru,6,4d,17,0.2,-2.3874,0,0
tmqm_5105,Fe,8,3d,17,0.1667,-2.3864,0,0
tmqm_9270,Ir,6,5d,17,0.1111,-2.3732,0,0
tmqm_4559,Mn,8,3d,17,0.25,-2.3633,0,0
