metric,value
bl_frequency_mrr,0.1967
bl_frequency_top1,0.0506
bl_random_mrr,0.2174
bl_random_top1,0.0713
bl_rule_validator_mrr,0.2112
bl_rule_validator_top1,0.0686
boundary_hard_mlm_pll_auroc,0.6079
boundary_hard_ranker_finetuned_auroc,0.6979
boundary_hard_ranker_frozen_auroc,0.5028
co_ligand_hard_mlm_pll_auroc,0.4838
co_ligand_hard_ranker_finetuned_auroc,0.5527
co_ligand_hard_ranker_frozen_auroc,0.5171
ligand_hard_mlm_pll_auroc,0.6513
ligand_hard_ranker_finetuned_auroc,0.6539
ligand_hard_ranker_frozen_auroc,0.6438
metal_hard_mlm_pll_auroc,0.6773
metal_hard_ranker_finetuned_auroc,0.7913
metal_hard_ranker_frozen_auroc,0.5047
mlm_pll_auroc,0.5535
mlm_pll_mrr,0.1139
mlm_pll_top1,0.004
mlm_pll_win_rate,0.577
n_decoys_per,20
n_test,1501
ranker_finetuned_auroc,0.6953
ranker_finetuned_mrr,0.3337
ranker_finetuned_top1,0.1306
ranker_finetuned_win_rate,0.7431
ranker_frozen_auroc,0.5452
ranker_frozen_mrr,0.2154
ranker_frozen_top1,0.04
ranker_frozen_win_rate,0.6245
stereo_hard_mlm_pll_auroc,0.7448
stereo_hard_ranker_finetuned_auroc,0.9475
stereo_hard_ranker_frozen_auroc,0.5123
