node_id,source_database,source_id,metal_count,metals_str,cn_list,shape_best_list,donor_set,bridge_types,haptic_modes,periodic_truncated,parse_valid,roundtrip_valid,L0,L1,L2,L3
MOF_ABACUF,CSD_MOF,ABACUF,1,Cu,6,OC,"O,O,O,O,O,O",,,True,True,True,Cu|CN:6,Cu|CN:6|Shape:OC,Cu|CN:6|Shape:OC|Donors:O+O+O+O+O+O|Bridges:0,4c65f208b165
MOF_ABACUF01,CSD_MOF,ABACUF01,1,Cu,6,OC,"O,O,O,O,O,O",,,True,True,True,Cu|CN:6,Cu|CN:6|Shape:OC,Cu|CN:6|Shape:OC|Donors:O+O+O+O+O+O|Bridges:0,4c65f208b165
MOF_ABADUG,CSD_MOF,ABADUG,6,Zn+Zn+Zn+Zn+Zn+Zn,"5,5,5,5,5,5","TBPY,TBPY,TBPY,TBPY,TBPY,TBPY","N,N,N,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",,,True,True,True,Zn+Zn+Zn+Zn+Zn+Zn|CN:5+5+5+5+5+5,Zn+Zn+Zn+Zn+Zn+Zn|CN:5+5+5+5+5+5|Shape:TBPY+TBPY+TBPY+TBPY+TBPY+TBPY,Zn+Zn+Zn+Zn+Zn+Zn|CN:5+5+5+5+5+5|Shape:TBPY+TBPY+TBPY+TBPY+TBPY+TBPY|Donors:N+N+N+N+N+N+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:0,6e7fecf72cf0
MOF_ABAFUH,CSD_MOF,ABAFUH,2,Cu+Cu,"3,3","TP,TP","O,O,O,O",,,True,True,True,Cu+Cu|CN:3+3,Cu+Cu|CN:3+3|Shape:TP+TP,Cu+Cu|CN:3+3|Shape:TP+TP|Donors:O+O+O+O|Bridges:0,4b965bbd2987
MOF_ABAGAO,CSD_MOF,ABAGAO,1,Cu,6,OC,"N,N,N,O,O,O",,,True,True,True,Cu|CN:6,Cu|CN:6|Shape:OC,Cu|CN:6|Shape:OC|Donors:N+N+N+O+O+O|Bridges:0,ff2341764124
MOF_ABALOF,CSD_MOF,ABALOF,3,Cu+Cu+Cu,"4,4,4","SP,SP,SP","I,I,I,I,S","mu2-I,mu3-I",,True,True,True,Cu+Cu+Cu|CN:4+4+4,Cu+Cu+Cu|CN:4+4+4|Shape:SP+SP+SP,Cu+Cu+Cu|CN:4+4+4|Shape:SP+SP+SP|Donors:I+I+I+I+S|Bridges:4,15252baa878d
MOF_ABALUO,CSD_MOF,ABALUO,1,Cu,6,OC,"N,N,O,O,O,O",,,True,True,True,Cu|CN:6,Cu|CN:6|Shape:OC,Cu|CN:6|Shape:OC|Donors:N+N+O+O+O+O|Bridges:0,29772fb9f834
MOF_ABAMIC,CSD_MOF,ABAMIC,2,V+V,"6,5","OC,TBPY","O,O,O,O,O,O,O,O,O,O,O",,,True,True,True,V+V|CN:6+5,V+V|CN:6+5|Shape:OC+TBPY,V+V|CN:6+5|Shape:OC+TBPY|Donors:O+O+O+O+O+O+O+O+O+O+O|Bridges:0,85e6c956fa4f
MOF_ABAMOI,CSD_MOF,ABAMOI,1,Cu,6,OC,"N,O,O,O,O",,,True,True,True,Cu|CN:6,Cu|CN:6|Shape:OC,Cu|CN:6|Shape:OC|Donors:N+O+O+O+O|Bridges:0,1e71129b44ef
MOF_ABANAW,CSD_MOF,ABANAW,5,Mo+Mo+Mo+Mo+Ni,"4,6,4,6,6","SP,OC,SP,OC,OC","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","mu2-O,mu3-O",,True,True,True,Mo+Mo+Mo+Mo+Ni|CN:4+6+4+6+6,Mo+Mo+Mo+Mo+Ni|CN:4+6+4+6+6|Shape:SP+OC+SP+OC+OC,Mo+Mo+Mo+Mo+Ni|CN:4+6+4+6+6|Shape:SP+OC+SP+OC+OC|Donors:O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:7,2e2caed81c9c
MOF_ABAPUS,CSD_MOF,ABAPUS,3,Cu+Cu+Cu,"6,6,6","OC,OC,OC","N,N,N,N,N,N,O,O,O,O,O,O,O,O,O",mu2-O,,True,True,True,Cu+Cu+Cu|CN:6+6+6,Cu+Cu+Cu|CN:6+6+6|Shape:OC+OC+OC,Cu+Cu+Cu|CN:6+6+6|Shape:OC+OC+OC|Donors:N+N+N+N+N+N+O+O+O+O+O+O+O+O+O|Bridges:3,abab243c920c
MOF_ABAVIJ,CSD_MOF,ABAVIJ,6,Co+Co+Co+Co+Co+Co,"6,6,1,1,2,1","OC,OC,CN1,CN1,L,CN1","N,N,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O",,,True,True,True,Co+Co+Co+Co+Co+Co|CN:6+6+1+1+2+1,Co+Co+Co+Co+Co+Co|CN:6+6+1+1+2+1|Shape:OC+OC+CN1+CN1+L+CN1,Co+Co+Co+Co+Co+Co|CN:6+6+1+1+2+1|Shape:OC+OC+CN1+CN1+L+CN1|Donors:N+N+N+N+N+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:0,6cde70d5ae67
