node_id,source_database,source_id,record_type,metal_count,metals_str,cn_list,shape_best_list,donor_set,bridge_types,haptic_modes,L0,L1,L2,L3,ligand_signature
MONO_AACANI10,CSD_molecular,AACANI10,mononuclear,1,Ni,5,TBPY,"N,N,O,O,O",,,Ni|CN:5,Ni|CN:5|Shape:TBPY,Ni|CN:5|Shape:TBPY|Donors:N+N+O+O+O|Bridges:0,e630cc9bf92e,N+N+O+O+O
MONO_AACANI11,CSD_molecular,AACANI11,mononuclear,1,Ni,5,TBPY,"N,N,O,O,O",,,Ni|CN:5,Ni|CN:5|Shape:TBPY,Ni|CN:5|Shape:TBPY|Donors:N+N+O+O+O|Bridges:0,e630cc9bf92e,N+N+O+O+O
MONO_AALCFE,CSD_molecular,AALCFE,mononuclear,1,Fe,4,SP,"C,C,C,C",,,Fe|CN:4,Fe|CN:4|Shape:SP,Fe|CN:4|Shape:SP|Donors:C+C+C+C|Bridges:0,5d96f8324320,C+C+C+C
MONO_AAMTCO,CSD_molecular,AAMTCO,mononuclear,1,Co,5,TBPY,"N,N,N,N,O",,,Co|CN:5,Co|CN:5|Shape:TBPY,Co|CN:5|Shape:TBPY|Donors:N+N+N+N+O|Bridges:0,5cec6da73117,N+N+N+N+O
MONO_AAMTCO10,CSD_molecular,AAMTCO10,mononuclear,1,Co,5,TBPY,"N,N,N,N,O",,,Co|CN:5,Co|CN:5|Shape:TBPY,Co|CN:5|Shape:TBPY|Donors:N+N+N+N+O|Bridges:0,5cec6da73117,N+N+N+N+O
MONO_AAPUNI,CSD_molecular,AAPUNI,mononuclear,1,Ni,4,SP,"N,N,O,O",,,Ni|CN:4,Ni|CN:4|Shape:SP,Ni|CN:4|Shape:SP|Donors:N+N+O+O|Bridges:0,719291e50a0f,N+N+O+O
MONO_AAZDCO,CSD_molecular,AAZDCO,mononuclear,1,Co,6,OC,"N,N,N,N,N,N",,,Co|CN:6,Co|CN:6|Shape:OC,Co|CN:6|Shape:OC|Donors:N+N+N+N+N+N|Bridges:0,cb4c33f79d9f,N+N+N+N+N+N
MONO_ABABUE,CSD_molecular,ABABUE,mononuclear,1,Ir,4,SP,"C,C,N,N",,,Ir|CN:4,Ir|CN:4|Shape:SP,Ir|CN:4|Shape:SP|Donors:C+C+N+N|Bridges:0,6f1cfc6f8323,C+C+N+N
MONO_ABACAL,CSD_molecular,ABACAL,mononuclear,1,Cu,3,TP,"C,N,O",,,Cu|CN:3,Cu|CN:3|Shape:TP,Cu|CN:3|Shape:TP|Donors:C+N+O|Bridges:0,f4369539b400,C+N+O
MONO_ABACAL01,CSD_molecular,ABACAL01,mononuclear,1,Cu,3,TP,"C,N,O",,,Cu|CN:3,Cu|CN:3|Shape:TP,Cu|CN:3|Shape:TP|Donors:C+N+O|Bridges:0,f4369539b400,C+N+O
MONO_ABACRE,CSD_molecular,ABACRE,mononuclear,1,Re,6,OC,"Br,Br,Br,Br,N,N",,,Re|CN:6,Re|CN:6|Shape:OC,Re|CN:6|Shape:OC|Donors:Br+Br+Br+Br+N+N|Bridges:0,04083eb24d78,Br+Br+Br+Br+N+N
MONO_ABAFAN,CSD_molecular,ABAFAN,mononuclear,1,Cu,4,SP,"N,N,N,N",,,Cu|CN:4,Cu|CN:4|Shape:SP,Cu|CN:4|Shape:SP|Donors:N+N+N+N|Bridges:0,5a8fe651c013,N+N+N+N
MONO_ABAFER,CSD_molecular,ABAFER,mononuclear,1,Cu,4,SP,"N,N,N,N",,,Cu|CN:4,Cu|CN:4|Shape:SP,Cu|CN:4|Shape:SP|Donors:N+N+N+N|Bridges:0,5a8fe651c013,N+N+N+N
MONO_ABAFOZ,CSD_molecular,ABAFOZ,mononuclear,1,Pd,4,SP,"N,N,O,O",,,Pd|CN:4,Pd|CN:4|Shape:SP,Pd|CN:4|Shape:SP|Donors:N+N+O+O|Bridges:0,1e078f45eece,N+N+O+O
MONO_ABAGET,CSD_molecular,ABAGET,mononuclear,1,Fe,3,TP,"N,N,N",,,Fe|CN:3,Fe|CN:3|Shape:TP,Fe|CN:3|Shape:TP|Donors:N+N+N|Bridges:0,d3745ba3fc6c,N+N+N
MONO_ABAHUH,CSD_molecular,ABAHUH,mononuclear,1,Co,5,TBPY,"N,N,N,N,S",,,Co|CN:5,Co|CN:5|Shape:TBPY,Co|CN:5|Shape:TBPY|Donors:N+N+N+N+S|Bridges:0,3d1a9fdcb061,N+N+N+N+S
MONO_ABAJAP,CSD_molecular,ABAJAP,mononuclear,1,Ni,5,TBPY,"N,N,N,N,S",,,Ni|CN:5,Ni|CN:5|Shape:TBPY,Ni|CN:5|Shape:TBPY|Donors:N+N+N+N+S|Bridges:0,afd2fc6b956e,N+N+N+N+S
