mof_node_id,mof_source_id,molecular_record_id,molecular_refcode,match_rank,homology_score,metal_score,donor_set_score,CN_score,shape_similarity,bridge_or_haptic_score,topology_score,stereo_or_relation_score,match_level
MOF_ABACUF,ABACUF,MONO_ACUEAC,ACUEAC,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABACUF,ABACUF,MONO_AFEXUG,AFEXUG,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABACUF,ABACUF,MONO_ABCOPD,ABCOPD,3,0.85,1.0,0.5,1.0,1.0,1.0,1.0,0.5,weak_match
MOF_ABACUF,ABACUF,MONO_ACAJUM,ACAJUM,4,0.85,1.0,0.5,1.0,1.0,1.0,1.0,0.5,weak_match
MOF_ABACUF,ABACUF,MONO_ACARAX,ACARAX,5,0.85,1.0,0.5,1.0,1.0,1.0,1.0,0.5,weak_match
MOF_ABACUF01,ABACUF01,MONO_ACUEAC,ACUEAC,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABACUF01,ABACUF01,MONO_AFEXUG,AFEXUG,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABACUF01,ABACUF01,MONO_ABCOPD,ABCOPD,3,0.85,1.0,0.5,1.0,1.0,1.0,1.0,0.5,weak_match
MOF_ABACUF01,ABACUF01,MONO_ACAJUM,ACAJUM,4,0.85,1.0,0.5,1.0,1.0,1.0,1.0,0.5,weak_match
MOF_ABACUF01,ABACUF01,MONO_ACARAX,ACARAX,5,0.85,1.0,0.5,1.0,1.0,1.0,1.0,0.5,weak_match
MOF_ABADUG,ABADUG,MULTI_ACENOL,ACENOL,1,0.7222,1.0,0.8667,0.8611,0.1667,0.0,0.5,0.5,relaxed_donor_geometry_match
MOF_ABADUG,ABADUG,MULTI_ACOQOY,ACOQOY,2,0.6663,1.0,0.125,0.8,0.0,1.0,1.0,0.5,weak_match
MOF_ABADUG,ABADUG,MULTI_ACEXUB,ACEXUB,3,0.585,0.8,0.6,0.5,0.0,1.0,0.1,0.5,relaxed_donor_geometry_match
MOF_ABADUG,ABADUG,MULTI_ADONIR,ADONIR,4,0.5821,0.0,0.4286,1.0,1.0,1.0,1.0,0.5,weak_match
MOF_ABADUG,ABADUG,MULTI_ACACCR08,ACACCR08,5,0.5345,0.0,0.5714,0.8333,0.0,1.0,1.0,0.5,weak_match
MOF_ABAFUH,ABAFUH,MONO_ACACCU,ACACCU,1,0.77,0.8,1.0,0.5,0.0,1.0,0.7,1.0,bridge_topology_match
MOF_ABAFUH,ABAFUH,MONO_ACACCU01,ACACCU01,2,0.77,0.8,1.0,0.5,0.0,1.0,0.7,1.0,bridge_topology_match
MOF_ABAFUH,ABAFUH,MONO_ACACCU02,ACACCU02,3,0.77,0.8,1.0,0.5,0.0,1.0,0.7,1.0,bridge_topology_match
MOF_ABAFUH,ABAFUH,MONO_ACACCU03,ACACCU03,4,0.77,0.8,1.0,0.5,0.0,1.0,0.7,1.0,bridge_topology_match
MOF_ABAFUH,ABAFUH,MONO_ACACCU04,ACACCU04,5,0.77,0.8,1.0,0.5,0.0,1.0,0.7,1.0,bridge_topology_match
MOF_ABAGAO,ABAGAO,MONO_ABUWOK,ABUWOK,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABAGAO,ABAGAO,MONO_ABASOM,ABASOM,2,0.9036,1.0,0.7143,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
