molecular_record_id,molecular_refcode,mof_node_id,mof_source_id,match_rank,homology_score,metal_score,donor_set_score,CN_score,shape_similarity,bridge_or_haptic_score,topology_score,stereo_or_relation_score,match_level
MONO_AFEZAP,AFEZAP,MOF_ABUZOP,ABUZOP,1,0.8917,1.0,0.6667,1.0,1.0,1.0,1.0,0.5,relaxed_donor_geometry_match
MONO_AFEZAP,AFEZAP,MOF_ACAKAT,ACAKAT,2,0.8917,1.0,0.6667,1.0,1.0,1.0,1.0,0.5,relaxed_donor_geometry_match
MONO_AFEZAP,AFEZAP,MOF_ABUXIH,ABUXIH,3,0.8321,1.0,0.4286,1.0,1.0,1.0,1.0,0.5,weak_match
MONO_AFEZAP,AFEZAP,MOF_ABAMOI,ABAMOI,4,0.8083,1.0,0.6667,0.8333,0.0,1.0,1.0,0.5,relaxed_donor_geometry_match
MONO_AFEZAP,AFEZAP,MOF_ACABEO,ACABEO,5,0.8083,1.0,0.6667,0.8333,0.0,1.0,1.0,0.5,relaxed_donor_geometry_match
MONO_ACACCU31,ACACCU31,MOF_ABEREH,ABEREH,1,0.9125,1.0,0.75,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MONO_ACACCU31,ACACCU31,MOF_ABEREH01,ABEREH01,2,0.9125,1.0,0.75,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MONO_ACACCU31,ACACCU31,MOF_ABEREH02,ABEREH02,3,0.9125,1.0,0.75,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MONO_ACACCU31,ACACCU31,MOF_ABUZOP,ABUZOP,4,0.835,1.0,0.8,0.8,0.0,1.0,1.0,0.5,bridge_topology_match
MONO_ACACCU31,ACACCU31,MOF_ACAKAT,ACAKAT,5,0.835,1.0,0.8,0.8,0.0,1.0,1.0,0.5,bridge_topology_match
MULTI_ACITUC,ACITUC,MOF_ABIXIU,ABIXIU,1,0.835,1.0,0.8,0.8,0.0,1.0,1.0,0.5,bridge_topology_match
MULTI_ACITUC,ACITUC,MOF_ACBACU,ACBACU,2,0.835,1.0,0.8,0.8,0.0,1.0,1.0,0.5,bridge_topology_match
MULTI_ACITUC,ACITUC,MOF_ADAXIP,ADAXIP,3,0.835,1.0,0.8,0.8,0.0,1.0,1.0,0.5,bridge_topology_match
MULTI_ACITUC,ACITUC,MOF_ADAQEB,ADAQEB,4,0.8104,1.0,0.875,0.5833,0.0,1.0,1.0,0.5,bridge_topology_match
MULTI_ACITUC,ACITUC,MOF_ADAQEB01,ADAQEB01,5,0.8104,1.0,0.875,0.5833,0.0,1.0,1.0,0.5,bridge_topology_match
MULTI_ABEWIO,ABEWIO,MOF_ABETEJ,ABETEJ,1,0.45,0.3,0.0,1.0,1.0,0.0,1.0,0.5,no_match
MULTI_ABEWIO,ABEWIO,MOF_ABOSIX,ABOSIX,2,0.45,0.3,0.0,1.0,1.0,0.5,0.5,0.5,no_match
