subtask,method,pool_id,n_candidates,n_positives,n_negatives,top1_correct,top1_score,top5_has_correct
A_same_metal_cn,coordrep_full,MOF_ABAXIN,23,14,4,True,0.8818,True
A_same_metal_cn,coordrep_full,MOF_ABAXUZ,23,15,4,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ABAYAG,23,15,4,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ABAZAF,23,16,2,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ABETEJ,58,23,23,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ABEWEN,7,1,5,True,0.8846,True
A_same_metal_cn,coordrep_full,MOF_ABIXIU,58,35,14,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ABIYUJ,13,5,8,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ABOCUP,12,8,1,True,0.8583,True
A_same_metal_cn,coordrep_full,MOF_ABOSIX,58,9,28,True,0.84,True
A_same_metal_cn,coordrep_full,MOF_ABOTUG01,27,13,2,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ABOTUG03,27,1,14,True,0.8067,True
A_same_metal_cn,coordrep_full,MOF_ABOWIA,57,23,22,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ABULUG,8,4,3,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ACAKEX,12,8,1,True,0.8583,True
A_same_metal_cn,coordrep_full,MOF_ACBACU,58,35,15,True,0.8667,True
A_same_metal_cn,coordrep_full,MOF_ACEDUJ,12,6,1,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ACEKOK,8,4,3,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ACELIF,27,12,4,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ACEPAD,27,6,10,True,0.84,True
A_same_metal_cn,coordrep_full,MOF_ACEPIH,12,6,1,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ACESAG,8,4,3,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ACIJAX,12,10,1,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ACIQIN,24,14,2,True,0.85,True
A_same_metal_cn,coordrep_full,MOF_ACISEM,57,25,22,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ACISOW,13,4,7,True,0.8333,True
A_same_metal_cn,coordrep_full,MOF_ACITAK,8,2,5,True,0.85,True
A_same_metal_cn,coordrep_full,MOF_ACITOV,5,2,3,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ACIYER,7,4,1,True,0.8667,True
A_same_metal_cn,coordrep_full,MOF_ACIYER01,7,4,1,True,0.8667,True
A_same_metal_cn,coordrep_full,MOF_ACIYER02,7,4,1,True,0.8667,True
A_same_metal_cn,coordrep_full,MOF_ACIYER07,7,4,1,True,0.8667,True
A_same_metal_cn,coordrep_full,MOF_ACIYIV,7,4,1,True,0.8667,True
A_same_metal_cn,coordrep_full,MOF_ACUFUR,12,6,1,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ACUFUR01,12,6,1,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ACUQEX,23,3,8,True,0.86,True
A_same_metal_cn,coordrep_full,MOF_ACUQUO,24,7,3,True,0.85,True
A_same_metal_cn,coordrep_full,MOF_ADAXIP,58,35,14,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ADEFAS,58,27,19,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ADEFEW,58,27,19,True,1.0,True
A_same_metal_cn,coordrep_full,MOF_ADEFOG,58,27,19,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ABAXIN,23,14,4,True,0.9394,True
A_same_metal_cn,donor_baseline,MOF_ABAXUZ,23,15,4,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ABAYAG,23,15,4,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ABAZAF,23,16,2,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ABETEJ,58,23,23,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ABEWEN,7,1,5,True,0.9487,True
A_same_metal_cn,donor_baseline,MOF_ABIXIU,58,35,14,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ABIYUJ,13,5,8,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ABOCUP,12,8,1,True,0.9444,True
A_same_metal_cn,donor_baseline,MOF_ABOSIX,58,9,28,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ABOTUG01,27,13,2,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ABOTUG03,27,1,14,False,0.9444,False
A_same_metal_cn,donor_baseline,MOF_ABOWIA,57,23,22,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ABULUG,8,4,3,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ACAKEX,12,8,1,True,0.9444,True
A_same_metal_cn,donor_baseline,MOF_ACBACU,58,35,15,False,0.9333,False
A_same_metal_cn,donor_baseline,MOF_ACEDUJ,12,6,1,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ACEKOK,8,4,3,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ACELIF,27,12,4,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ACEPAD,27,6,10,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ACEPIH,12,6,1,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ACESAG,8,4,3,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ACIJAX,12,10,1,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ACIQIN,24,14,2,False,0.9722,True
A_same_metal_cn,donor_baseline,MOF_ACISEM,57,25,22,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ACISOW,13,4,7,False,0.9167,True
A_same_metal_cn,donor_baseline,MOF_ACITAK,8,2,5,True,0.8333,True
A_same_metal_cn,donor_baseline,MOF_ACITOV,5,2,3,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ACIYER,7,4,1,True,0.8889,True
A_same_metal_cn,donor_baseline,MOF_ACIYER01,7,4,1,True,0.8889,True
A_same_metal_cn,donor_baseline,MOF_ACIYER02,7,4,1,True,0.8889,True
A_same_metal_cn,donor_baseline,MOF_ACIYER07,7,4,1,True,0.8889,True
A_same_metal_cn,donor_baseline,MOF_ACIYIV,7,4,1,True,0.8889,True
A_same_metal_cn,donor_baseline,MOF_ACUFUR,12,6,1,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ACUFUR01,12,6,1,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ACUQEX,23,3,8,True,0.8667,True
A_same_metal_cn,donor_baseline,MOF_ACUQUO,24,7,3,False,0.8571,True
A_same_metal_cn,donor_baseline,MOF_ADAXIP,58,35,14,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ADEFAS,58,27,19,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ADEFEW,58,27,19,True,1.0,True
A_same_metal_cn,donor_baseline,MOF_ADEFOG,58,27,19,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ABAXIN,23,14,4,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ABAXUZ,23,15,4,False,1.0,True
A_same_metal_cn,cshm_only,MOF_ABAYAG,23,15,4,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ABAZAF,23,16,2,False,1.0,True
A_same_metal_cn,cshm_only,MOF_ABETEJ,58,23,23,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ABEWEN,7,1,5,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ABIXIU,58,35,14,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ABIYUJ,13,5,8,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ABOCUP,12,8,1,False,1.0,True
A_same_metal_cn,cshm_only,MOF_ABOSIX,58,9,28,False,1.0,True
A_same_metal_cn,cshm_only,MOF_ABOTUG01,27,13,2,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ABOTUG03,27,1,14,False,1.0,False
A_same_metal_cn,cshm_only,MOF_ABOWIA,57,23,22,False,1.0,True
A_same_metal_cn,cshm_only,MOF_ABULUG,8,4,3,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ACAKEX,12,8,1,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ACBACU,58,35,15,False,1.0,True
A_same_metal_cn,cshm_only,MOF_ACEDUJ,12,6,1,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ACEKOK,8,4,3,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ACELIF,27,12,4,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ACEPAD,27,6,10,False,1.0,True
A_same_metal_cn,cshm_only,MOF_ACEPIH,12,6,1,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ACESAG,8,4,3,False,1.0,True
A_same_metal_cn,cshm_only,MOF_ACIJAX,12,10,1,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ACIQIN,24,14,2,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ACISEM,57,25,22,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ACISOW,13,4,7,False,1.0,True
A_same_metal_cn,cshm_only,MOF_ACITAK,8,2,5,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ACITOV,5,2,3,False,1.0,True
A_same_metal_cn,cshm_only,MOF_ACIYER,7,4,1,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ACIYER01,7,4,1,True,1.0,True
A_same_metal_cn,cshm_only,MOF_ACIYER02,7,4,1,True,1.0,True
