audit_id,audit_type,query_id,query_source,match_id,match_source,score,is_positive_label,metal_correct,donor_correct,bridge_match,mu_pattern_match,shape_match,chemically_homologous,audit_note
1,coordrep_top1,MOF_ABAVOP,ABAVOP,MULTI_AGUWUW,AGUWUW,0.6208,True,True,False,True,True,True,True,
2,coordrep_top1,MOF_ACPCRB01,ACPCRB01,MULTI_ACPCRA,ACPCRA,1.0,True,True,True,True,True,True,True,
3,coordrep_top1,MOF_ABIYUJ,ABIYUJ,MULTI_AFIDID,AFIDID,1.0,True,True,True,True,True,True,True,
4,coordrep_top1,MOF_ACETIP,ACETIP,MULTI_ACIMAB,ACIMAB,1.0,True,True,True,True,True,True,True,
5,coordrep_top1,MOF_ABOTUG02,ABOTUG02,MULTI_AGUWUW,AGUWUW,0.6417,True,True,False,True,True,True,True,
6,coordrep_top1,MOF_ACUDAD,ACUDAD,MULTI_ACIMAB,ACIMAB,1.0,True,True,True,True,True,True,True,
7,coordrep_top1,MOF_ACEDUJ,ACEDUJ,MULTI_AGAXEO,AGAXEO,1.0,True,True,True,True,True,True,True,
8,coordrep_top1,MOF_ACIJEB,ACIJEB,MULTI_ABEQAB,ABEQAB,0.6208,True,True,False,True,True,True,True,
9,coordrep_top1,MOF_ACUQUO,ACUQUO,MULTI_ABIDAR,ABIDAR,0.85,True,True,False,True,True,True,True,
10,coordrep_top1,MOF_ACAGOB,ACAGOB,MULTI_ABOLUA,ABOLUA,0.6208,True,True,False,True,True,True,True,
11,coordrep_top1,MOF_ACAVOT,ACAVOT,MULTI_AGUCEN,AGUCEN,0.5757,True,True,False,True,True,False,False,
12,coordrep_top1,MOF_ADAFAN,ADAFAN,MULTI_AFOYUR,AFOYUR,1.0,True,True,True,True,True,True,True,
13,coordrep_top1,MOF_ABIWEN,ABIWEN,MULTI_ABUQUM,ABUQUM,0.625,True,True,False,True,True,True,True,
14,coordrep_top1,MOF_ADEFEW,ADEFEW,MULTI_ACOYID,ACOYID,1.0,True,True,True,True,True,True,True,
