pool_id,mof_source,hard_key_metal,hard_key_cn,hard_key_donor,n_candidates,n_positives,n_negatives
MOF_ABAMIC,ABAMIC,V+V,"6,5","O,O,O,O,O,O,O,O,O,O,O",10,3,3
MOF_ABAVOP,ABAVOP,Co+Co+Co+Co,"6,6,1,1","N,N,N,N,O,O,O,O,O,O,O,O,O,O",35,1,15
MOF_ABAVUV,ABAVUV,Co+Co,"6,1","N,N,O,O,O,O,O",64,14,9
MOF_ABAXIN,ABAXIN,Zn+Zn,"5,5","N,O,O,O,O,O,O,O,O,O",45,19,15
MOF_ABAXOT,ABAXOT,Zn+Zn,"4,5","N,N,O,O,O,O,O,O,O",45,19,13
MOF_ABAXUZ,ABAXUZ,Zn+Zn,"5,5","N,N,O,O,O,O,O,O,O,O",45,21,14
MOF_ABAYAE,ABAYAE,Cu+Cu+Cu,"5,5,1","N,N,N,N,O,O,O,O,O,O,O",23,9,10
MOF_ABAYAG,ABAYAG,Zn+Zn,"5,5","N,N,O,O,O,O,O,O,O,O",45,21,14
MOF_ABAZAF,ABAZAF,Zn+Zn,"5,5","N,N,N,N,O,O,O,O,O,O",45,22,12
MOF_ABAZEJ,ABAZEJ,Zn+Zn,"4,1","N,N,O,O,O",45,1,18
MOF_ABEDET01,ABEDET01,Co+Co,"6,1","N,N,O,O,O,O,O",64,14,9
MOF_ABEMUR,ABEMUR,Ag+Ag,"2,2","N,N,N,N",25,6,5
MOF_ABETEJ,ABETEJ,Cu+Cu,"5,5","O,O,O,O,O,O,O,O,O,O",148,30,60
MOF_ABEWEN,ABEWEN,Co+Co+Co+Co,"6,6,6,6","N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",35,1,16
MOF_ABIFEX,ABIFEX,Mn+Mn,"6,1","N,N,N,O,O,O,O",32,8,8
MOF_ABIQAE,ABIQAE,Cd+Cd,"6,1","N,N,N,N,N,S,S",17,2,9
MOF_ABIRAF,ABIRAF,Ag+Ag,"3,1","N,N,N,N",25,6,5
MOF_ABIREJ,ABIREJ,Ag+Ag,"3,1","N,N,N,N",25,6,5
MOF_ABIRIN,ABIRIN,Ag+Ag,"3,1","N,N,N,N",25,6,5
MOF_ABIVEO,ABIVEO,Co+Co,"5,1","Cl,N,O,O,O,O",64,2,10
MOF_ABIWEN,ABIWEN,Cu+Cu+Cu+Cu,"5,5,1,1","N,N,N,N,O,O,O,O,O,O,O,O",30,6,15
MOF_ABIWOY,ABIWOY,Cu+Cu,"5,4","N,N,N,O,O,O,O,O",148,2,97
MOF_ABIXIU,ABIXIU,Cu+Cu,"5,5","N,N,N,N,O,O,O,O,O,O",148,55,50
