metric,value
bl_frequency_mrr,0.283
bl_frequency_top1,0.138
bl_ligand_freq_mrr,0.3734
bl_ligand_freq_top1,0.142
bl_random_mrr,0.1428
bl_random_top1,0.028
bl_rule_mrr,0.9132
bl_rule_top1,0.902
boundary_detection_auc,0.617
ligand_swap_detection_auc,0.5194
mean_delta_score,3.6639
mean_pairwise_win_rate,0.641
metal_swap_detection_auc,0.5938
n_complexes,500
n_decoys_total,13989
real_vs_decoy_auroc,0.6356
real_vs_decoys_mrr,0.1355
real_vs_decoys_top1,0.016
stereo_swap_detection_auc,0.9712
