complex_id,metal,CN,metal_row,n_ligands,has_stereo,real_score,delta_score,real_rank
tmqm_65,Y,7,4d,5,True,-5.8667,-4.7018,22
tmqm_301,Sc,6,3d,6,True,-5.6729,5.277,9
tmqm_173,Y,8,4d,8,False,-5.5774,7.0565,9
tmqm_442,Hf,6,5d,6,True,-5.4865,-3.1039,17
tmqm_367,La,13,5d,5,True,-4.9076,6.3132,9
tmqm_178,La,8,5d,3,True,-4.8681,-5.4837,21
tmqm_386,La,9,5d,6,False,-4.8529,2.2208,17
tmqm_245,Sc,12,3d,3,True,-4.7727,-1.1165,10
tmqm_177,Y,8,4d,5,False,-4.7671,6.5881,6
tmqm_475,Ti,8,3d,4,True,-4.645,-5.2717,18
tmqm_421,Ti,8,3d,5,True,-4.6413,-2.0597,16
tmqm_58,Y,12,4d,3,True,-4.6042,1.7002,10
tmqm_497,Ti,6,3d,4,True,-4.5731,-1.7872,17
tmqm_285,La,11,5d,5,False,-4.5444,0.7418,19
tmqm_353,La,8,5d,4,False,-4.5383,2.1069,18
tmqm_36,La,11,5d,5,True,-4.516,-2.4702,17
tmqm_125,Y,8,4d,4,False,-4.5082,7.0056,9
tmqm_342,La,12,5d,6,True,-4.4859,8.2772,8
tmqm_218,La,13,5d,5,False,-4.4748,7.7377,7
tmqm_122,La,6,5d,4,False,-4.4709,2.603,12
tmqm_215,Y,8,4d,3,False,-4.4527,6.3015,13
tmqm_410,Zr,9,4d,1,False,-4.4317,6.5936,13
tmqm_336,La,8,5d,6,False,-4.4287,-0.1394,19
tmqm_103,La,11,5d,4,False,-4.4198,0.7326,19
tmqm_37,Sc,7,3d,5,False,-4.4166,1.0842,15
tmqm_15,La,13,5d,5,True,-4.4004,4.906,7
tmqm_161,Sc,6,3d,6,True,-4.3842,7.216,7
tmqm_0,La,6,5d,5,False,-4.3801,4.4492,10
tmqm_231,Y,13,4d,3,True,-4.3782,8.2236,6
tmqm_126,Y,9,4d,4,True,-4.3609,-2.3845,17
tmqm_210,Y,7,4d,7,True,-4.3586,-0.4173,18
tmqm_61,Y,9,4d,6,False,-4.3581,-1.5977,21
tmqm_123,Y,7,4d,5,False,-4.3485,0.8414,14
tmqm_274,La,4,5d,4,False,-4.3273,1.9492,11
tmqm_481,Zr,13,4d,4,True,-4.3062,2.4224,12
tmqm_78,Y,8,4d,3,False,-4.301,7.4274,10
tmqm_423,Ti,6,3d,6,True,-4.2971,1.046,10
tmqm_432,Zr,11,4d,3,True,-4.2961,2.3348,8
tmqm_349,Y,8,4d,5,False,-4.2919,6.2381,11
tmqm_321,Y,9,4d,4,True,-4.2704,-2.1244,16
tmqm_25,Y,8,4d,4,True,-4.2651,5.8625,5
tmqm_390,Y,9,4d,4,False,-4.2472,0.1068,16
tmqm_482,Ti,8,3d,4,False,-4.2401,-0.0978,17
tmqm_156,La,5,5d,3,False,-4.2308,1.3548,18
tmqm_16,Y,7,4d,7,True,-4.2261,-1.8431,18
tmqm_419,Zr,13,4d,4,True,-4.2234,3.5963,9
tmqm_455,Ti,8,3d,2,True,-4.2095,-4.5137,18
tmqm_347,La,8,5d,4,False,-4.189,0.1285,18
tmqm_88,Sc,6,3d,6,True,-4.1787,8.8701,8
tmqm_340,La,8,5d,4,False,-4.1739,0.3254,19
