complex_id,metal,CN,metal_row,real_score,best_decoy_score,delta_score,real_rank,n_decoys
tmqm_251,Y,6,4d,-3.531,-0.0974,-6.082,19,27
tmqm_159,La,5,5d,-3.0144,-2.0987,-6.0613,19,26
tmqm_209,Y,6,4d,-3.4076,-0.0546,-5.6598,20,26
tmqm_178,La,8,5d,-4.8681,-1.7176,-5.4837,21,26
tmqm_150,Sc,7,3d,-3.4248,-1.4717,-5.2891,18,27
tmqm_475,Ti,8,3d,-4.645,-1.8951,-5.2717,18,27
tmqm_322,Sc,7,3d,-3.0793,-1.6787,-5.2671,20,26
tmqm_143,Y,6,4d,-3.8081,-0.0711,-5.0862,21,26
tmqm_65,Y,7,4d,-5.8667,-1.2621,-4.7018,22,27
tmqm_113,La,8,5d,-3.3966,-2.0886,-4.5616,19,26
tmqm_455,Ti,8,3d,-4.2095,-0.102,-4.5137,18,27
tmqm_310,La,5,5d,-2.9387,-1.5708,-4.4279,16,26
tmqm_54,Y,6,4d,-3.2309,-0.2895,-4.4119,19,27
tmqm_216,La,4,5d,-4.1033,-2.0969,-4.3473,13,26
tmqm_382,La,5,5d,-2.9012,-2.0174,-3.9638,15,26
tmqm_374,Y,6,4d,-3.5014,-0.1077,-3.8378,21,27
tmqm_140,Sc,8,3d,-3.4403,-1.9931,-3.7893,18,26
tmqm_102,La,4,5d,-2.7579,-1.8249,-3.7343,13,26
tmqm_412,Zr,8,4d,-3.7934,-1.6563,-3.6143,12,27
tmqm_308,Y,6,4d,-3.422,-0.0895,-3.4893,15,27
tmqm_119,Y,6,4d,-3.4838,-1.6473,-3.4719,16,27
tmqm_253,Y,7,4d,-2.8608,-2.096,-3.3734,15,27
tmqm_32,Y,7,4d,-4.0335,-2.4379,-3.3201,14,26
tmqm_79,Y,6,4d,-3.8947,-1.4527,-3.2085,17,27
tmqm_8,Sc,7,3d,-3.1099,-0.424,-3.1275,16,26
tmqm_442,Hf,6,5d,-5.4865,-0.3802,-3.1039,17,27
tmqm_368,La,11,5d,-4.0492,-1.7717,-3.0477,13,26
tmqm_90,Y,7,4d,-3.8611,-1.3478,-3.0058,20,27
tmqm_34,La,8,5d,-3.2349,-1.5794,-2.9263,21,26
tmqm_166,La,8,5d,-3.9885,-2.1927,-2.8951,19,26
tmqm_462,Zr,6,4d,-3.4229,-0.994,-2.7706,16,26
tmqm_439,Hf,10,5d,-3.6018,-1.4715,-2.7303,11,26
tmqm_260,La,8,5d,-3.7745,-2.007,-2.666,18,26
tmqm_62,La,11,5d,-3.6086,-1.9369,-2.4865,17,27
tmqm_36,La,11,5d,-4.516,-1.5557,-2.4702,17,26
tmqm_320,La,8,5d,-3.3959,-1.5377,-2.4513,16,26
tmqm_324,Y,7,4d,-3.6339,-0.7109,-2.3935,21,26
tmqm_126,Y,9,4d,-4.3609,-1.6612,-2.3845,17,27
tmqm_116,Y,5,4d,-3.3301,-1.9991,-2.343,9,8
tmqm_240,Y,11,4d,-3.7106,-1.8597,-2.1946,23,26
tmqm_256,Y,6,4d,-3.4556,-0.0979,-2.1845,17,27
tmqm_321,Y,9,4d,-4.2704,-1.2818,-2.1244,16,26
tmqm_421,Ti,8,3d,-4.6413,-1.9918,-2.0597,16,27
tmqm_304,La,11,5d,-3.5733,-2.1499,-1.9585,17,27
tmqm_16,Y,7,4d,-4.2261,-0.882,-1.8431,18,26
tmqm_212,Y,6,4d,-3.6112,-0.8459,-1.7986,16,32
tmqm_497,Ti,6,3d,-4.5731,-0.8651,-1.7872,17,27
tmqm_385,Sc,7,3d,-3.2592,-1.5899,-1.7412,13,32
