complex_id,metal,CN,n_decoys,n_wins,win_rate,top1_real,mrr,mean_delta,rule_pass_rate,bl_random_top1,bl_frequency_top1,bl_rule_validator_top1
tmqm_0,La,6,26,6,0.2308,0,0.0476,-1.4638,1.0,0,0,0
tmqm_1,Sc,6,25,16,0.64,0,0.1,5.5465,1.0,0,0,0
tmqm_2,Y,4,26,11,0.4231,0,0.0625,1.9294,1.0,0,0,0
tmqm_3,Y,9,18,2,0.1111,0,0.0588,-7.3318,1.0,0,0,0
tmqm_4,Sc,5,26,24,0.9231,0,0.3333,6.1232,1.0,0,0,1
tmqm_5,Sc,4,23,13,0.5652,0,0.0909,4.0697,1.0,0,0,0
tmqm_6,La,9,18,7,0.3889,0,0.0833,-1.7796,1.0,1,0,0
tmqm_7,La,6,26,13,0.5,0,0.0714,-0.3159,1.0,0,0,0
tmqm_8,Sc,7,27,12,0.4444,0,0.0625,-0.9178,1.0,0,0,0
tmqm_9,Y,5,15,13,0.8667,0,0.3333,0.8747,1.0,0,0,0
tmqm_10,La,6,23,13,0.5652,0,0.0909,-3.2951,1.0,0,0,0
tmqm_11,Y,6,26,16,0.6154,0,0.0909,-3.4598,1.0,0,0,1
tmqm_12,Y,7,24,10,0.4167,0,0.0667,-4.3709,1.0,0,0,0
tmqm_13,La,7,26,18,0.6923,0,0.1111,-0.2365,1.0,0,0,0
tmqm_14,Y,7,22,8,0.3636,0,0.0667,-4.2779,1.0,0,0,0
tmqm_15,La,13,25,11,0.44,0,0.0667,1.8776,1.0,0,0,0
tmqm_16,Y,7,24,8,0.3333,0,0.0588,-2.9468,1.0,0,0,0
tmqm_17,La,12,23,16,0.6957,0,0.125,8.3781,1.0,0,0,0
tmqm_18,Sc,9,27,22,0.8148,0,0.1667,6.4234,1.0,1,0,0
tmqm_19,Y,5,25,12,0.48,0,0.0714,3.8455,1.0,0,0,1
tmqm_20,Y,3,22,9,0.4091,0,0.0714,-3.0251,1.0,0,0,0
tmqm_21,Y,5,15,8,0.5333,0,0.125,0.1489,1.0,0,0,0
tmqm_22,La,9,21,9,0.4286,0,0.0769,-2.5608,1.0,0,0,0
tmqm_23,Y,6,16,10,0.625,0,0.1429,0.4983,1.0,0,0,0
tmqm_24,La,7,27,13,0.4815,0,0.0667,1.5107,1.0,1,0,0
tmqm_25,Y,8,27,23,0.8519,0,0.2,4.8124,1.0,0,0,0
tmqm_26,La,7,26,21,0.8077,0,0.1667,1.2923,1.0,0,0,1
tmqm_27,La,9,26,11,0.4231,0,0.0625,-2.5824,1.0,0,0,0
tmqm_28,Y,4,16,2,0.125,0,0.0667,-0.5838,1.0,0,1,0
tmqm_29,La,8,26,7,0.2692,0,0.05,-3.4664,1.0,0,0,0
tmqm_30,Sc,9,26,20,0.7692,0,0.1429,4.8222,1.0,0,0,0
tmqm_31,Y,4,22,11,0.5,0,0.0833,1.4814,1.0,0,0,0
tmqm_32,Y,7,27,11,0.4074,0,0.0588,-2.9942,1.0,0,0,0
tmqm_33,Sc,10,19,16,0.8421,0,0.25,5.0606,1.0,0,0,0
tmqm_34,La,8,24,9,0.375,0,0.0625,-3.8813,1.0,0,0,0
tmqm_35,Y,5,26,15,0.5769,0,0.0833,3.2664,1.0,0,0,0
tmqm_36,La,11,27,11,0.4074,0,0.0588,-2.7532,1.0,0,0,0
tmqm_37,Sc,7,26,9,0.3462,0,0.0556,-2.0068,1.0,0,0,0
tmqm_38,Sc,8,26,15,0.5769,0,0.0833,-0.2093,1.0,0,0,0
tmqm_39,La,13,27,23,0.8519,0,0.2,2.8833,1.0,0,0,0
tmqm_40,La,3,16,1,0.0625,0,0.0625,-0.8782,1.0,0,0,0
tmqm_41,Y,12,29,13,0.4483,0,0.0588,-1.4027,1.0,0,0,0
tmqm_42,Sc,4,23,13,0.5652,0,0.0909,4.7563,1.0,0,0,0
tmqm_43,La,12,23,18,0.7826,0,0.1667,7.1931,1.0,0,0,0
tmqm_44,Sc,5,26,20,0.7692,0,0.1429,4.6151,1.0,0,0,0
tmqm_45,Sc,7,26,13,0.5,0,0.0714,-2.0083,1.0,0,0,0
tmqm_46,Y,5,26,23,0.8846,0,0.25,2.1553,1.0,0,0,0
tmqm_47,La,12,24,17,0.7083,0,0.125,7.8954,1.0,0,0,0
tmqm_48,Y,8,26,18,0.6923,0,0.1111,2.2339,1.0,0,0,0
tmqm_49,Y,6,16,11,0.6875,0,0.1667,0.2523,1.0,0,0,0
tmqm_50,La,6,26,12,0.4615,0,0.0667,0.7734,1.0,0,0,0
tmqm_51,La,6,12,7,0.5833,0,0.1667,0.6485,1.0,0,0,0
tmqm_52,Y,2,25,1,0.04,0,0.04,-2.8318,1.0,0,0,0
tmqm_53,Sc,8,26,21,0.8077,0,0.1667,-0.9703,1.0,0,0,0
tmqm_54,Y,6,29,12,0.4138,0,0.0556,-4.1589,1.0,0,0,0
tmqm_55,Sc,9,27,25,0.9259,0,0.3333,6.6503,1.0,0,0,0
tmqm_56,Y,4,26,11,0.4231,0,0.0625,0.8885,1.0,0,0,0
tmqm_57,Y,4,22,12,0.5455,0,0.0909,0.273,1.0,0,0,0
tmqm_58,Y,12,29,19,0.6552,0,0.0909,-0.4393,1.0,0,0,0
tmqm_59,Sc,5,16,4,0.25,0,0.0769,-0.379,1.0,0,0,0
tmqm_60,Sc,5,26,14,0.5385,0,0.0769,4.4874,1.0,0,0,0
tmqm_61,Y,9,21,4,0.1905,0,0.0556,-6.1805,1.0,0,0,0
tmqm_62,La,11,29,14,0.4828,0,0.0625,-1.9728,1.0,1,0,0
tmqm_63,Y,8,26,18,0.6923,0,0.1111,3.2035,1.0,0,0,1
tmqm_64,Sc,5,26,15,0.5769,0,0.0833,4.5049,1.0,0,0,0
tmqm_65,Y,7,29,9,0.3103,0,0.0476,-2.9249,1.0,0,0,0
tmqm_66,La,8,23,4,0.1739,0,0.05,-4.5673,1.0,0,0,0
tmqm_67,La,7,26,20,0.7692,0,0.1429,-0.2865,1.0,0,0,0
tmqm_68,Sc,4,23,14,0.6087,0,0.1,3.7428,1.0,0,0,0
tmqm_69,Sc,5,26,21,0.8077,0,0.1667,5.1863,1.0,0,0,0
tmqm_70,Sc,6,22,18,0.8182,0,0.2,6.0142,1.0,0,0,0
tmqm_71,Y,4,22,13,0.5909,0,0.1,0.5866,1.0,0,0,0
tmqm_72,Sc,6,29,14,0.4828,0,0.0625,5.4878,1.0,0,0,1
tmqm_73,Sc,6,13,4,0.3077,0,0.1,-0.5467,1.0,0,0,0
tmqm_74,Sc,7,26,5,0.1923,0,0.0455,-2.1495,1.0,0,0,0
tmqm_75,Y,5,16,0,0.0,0,0.0588,-1.1751,1.0,0,0,0
tmqm_76,Sc,7,26,11,0.4231,0,0.0625,-2.5209,1.0,0,0,0
tmqm_77,Y,5,27,20,0.7407,0,0.125,2.5307,1.0,0,0,0
tmqm_78,Y,8,26,17,0.6538,0,0.1,2.5791,1.0,0,0,0
tmqm_79,Y,6,29,18,0.6207,0,0.0833,-2.7212,1.0,0,0,0
tmqm_80,Y,3,22,11,0.5,0,0.0833,-2.5644,1.0,0,0,0
tmqm_81,Y,4,9,8,0.8889,0,0.5,0.2543,1.0,0,0,0
tmqm_82,Y,5,24,20,0.8333,0,0.2,3.8814,1.0,0,0,0
tmqm_83,Sc,5,26,19,0.7308,0,0.125,4.3548,1.0,0,0,0
