complex_id,n_decoys,rule_pass_rate,bl_rule_validator_top1,bl_rule_validator_mrr
tmqm_0,26,1.0,0,0.0526
tmqm_1,25,1.0,0,0.5
tmqm_2,26,1.0,0,0.05
tmqm_3,18,1.0,0,0.0526
tmqm_4,26,1.0,1,1.0
tmqm_5,23,1.0,0,0.0417
tmqm_6,18,1.0,0,0.5
tmqm_7,26,1.0,0,0.0417
tmqm_8,27,1.0,0,0.1111
tmqm_9,15,1.0,0,0.0625
tmqm_10,23,1.0,0,0.5
tmqm_11,26,1.0,1,1.0
tmqm_12,24,1.0,0,0.0625
tmqm_13,26,1.0,0,0.05
tmqm_14,22,1.0,0,0.1111
tmqm_15,25,1.0,0,0.0909
tmqm_16,24,1.0,0,0.25
tmqm_17,23,1.0,0,0.1
tmqm_18,27,1.0,0,0.037
tmqm_19,25,1.0,1,1.0
tmqm_20,22,1.0,0,0.05
tmqm_21,15,1.0,0,0.0625
tmqm_22,21,1.0,0,0.0769
tmqm_23,16,1.0,0,0.0588
tmqm_24,27,1.0,0,0.04
tmqm_25,27,1.0,0,0.1
tmqm_26,26,1.0,1,1.0
tmqm_27,26,1.0,0,0.0476
tmqm_28,16,1.0,0,0.0588
tmqm_29,26,1.0,0,0.5
tmqm_30,26,1.0,0,0.0588
tmqm_31,22,1.0,0,0.0556
tmqm_32,27,1.0,0,0.0526
tmqm_33,19,1.0,0,0.1
tmqm_34,24,1.0,0,0.0833
tmqm_35,26,1.0,0,0.0909
tmqm_36,27,1.0,0,0.125
tmqm_37,26,1.0,0,0.0417
tmqm_38,26,1.0,0,0.1667
tmqm_39,27,1.0,0,0.0769
tmqm_40,16,1.0,0,0.0588
tmqm_41,29,1.0,0,0.0333
tmqm_42,23,1.0,0,0.1
tmqm_43,23,1.0,0,0.2
tmqm_44,26,1.0,0,0.0476
tmqm_45,26,1.0,0,0.25
tmqm_46,26,1.0,0,0.0833
tmqm_47,24,1.0,0,0.0625
tmqm_48,26,1.0,0,0.037
tmqm_49,16,1.0,0,0.0588
tmqm_50,26,1.0,0,0.0556
tmqm_51,12,1.0,0,0.0769
