audit_id,case_id,refcode,type,outcome,metal_centers_correct,bridge_targets_correct,haptic_eta_correct,ligand_assignment_reasonable,record_readable,notes
audit_001,,,multi,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_002,,,multi,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_003,,,multi,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_004,,,multi,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_005,,,multi,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_006,,,multi,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_007,,,multi,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_008,,,multi,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_009,,,multi,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_010,,,multi,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_011,,,multi,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_012,,,multi,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_013,,,multi,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_014,,,multi,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_015,,,multi,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_016,,,multi,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_017,,,multi,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_018,,,multi,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_019,,,multi,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_020,,,multi,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_021,,,multi,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_022,,,multi,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_023,,,multi,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_024,,,multi,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_025,,,multi,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_026,,,haptic,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_027,,,haptic,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_028,,,haptic,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_029,,,haptic,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_030,,,haptic,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_031,,,haptic,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_032,,,haptic,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_033,,,haptic,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_034,,,haptic,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_035,,,haptic,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_036,,,haptic,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_037,,,haptic,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_038,,,haptic,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_039,,,haptic,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_040,,,haptic,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_041,,,haptic,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_042,,,haptic,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_043,,,haptic,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_044,,,haptic,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_045,,,haptic,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_046,,,haptic,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_047,,,haptic,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_048,,,haptic,failure,,,,,,[TO BE FILLED BY AUDITOR]
audit_049,,,haptic,success,,,,,,[TO BE FILLED BY AUDITOR]
audit_050,,,haptic,failure,,,,,,[TO BE FILLED BY AUDITOR]
