family,size,metals,cns,L0_match,L1_match,L2_match,L3_match,n_boundary,n_unique_L0,n_unique_L1,n_unique_L2,n_unique_L3
ACACCU,72,Cu,4,0.2062,0.8408,0.8415,0.8415,1,14,4,3,3
COACAC,24,Co,6,0.2754,0.9167,0.2754,0.2754,0,5,2,5,5
CUACDH,24,Cu,6,0.2428,0.3623,0.4783,0.4783,0,12,3,2,2
AKIKIS,22,Co,6,0.9091,0.9091,0.9091,0.9091,0,2,2,2,2
DELPES,22,Zn,6,0.0043,0.1991,0.5152,1.0,7,21,8,2,1
BAXWOM,19,Au,3,0.4269,1.0,1.0,1.0,0,3,1,1,1
ACACVO,14,V,5,0.1319,0.4725,0.4725,1.0,14,6,2,2,1
COTPHP,13,Co,4,0.0,0.3333,1.0,1.0,0,13,3,1,1
ACUWOK,12,Pt,4,0.0,0.697,0.697,1.0,0,12,2,2,1
ACUWUQ,12,Pt,4;5,0.0,0.2879,0.5606,0.5909,0,12,4,3,2
BEYRAY,12,Cu,6,0.8333,0.8333,0.8333,0.8333,0,2,2,2,2
BIKZUT,12,Co,6,1.0,1.0,1.0,1.0,0,1,1,1,1
BPYCPT,11,Pt,4,0.0182,1.0,1.0,1.0,0,10,1,1,1
CDMSOR,10,Ru,6,0.0,0.2667,0.6444,1.0,3,10,4,2,1
ACUXAX,9,Pt,4;5,0.0,0.7778,0.7778,0.7778,0,9,2,2,2
BORQAD,9,Co,6,0.2778,0.4167,0.3056,0.3611,1,5,4,4,3
BQDXPT,9,Pt,4,0.0278,0.5833,0.6111,0.6111,1,8,3,2,2
CDMSOP,9,Pt,4,0.3611,1.0,1.0,1.0,0,3,1,1,1
COPTCY,9,Co,4,0.5833,0.7778,0.7778,0.7778,0,3,2,2,2
CTPPAU,9,Au,2,1.0,1.0,1.0,1.0,0,1,1,1,1
CTPZCU,9,Cu,6,0.0833,1.0,1.0,1.0,0,7,1,1,1
DEXLOJ,9,Pd,4,0.1667,0.5833,0.7778,1.0,0,6,3,2,1
APENCU,8,Cu,5,0.0,0.5357,0.75,0.75,6,8,3,2,2
CATXAY,8,Pt,4,0.1429,1.0,1.0,1.0,0,5,1,1,1
CUQUIN,8,Cu,4,1.0,1.0,1.0,1.0,0,1,1,1,1
ANIMAC,7,Ni,6,0.0,1.0,1.0,1.0,0,7,1,1,1
CETVOP,7,Mn,4,0.0,1.0,1.0,1.0,0,7,1,1,1
CUPICH,7,Cu,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CUTPOR,7,Cu,4,0.0476,0.4286,0.4286,1.0,0,6,2,2,1
DIBFAY,7,Re,6,0.0,0.2857,0.7143,1.0,1,7,4,2,1
ACACMN,6,Mn,6,0.0,0.2,0.6667,0.6667,3,6,4,2,2
AEPIPC,6,Cu,5,0.0667,0.4667,1.0,1.0,2,5,2,1,1
AFOLIQ,6,Mn,6,0.2,0.2667,1.0,1.0,3,4,3,1,1
AGOXEZ,6,Cu,4,0.6667,0.6667,0.6667,0.6667,0,2,2,2,2
ASUPOW,6,Co,6,0.0,0.2,0.4667,0.4667,0,6,4,2,2
AZOCNI,6,Ni,5,0.0,0.2667,1.0,1.0,0,6,3,1,1
BACSIK,6,Co,6,1.0,1.0,1.0,1.0,0,1,1,1,1
BAXFIS,6,Fe,6,0.0,0.4667,0.4667,0.4667,0,6,2,2,2
BAXXAB,6,Fe,6,0.0,0.1333,1.0,1.0,3,6,4,1,1
BORSAF,6,Co,6,0.4,1.0,0.4,0.4,0,3,1,3,3
CAGVOV,6,Co,6,0.0,1.0,1.0,1.0,0,6,1,1,1
CAXPUM,6,Zn,4;5,0.4667,0.4667,0.4667,0.4667,0,2,2,2,2
CIWHAU,6,Fe,6,0.0,0.0667,0.4,0.6667,1,6,5,3,2
CNSPYN,6,Ni,3;6,0.0,0.6667,0.6667,0.6667,0,6,2,2,2
CONICH,6,Co,6,0.0,0.2667,1.0,1.0,0,6,3,1,1
COVLUX,6,Ni,4,0.0,0.4,0.4,1.0,0,6,2,2,1
AGEWOY,5,Pd,4,0.2,0.4,1.0,1.0,0,3,2,1,1
AGUREC,5,Co,6,0.0,0.1,0.1,0.3,1,5,4,4,3
AQCOAM,5,Co,6,0.0,1.0,1.0,1.0,0,5,1,1,1
AWEPAW,5,Cu,4,0.0,0.4,0.4,1.0,0,5,2,2,1
AWOCAQ,5,Cu,4,0.0,0.0,0.2,0.4,2,5,5,3,2
BEGXOB,5,Fe,6,0.0,0.4,1.0,1.0,0,5,2,1,1
BETHEO,5,Cu,4;5,0.0,0.6,0.4,0.4,0,5,2,2,2
BISKIX,5,Pd,4,0.6,1.0,1.0,1.0,0,2,1,1,1
BOJJIW,5,Pd,4,0.0,0.6,0.6,1.0,0,5,2,2,1
BOPXUD,5,Fe,6,0.0,0.4,1.0,1.0,0,5,2,1,1
BPYRUF,5,Ru,6,0.0,0.0,0.6,1.0,2,5,5,2,1
CAYSEE,5,Co,6,1.0,1.0,1.0,1.0,0,1,1,1,1
CLCBCR,5,Cr,6,0.0,0.3,0.4,1.0,1,5,3,2,1
CLTPOC,5,Co,4,0.0,1.0,1.0,1.0,0,5,1,1,1
COXSOY,5,Cu,5;6,0.3,0.3,0.4,0.4,0,3,3,2,2
CUDBEM,5,Fe,6,0.0,0.2,1.0,1.0,0,5,3,1,1
CUPOCY,5,Cu,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CUSALA,5,Cu,4,0.6,1.0,1.0,1.0,0,2,1,1,1
DETZEI,5,Ni,4,1.0,1.0,1.0,1.0,0,1,1,1,1
DIBWOB,5,Cu,4,0.0,1.0,1.0,1.0,0,5,1,1,1
ABUPUM,4,Pt,4,0.0,0.0,0.1667,0.5,1,4,4,3,2
AFEMEE,4,Zn,4,0.1667,1.0,1.0,1.0,0,3,1,1,1
AHUWEF,4,Cu,4,0.1667,1.0,1.0,1.0,0,3,1,1,1
BABMUQ,4,Cu,4,0.3333,1.0,1.0,1.0,0,2,1,1,1
BABNAX,4,Cu,4,0.5,1.0,1.0,1.0,0,2,1,1,1
BEJKUZ,4,Cu,4,0.5,1.0,1.0,1.0,0,2,1,1,1
BENVEV,4,Co,6,0.5,1.0,1.0,1.0,0,2,1,1,1
BETDCU,4,Cu,4,0.0,1.0,1.0,1.0,4,4,1,1,1
BIRFUF,4,Zn,4,0.1667,1.0,1.0,1.0,0,3,1,1,1
BIXSOU,4,Co,6,0.0,0.0,1.0,1.0,2,4,4,1,1
BOCZEB,4,Fe,6,0.0,0.5,1.0,1.0,0,4,2,1,1
