reason,count,pct_of_scanned
no_transition_metal,100863,50.4315
multinuclear,47939,23.9695
no_3d_structure,13564,6.782
disorder,8435,4.2175
hapticity,7325,3.6625
raw_mol_conversion_failed,3402,1.701
cn_out_of_range_7,517,0.2585
cn_out_of_range_8,249,0.1245
polymeric,185,0.0925
invalid_coordrep,179,0.0895
cn_out_of_range_9,73,0.0365
cn_out_of_range_1,68,0.034
cn_out_of_range_0,65,0.0325
cn_out_of_range_10,61,0.0305
cn_out_of_range_11,17,0.0085
cn_out_of_range_12,13,0.0065
cn_out_of_range_24,2,0.001
cn_out_of_range_13,2,0.001
cn_out_of_range_15,1,0.0005
cn_out_of_range_22,1,0.0005
cn_out_of_range_14,1,0.0005
