refcode,metal,oxidation_state,d_count,donor_set,denticity_pattern,S_SP,S_Td,log_S_SP,log_S_Td,L0_hash,L1_hash,L3_hash
ABABUE,Ir,,,"C,N",2-1-1,12.5000,13.0000,1.0969,1.1139,351697199457,995746791920,185269699083
ABAFAN,Cu,+2,d9,,,1.7000,1.6800,0.2304,0.2253,36119276910,119300011776,27589691184
ABAFER,Cu,+2,d9,,,3.6400,0.0500,0.5611,-1.3010,591524772546,976582523276,235985077264
ABAFOZ,Pd,+2,d8,"N,O",2-2,8.4100,2.7600,0.9248,0.4409,993727892815,22095578236,840700147899
ABAJOF,Pt,+2,d8,"C,I,N",1-1-1-1,9.2000,3.4800,0.9638,0.5416,306397015030,150348048295,210394762743
ABAJUL,Pt,+2,d8,"C,I,N",1-1-1-1,3.4600,0.7400,0.5391,-0.1308,942470771344,453704144483,965520734867
ABAKAS,Pt,+2,d8,"C,I,N",1-1-1-1,3.4900,0.7900,0.5428,-0.1024,363546872778,274109030778,170027313791
ABAKEU,W,,,,,3.6300,0.7600,0.5599,-0.1192,342426247097,306757205405,460785333428
ABAKEW,Pt,+2,d8,"C,I,N",1-1-1-1,3.4700,0.7600,0.5403,-0.1192,459363222671,361134246461,79111750589
ABAKIA,Pt,+2,d8,"C,I,N",1-1-1-1,9.0500,3.4600,0.9566,0.5391,326768562448,197853611562,466206758235
ABAKUM,Pd,+2,d8,"C,I,N",1-1-1-1,3.5100,0.8100,0.5453,-0.0915,841613992339,589125809390,196946932987
ABAMIA,Pt,+2,d8,"Cl,P",1-1-1-1,2.9100,0.0400,0.4639,-1.3979,249087375336,125276024426,626718235326
ABANOH,Au,,,"I,P",1-1-1-1,2.9500,0.0800,0.4698,-1.0969,689996324489,774285719277,63694245165
ABAQIE,Au,,,"Br,P",1-1-1-1,2.9100,0.0400,0.4639,-1.3979,281538533554,460696143709,774642839815
ABAQUQ,Au,,,"I,P",2-1-1,9.0400,3.0300,0.9562,0.4814,800619603238,865457935889,208567819038
ABASEC,Ni,+2,d8,N,4,11.7600,14.1800,1.0704,1.1517,51869833705,579786064425,490779870899
ABATIK,Pd,+4,d6,"N,P",1-1,13.4800,16.1200,1.1297,1.2074,744352070137,951577478752,452413068177
ABATOQ,Pd,+4,d6,"N,P",1-1,12.2600,13.8500,1.0885,1.1414,541172557039,750282669923,603618692274
ABAXEH,Ni,+2,d8,,,4.0600,1.6900,0.6085,0.2279,547292149879,866614620068,229367377300
ABAXEH01,Ni,+2,d8,,,9.1700,4.0100,0.9624,0.6031,930527119615,277495918817,229367377300
ABAXEI,Cu,+2,d9,"N,O",2-2,2.9100,0.0300,0.4639,-1.5229,766567145825,484892447140,286317921849
ABAXIM,Cu,+2,d9,"N,O",2-2,2.9100,0.0400,0.4639,-1.3979,372390970788,209936650491,483681453086
ABAXOS,Os,,,,,7.5200,2.6700,0.8762,0.4265,933758545747,96003629763,430086634266
ABAYUB,Cu,+2,d9,,,3.1200,0.2500,0.4942,-0.6021,112835114999,627150616517,197248917997
ABAZIO,Pd,+2,d8,"C,O",1-1,8.9100,3.0400,0.9499,0.4829,937398159175,94064114791,652734486860
ABEBOA,Co,+2,d7,,,3.5900,0.6000,0.5551,-0.2218,820187292714,861172363563,689804698925
ABEBUG,Co,+2,d7,,,3.7900,1.0500,0.5786,0.0212,689862211933,76286474744,225110124688
ABECAN,Co,+2,d7,,,3.1700,0.4500,0.5011,-0.3468,469381235984,41978233976,766526334576
ABECER,Co,+2,d7,,,3.2900,0.7200,0.5172,-0.1427,939015438682,77699826355,742554857266
ABECIV,Co,+2,d7,,,3.5400,1.1400,0.5490,0.0569,208592863263,6470286543,282231824708
ABECOB,Co,+2,d7,,,3.8800,0.5000,0.5888,-0.3010,356575742339,451881254221,789533786262
ABECUH,Co,+2,d7,,,3.0100,0.0100,0.4786,-2.0000,245780682668,663928005776,885016358176
ABEJOG,Rh,+3,d6,"C,P",1-1,11.9200,13.9800,1.0763,1.1455,420059670861,447076076953,668977975902
ABEPAA,Ni,+2,d8,"C,Cl",1-1,8.5900,2.8400,0.9340,0.4533,379200177113,535902388701,989874720085
ABEPEE,Ni,+2,d8,"C,Cl,P",1-1-1-1,3.0300,0.1900,0.4814,-0.7212,287605866147,791949705550,989874720085
ABETAF,Au,,,"Cl,S",2-1-1,10.1600,10.8900,1.0069,1.0370,848936802287,562566074436,611381110222
ABETEH,Cu,+2,d9,,,4.8800,0.5500,0.6884,-0.2596,429082545783,556019316803,360069277588
ABETIL,Cu,+2,d9,,,4.0600,0.3800,0.6085,-0.4202,729003121611,73751403657,985383126086
ABETUZ,Pd,+2,d8,"C,S",1-1,3.5900,0.8800,0.5551,-0.0555,445995661065,843258381633,177105878931
ABEVAH,Pd,+2,d8,"C,S",1-1,3.5700,0.8500,0.5527,-0.0706,504918309197,652535911397,47780618911
ABEVEL,Pd,+2,d8,"C,S",1-1,3.5800,0.9000,0.5539,-0.0458,667493429001,965467974083,320346994142
ABEYAK,Cu,+2,d9,,,5.5600,1.0400,0.7451,0.0170,729332303333,14376352940,780320495607
ABEYIS,Cu,+2,d9,Cl,1-1-1-1,2.8800,0.0000,0.4594,-3.0000,472357683877,78186792968,780320495607
ABEYIS01,Cu,+2,d9,Cl,1-1-1-1,2.9000,0.0200,0.4624,-1.6990,223274774690,78186792968,780320495607
ABICUK,Rh,+1,d8,"Br,C,N",2-1-1,8.1900,3.5600,0.9133,0.5514,850420740347,46211983618,364319020027
ABIDEU,Zn,+2,d10,,,2.1000,0.1600,0.3222,-0.7959,565640397319,397531187107,875712788852
ABIDIB,Pd,+2,d8,"N,O",1-1-1-1,2.9400,0.0600,0.4683,-1.2218,567529855429,114285427461,576061976123
ABIDIY,Co,+2,d7,,,3.7900,0.9400,0.5786,-0.0269,214226291560,802274745435,527968008554
ABIDOE,Cd,,,,,5.0100,0.5600,0.6998,-0.2518,322038092432,795995826896,545323524741
ABIFAV,Pd,+2,d8,"N,O",1-1-1-1,2.9000,0.0200,0.4624,-1.6990,964577596075,876775362247,260624235062
ABIFAW,Zn,+2,d10,,,1.4500,0.5100,0.1614,-0.2924,403359055658,808135023579,896541601660
ABIFEZ,Pd,+2,d8,"N,O",1-1-1-1,2.9200,0.0400,0.4654,-1.3979,870388984010,109090684202,73503940086
ABIGAX,Ni,+2,d8,"N,S",4,16.1500,20.0300,1.2082,1.3017,486562159248,588543526086,232706622137
ABIGEB,Ni,+2,d8,"N,S",4,11.8500,11.4000,1.0737,1.0569,187397864545,182359897729,12061473314
ABIGIF,Cu,+2,d9,,,2.8000,1.0700,0.4472,0.0294,263567439337,575968415418,360637729454
ABIMUV,Mn,,,,,1.4600,0.2400,0.1644,-0.6198,740951833447,853685848303,532555858120
ABIPIK,Ni,+2,d8,N,4,8.5100,2.8800,0.9299,0.4594,111364576298,372422600121,800626049960
ABIQUY,Zn,+2,d10,,,4.5900,0.8200,0.6618,-0.0862,327614868475,177110705521,95836730243
ABIWUD,Pt,+2,d8,"Cl,N",1-1-1-1,8.8000,3.0200,0.9445,0.4800,511948106174,387362945770,335975144714
ABIWUE,Pd,+2,d8,"Cl,N",2-1-1,9.5500,3.1800,0.9800,0.5024,648956021262,186372546744,966717755120
ABIYER,Cu,+2,d9,,,2.4500,1.8200,0.3892,0.2601,868344655601,405611890485,818019302921
ABIZOC,Zn,+2,d10,,,7.1100,8.6900,0.8519,0.9390,33868129442,432867502192,995773781174
ABOBAU,Cu,+2,d9,"N,O",4,8.8000,2.9700,0.9445,0.4728,455757326876,867960480815,170931146482
ABOBIE,Pt,+2,d8,"Cl,N,S",3-1,10.0800,7.7300,1.0035,0.8882,276710068007,360170153448,517802366108
ABODUS,Cu,+2,d9,,,3.3200,0.1000,0.5211,-1.0000,520481799140,610870911613,757764158668
ABODUU,Zn,+2,d10,C,1-1,15.6300,14.0600,1.1940,1.1480,499111342033,206886854732,381998518661
ABOFAA,Cu,+2,d9,,,3.3800,0.0700,0.5289,-1.1549,981770699124,630773726183,435472731166
ABOFAZ,Pd,+2,d8,"Cl,N",2-1-1,9.0900,3.0200,0.9586,0.4800,712860256778,229344404299,480123634841
ABOFEE,Cu,+2,d9,,,3.2000,0.0200,0.5051,-1.6990,889345664191,297180064890,22275640847
ABOGOR,Cu,+2,d9,,,2.4200,0.5300,0.3838,-0.2757,720021919126,409544596473,678661321795
ABOJIO,Ni,+2,d8,"Br,N,P",3-1,3.1600,0.3500,0.4997,-0.4559,803708282998,270573996758,305994557274
ABOMIP,Cu,+2,d9,,,3.0300,1.9400,0.4814,0.2878,867895996596,768925962045,848253239704
ABOQEO,Ni,+2,d8,,,14.8200,19.9800,1.1708,1.3006,91504250332,687915069031,481818886608
ABOQUE,Pt,+2,d8,"Cl,N",1-1,10.0900,13.5200,1.0039,1.1310,949716070052,254167789314,835453025221
