refcode,metal,S_TBPY,S_SPY,delta,in_ridge
ABAHUH,Co,0.62,1.06,0.44,True
ABAJAP,Ni,7.83,9.03,1.2,False
ABAJET,Zn,3.68,5.77,2.09,False
ABAJIX,Co,4.33,11.28,6.95,False
ABAKOE,W,0.42,0.81,0.39,True
ABAMOJ,Cu,0.73,5.44,4.71,False
ABAMUO,Cu,4.69,5.94,1.25,False
ABAMUP,Cu,1.1,5.73,4.63,False
ABARON,Co,0.74,4.88,4.14,False
ABASAA,Zn,6.06,7.07,1.01,False
ABEGOG,Zn,0.08,0.74,0.66,True
ABEJAS,Rh,8.81,11.62,2.81,False
ABEJUM01,Ru,0.3,1.95,1.65,False
ABENAW01,Zr,0.62,0.88,0.26,True
ABERUW,Ti,11.9,6.65,5.25,False
ABEWIQ,Fe,0.16,1.17,1.01,False
ABEYIQ,Zr,0.51,5.5,4.99,False
ABEZAJ,Ti,7.11,8.63,1.52,False
ABIJEB,Fe,7.35,9.39,2.04,False
ABILUW,Mo,0.07,1.22,1.15,False
ABIWUH,Hg,6.21,6.77,0.56,True
ABIXAO,Hg,5.2,5.35,0.15,True
ABIZIW,Cd,3.75,5.58,1.83,False
ABOBOK,V,1.11,5.93,4.82,False
ABOFAC,Zn,0.69,0.85,0.16,True
ABOJOU,Ni,4.32,6.77,2.45,False
ABOMAH,Ni,5.12,5.67,0.55,True
ABOSIW,Cu,0.4,0.69,0.29,True
ABOWOF,Zn,0.17,5.63,5.46,False
ABOXOI,Zn,0.77,5.61,4.84,False
ABOXUO,Zn,0.59,0.92,0.33,True
ABOZOJ,Fe,0.3,1.07,0.77,True
ABUBEI,Hg,5.65,5.85,0.2,True
ABUFEJ,Ru,5.69,5.77,0.08,True
ABUMUG,Cu,0.66,2.01,1.35,False
ABUNET,Cu,10.97,7.99,2.98,False
ABUSAU,Cd,1.05,6.93,5.88,False
ABYPCU,Cu,10.27,6.28,3.99,False
ACACVO02,V,0.1,0.69,0.59,True
ACACVO03,V,5.18,5.95,0.77,True
ACACVO04,V,0.1,0.84,0.74,True
ACACVO05,V,0.1,0.69,0.59,True
ACACVO06,V,0.1,0.85,0.75,True
ACACVO07,V,5.17,5.95,0.78,True
ACACVO08,V,0.1,0.85,0.75,True
ACACVO09,V,5.18,5.95,0.77,True
ACACVO10,V,0.1,0.84,0.74,True
ACACVO11,V,5.17,5.95,0.78,True
ACACVO12,V,0.1,0.84,0.74,True
ACACVO13,V,5.17,5.95,0.78,True
ACACVO14,V,5.19,5.95,0.76,True
ACACVO15,V,0.1,0.84,0.74,True
ACACZM02,Zn,0.34,0.44,0.1,True
ACADAL,Cu,5.0,6.83,1.83,False
ACADEP,Cu,0.35,0.69,0.34,True
ACADOZ,Cu,4.44,5.69,1.25,False
ACADUF,Cu,4.92,6.64,1.72,False
ACAGAP,Cu,5.26,5.71,0.45,True
ACAJIB,Fe,0.72,5.85,5.13,False
ACAVOS,Co,5.39,5.93,0.54,True
ACEBER,Re,5.0,5.75,0.75,True
ACEFUJ,Zr,0.94,6.89,5.95,False
ACEGOH,Cr,0.57,0.93,0.36,True
ACERUV,Re,4.86,5.52,0.66,True
ACIFIC,Cu,4.93,6.18,1.25,False
ACILIH,V,4.12,5.76,1.64,False
ACIZEU,Ir,0.27,1.31,1.04,False
ACMCUA,Cu,8.21,10.5,2.29,False
ACOCIF,Zn,4.52,5.69,1.17,False
ACOCIF01,Zn,4.53,5.67,1.14,False
ACOLAI,Cu,1.23,3.37,2.14,False
ACONIQ,V,0.23,5.33,5.1,False
ACOSUG,Mo,0.14,0.85,0.71,True
ACOTIV,Fe,4.67,5.74,1.07,False
ACOTIV01,Fe,4.84,5.82,0.98,True
ACTHCU,Cu,5.2,6.08,0.88,True
ACUBOS,Cu,0.52,4.36,3.84,False
ACUBOS01,Cu,0.52,6.72,6.2,False
ACUDOT,Cd,2.47,4.54,2.07,False
ACUVOK,Cu,6.84,12.86,6.02,False
ACUWUQ01,Pt,1.05,4.6,3.55,False
ACUWUQ02,Pt,1.06,4.58,3.52,False
ACUWUQ03,Pt,4.61,6.32,1.71,False
ACUXAX08,Pt,0.93,4.79,3.86,False
ACUYEC,Cu,5.28,6.45,1.17,False
ADABOW,Zn,1.06,6.49,5.43,False
ADABOZ,Co,0.46,5.57,5.11,False
ADABUC,Cd,5.74,5.94,0.2,True
ADAFAQ,Ir,5.51,5.73,0.22,True
ADAHIX,Cu,0.07,3.8,3.73,False
ADAKEY,Co,0.26,5.73,5.47,False
ADALIB,Cu,9.84,11.41,1.57,False
ADASOR,Ru,5.66,5.86,0.2,True
ADASUX,Ru,5.66,5.87,0.21,True
ADASUX01,Ru,5.71,6.07,0.36,True
ADATAE,Ru,5.73,5.99,0.26,True
ADAWIO,Cd,3.86,9.2,5.34,False
ADEQUX,Cd,5.96,7.0,1.04,False
ADIDAS,V,5.1,6.07,0.97,True
ADIFEY,V,4.77,5.47,0.7,True
ADIPUB,Mn,0.07,0.76,0.69,True
ADIQAI,Mn,0.07,0.73,0.66,True
ADISIT,Fe,0.29,5.49,5.2,False
ADIZET,Cu,0.74,5.71,4.97,False
ADOROA,Mn,5.43,6.59,1.16,False
ADUGAK,Zn,0.61,7.46,6.85,False
ADUZOQ,Ru,5.73,6.23,0.5,True
AEPIPC01,Cu,4.99,5.91,0.92,True
AEPIPC02,Cu,5.0,5.91,0.91,True
AEPIPC03,Cu,4.81,5.85,1.04,False
AEPIPC04,Cu,4.82,5.84,1.02,False
AEPIPC05,Cu,4.81,5.85,1.04,False
AEPIPC06,Cu,4.84,5.87,1.03,False
AETCUB,Cu,5.32,16.12,10.8,False
AEZNPB,Zn,0.67,5.81,5.14,False
AFAFIA,Ru,6.82,6.82,0.0,True
AFAJOH,Cu,0.66,5.9,5.24,False
AFATAE,Mn,4.49,6.11,1.62,False
AFEDAS,Cd,1.05,3.83,2.78,False
AFEGUO,Cu,4.5,5.82,1.32,False
AFEHID,Zn,4.78,6.32,1.54,False
AFEJAX,Zn,5.45,5.98,0.53,True
AFEKOP,Fe,3.09,7.43,4.34,False
AFELED,Cu,4.64,6.63,1.99,False
AFELED01,Cu,4.64,5.05,0.41,True
AFEPUA,Co,0.37,1.19,0.82,True
AFEZAP,Cu,4.78,5.9,1.12,False
AFIBID,Zn,2.16,2.46,0.3,True
AFIDIF,Cu,5.36,6.61,1.25,False
AFIMEL,Mn,5.11,5.49,0.38,True
AFIMUB,Cu,7.36,7.15,0.21,True
AFIPUA,Cu,5.13,6.4,1.27,False
AFIPUE,Cu,4.15,6.77,2.62,False
AFIVUH,Co,0.46,1.08,0.62,True
AFOKOZ,Mo,1.21,6.21,5.0,False
AFOKUF,Mo,0.79,1.62,0.83,True
