refcode,metal,oxidation_state,d_count,metal_row,donor_set,S_Oh,S_TPr,JT_proxy,L0_hash,L1_hash,L3_hash
ABASON,W,,,6,"N,O",5.7000,6.0400,5.7000,645082646957,913931759450,364355925701
ABAWAF,Re,,,6,"C,P,S",4.1000,9.2700,4.1000,936289488351,988181597702,415172354568
ABAWEJ,Re,,,6,"As,C,S",5.9100,13.7000,5.9100,958077855825,603677447683,962191117134
ABAWIN,Re,,,6,"C,N,S",3.5000,5.0500,3.5000,43828104735,325706998889,41850327222
ABAXIK,Fe,+2,d6,4,"C,I,N",4.7200,8.5200,4.7200,776873789533,89678684784,572593153994
ABAXUX,Pd,+4,d6,5,"Br,C,N",4.1600,8.6000,4.1600,679666141246,955691733045,211899596418
ABAZAH,Ir,,,6,"C,N,O",5.8200,6.1500,5.8200,455827633622,114009915805,720144420413
ABAZEL,Ir,,,6,"C,N,O",0.2300,4.7000,0.2300,183222234823,554895085116,720144420413
ABAZIQ,Ru,+2,d6,5,N,4.9800,7.2600,4.9800,152329034726,110436691171,517162035177
ABECIU,Ni,+2,d8,4,"N,O,S",3.5700,8.6200,3.5700,166832445145,211740372050,440321616002
ABEFUI,Zr,,,5,"N,O",6.2300,13.1300,6.2300,648811703350,240733490411,541087028009
ABEFUI01,Zr,,,5,"N,O",6.2300,13.1300,6.2300,648811703350,240733490411,541087028009
ABEHAU,Pt,+4,d6,6,"C,N,P",5.9600,6.1200,5.9600,45004347004,709577892395,761289188242
ABEKIF,Pt,+4,d6,6,"C,N,P",3.8400,5.7200,3.8400,627566829664,556550502425,235666264532
ABESEI,Ni,+2,d8,4,O,0.0200,5.8800,0.0200,314110160152,644856364723,580871924156
ABEZAM,Ni,+2,d8,4,C,5.0600,6.9800,5.0600,603231083647,344105537918,464148748460
ABEZOY,Re,,,6,"C,N",5.6200,8.4500,5.6200,79625462402,411926812075,429258179253
ABEZUD,Ru,+2,d6,5,"Cl,N,P",6.7900,13.2000,6.7900,888988629639,475120133958,978390151562
ABHPRE01,Re,,,6,"Cl,P",6.0000,6.5000,6.0000,103491143886,486352891036,720685050181
ABIBAP,Ru,+2,d6,5,"As,Cl,N",4.5400,9.4600,4.5400,194300934909,819021151358,307737853826
ABIKOM,Mo,,,5,"O,S",5.8500,9.1500,5.8500,389844806530,155894281359,503522114201
ABIKUS,Mo,,,5,,4.1700,4.9600,4.1700,575848933680,317135506269,339405638518
ABILED,Mo,,,5,,4.0100,8.5500,4.0100,780968512639,336185698954,700590002951
