region,feature,value,count_in_region,n_region,fraction_in_region,fraction_overall,odds_ratio
SPY-like,oxidation_state,+3,25,321,0.0779,0.0228,3.824
TBPY-like,denticity_pattern,4-1-1,8,8288,0.001,0.0007,3.192
near-diagonal intermediate,denticity_pattern,1-1-1-1,532,6288,0.0846,0.0525,3.09
SPY-like,metal,Zr,11,321,0.0343,0.0132,2.745
SPY-like,d_count,d9,141,321,0.4393,0.237,2.585
SPY-like,metal,Cu,141,321,0.4393,0.237,2.585
near-diagonal intermediate,donor_set,"C,N,P",129,6288,0.0205,0.0134,2.519
SPY-like,donor_set,"N,O",71,321,0.2212,0.1045,2.502
near-diagonal intermediate,metal,Ir,273,6288,0.0434,0.0288,2.459
SPY-like,denticity_pattern,3-1,14,321,0.0436,0.0192,2.398
near-diagonal intermediate,metal,Ru,744,6288,0.1183,0.0816,2.319
SPY-like,metal_row,4,261,321,0.8131,0.6846,2.031
near-diagonal intermediate,donor_set,P,241,6288,0.0383,0.0277,1.967
near-diagonal intermediate,donor_set,"C,O",147,6288,0.0234,0.0168,1.958
SPY-like,metal,Ti,16,321,0.0498,0.0269,1.939
TBPY-like,metal,Cd,198,8288,0.0239,0.0189,1.924
near-diagonal intermediate,donor_set,C,260,6288,0.0413,0.0305,1.861
near-diagonal intermediate,metal,Re,257,6288,0.0409,0.0303,1.848
near-diagonal intermediate,metal_row,6,1043,6288,0.1659,0.1299,1.72
near-diagonal intermediate,metal,V,443,6288,0.0705,0.0548,1.669
near-diagonal intermediate,denticity_pattern,2-1-1,231,6288,0.0367,0.0285,1.654
TBPY-like,metal_row,4,6036,8288,0.7283,0.6846,1.576
near-diagonal intermediate,denticity_pattern,4,154,6288,0.0245,0.0195,1.564
TBPY-like,d_count,d9,2249,8288,0.2714,0.237,1.547
TBPY-like,metal,Cu,2249,8288,0.2714,0.237,1.547
SPY-like,metal,Ni,16,321,0.0498,0.034,1.508
SPY-like,denticity_pattern,2-2,15,321,0.0467,0.0328,1.458
near-diagonal intermediate,donor_set,"C,N",246,6288,0.0391,0.0324,1.445
near-diagonal intermediate,d_count,d6,1442,6288,0.2293,0.197,1.418
TBPY-like,metal,Co,639,8288,0.0771,0.0683,1.377
near-diagonal intermediate,metal_row,5,1344,6288,0.2137,0.1855,1.376
TBPY-like,d_count,d7,565,8288,0.0682,0.0609,1.341
TBPY-like,oxidation_state,+4,5,8288,0.0006,0.0005,1.329
TBPY-like,oxidation_state,+2,5451,8288,0.6577,0.6287,1.323
TBPY-like,donor_set,"N,O",943,8288,0.1138,0.1045,1.254
TBPY-like,donor_set,O,238,8288,0.0287,0.0265,1.215
SPY-like,donor_set,N,59,321,0.1838,0.157,1.214
SPY-like,oxidation_state,+2,215,321,0.6698,0.6287,1.203
TBPY-like,d_count,d10,1006,8288,0.1214,0.1135,1.195
TBPY-like,metal,Zn,1006,8288,0.1214,0.1135,1.195
near-diagonal intermediate,denticity_pattern,2-2,227,6288,0.0361,0.0328,1.193
near-diagonal intermediate,has_stereo,True,3815,6288,0.6067,0.5827,1.187
TBPY-like,has_stereo,False,3611,8288,0.4357,0.4173,1.186
TBPY-like,donor_set,N,1381,8288,0.1666,0.157,1.179
TBPY-like,donor_set,"Cl,N",335,8288,0.0404,0.0378,1.179
TBPY-like,denticity_pattern,1-1,3216,8288,0.388,0.3721,1.167
SPY-like,donor_set,"C,N",12,321,0.0374,0.0324,1.166
TBPY-like,metal,Fe,808,8288,0.0975,0.0921,1.158
SPY-like,d_count,d8,16,321,0.0498,0.0436,1.156
near-diagonal intermediate,donor_set,"C,P",187,6288,0.0297,0.0278,1.132
SPY-like,denticity_pattern,2,20,321,0.0623,0.0558,1.128
SPY-like,donor_set,"C,O",6,321,0.0187,0.0168,1.114
TBPY-like,metal,Ti,232,8288,0.028,0.0269,1.104
SPY-like,metal,W,8,321,0.0249,0.0228,1.1
TBPY-like,metal,Mn,305,8288,0.0368,0.0356,1.084
TBPY-like,denticity_pattern,2,476,8288,0.0574,0.0558,1.073
near-diagonal intermediate,metal,Ni,220,6288,0.035,0.034,1.055
SPY-like,d_count,d10,37,321,0.1153,0.1135,1.018
SPY-like,metal,Zn,37,321,0.1153,0.1135,1.018
SPY-like,has_stereo,True,188,321,0.5857,0.5827,1.013
near-diagonal intermediate,oxidation_state,+3,144,6288,0.0229,0.0228,1.006
TBPY-like,d_count,d8,362,8288,0.0437,0.0436,1.006
SPY-like,has_stereo,False,133,321,0.4143,0.4173,0.987
near-diagonal intermediate,metal,Mn,222,6288,0.0353,0.0356,0.986
near-diagonal intermediate,d_count,d8,271,6288,0.0431,0.0436,0.981
near-diagonal intermediate,denticity_pattern,3-1,118,6288,0.0188,0.0192,0.961
SPY-like,denticity_pattern,4,6,321,0.0187,0.0195,0.959
TBPY-like,donor_set,"C,P",225,8288,0.0271,0.0278,0.948
TBPY-like,denticity_pattern,3-1,154,8288,0.0186,0.0192,0.929
near-diagonal intermediate,denticity_pattern,2,335,6288,0.0533,0.0558,0.92
near-diagonal intermediate,metal,Fe,553,6288,0.0879,0.0921,0.917
SPY-like,denticity_pattern,1-1,113,321,0.352,0.3721,0.915
TBPY-like,metal,Ni,270,8288,0.0326,0.034,0.909
near-diagonal intermediate,denticity_pattern,1-1,2214,6288,0.3521,0.3721,0.862
near-diagonal intermediate,donor_set,"Cl,N",218,6288,0.0347,0.0378,0.86
TBPY-like,donor_set,"N,P",95,8288,0.0115,0.0123,0.859
SPY-like,metal,Co,19,321,0.0592,0.0683,0.856
TBPY-like,has_stereo,True,4677,8288,0.5643,0.5827,0.843
near-diagonal intermediate,has_stereo,False,2473,6288,0.3933,0.4173,0.842
near-diagonal intermediate,donor_set,O,150,6288,0.0239,0.0265,0.834
near-diagonal intermediate,d_count,d10,648,6288,0.1031,0.1135,0.833
near-diagonal intermediate,metal,Zn,648,6288,0.1031,0.1135,0.833
near-diagonal intermediate,donor_set,N,899,6288,0.143,0.157,0.831
near-diagonal intermediate,d_count,d7,342,6288,0.0544,0.0609,0.819
SPY-like,donor_set,"Cl,N",10,321,0.0312,0.0378,0.815
SPY-like,donor_set,O,7,321,0.0218,0.0265,0.815
TBPY-like,denticity_pattern,2-2,247,8288,0.0298,0.0328,0.808
TBPY-like,oxidation_state,+3,171,8288,0.0206,0.0228,0.803
SPY-like,denticity_pattern,1-1-1-1,13,321,0.0405,0.0525,0.758
TBPY-like,metal_row,5,1382,8288,0.1667,0.1855,0.757
near-diagonal intermediate,oxidation_state,+2,3699,6288,0.5883,0.6287,0.742
near-diagonal intermediate,metal,Co,359,6288,0.0571,0.0683,0.732
TBPY-like,d_count,d6,1445,8288,0.1743,0.197,0.725
SPY-like,d_count,d6,48,321,0.1495,0.197,0.712
near-diagonal intermediate,donor_set,"N,O",543,6288,0.0864,0.1045,0.708
TBPY-like,donor_set,"C,N",224,8288,0.027,0.0324,0.684
TBPY-like,denticity_pattern,4,130,8288,0.0157,0.0195,0.642
TBPY-like,denticity_pattern,2-1-1,190,8288,0.0229,0.0285,0.636
TBPY-like,metal,V,364,8288,0.0439,0.0548,0.624
TBPY-like,metal_row,6,870,8288,0.105,0.1299,0.611
near-diagonal intermediate,metal_row,4,3901,6288,0.6204,0.6846,0.6
SPY-like,metal_row,5,38,321,0.1184,0.1855,0.584
near-diagonal intermediate,d_count,d9,1141,6288,0.1815,0.237,0.577
near-diagonal intermediate,metal,Cu,1141,6288,0.1815,0.237,0.577
TBPY-like,donor_set,C,192,8288,0.0232,0.0305,0.572
SPY-like,metal,V,10,321,0.0312,0.0548,0.549
TBPY-like,donor_set,P,167,8288,0.0201,0.0277,0.534
TBPY-like,donor_set,"C,O",98,8288,0.0118,0.0168,0.505
SPY-like,metal_row,6,22,321,0.0685,0.1299,0.487
TBPY-like,metal,Ru,461,8288,0.0556,0.0816,0.457
SPY-like,metal,Ru,10,321,0.0312,0.0816,0.357
SPY-like,metal,Fe,11,321,0.0343,0.0921,0.345
TBPY-like,denticity_pattern,1-1-1-1,237,8288,0.0286,0.0525,0.328
