L3_hash,n_records,n_refcodes,unique_L0,unique_L1,unique_L2,CN,metal,ligand_signature,geometry_span,max_pairwise_CShM_distance,crosses_shape_boundary,representative_refcodes
463888590564,3,3,3,3,2,4,Pd,[H]C([H])([H])OC(S)S;[H]C([H])([H])OC(S)S,10.1,10.1001,True,LINMOL;LINMOL01;LINMOL02
413504888459,2,2,2,2,2,4,Ni,[H]N([H])C(S)S;[H]N([H])C(S)S,9.84,10.997,False,NIDTHC10;NIDTHC11
371011783775,6,6,6,4,2,4,Ni,[H]C(=NC1C([H])C([H])C([H])C([H])C1N=C([H])C1C([H])C([H])C([H])C(OC([H])([H])C([,9.25,12.1622,True,IKEXEC;MIGTEE;MIGTEE01;MIGTEE02;MIGTEE03;SONXUP
918517807621,2,2,2,2,1,4,Cu,[H]C(=NC(C#N)=C(C#N)N=C([H])C1C([H])C([H])C([H])C([H])C1O)C1C([H])C([H])C([H])C(,9.1,9.3936,True,TOPHIP;TOPHIP01
459862244708,3,3,3,2,2,4,Pd,[H]C([H])([H])C([H])([H])OC(S)S;[H]C([H])([H])C([H])([H])OC(S)S,8.97,10.5926,False,GADNOP;GADNOP01;GADNOP02
99885397104,4,4,4,2,1,4,Pt,[H]C([H])([H])C([H])([H])OC(S)S;[H]C([H])([H])C([H])([H])OC(S)S,8.97,11.9627,False,YOSNAV01;YUVSAN;YUVSER;YUVYIB
426961457385,2,2,2,2,1,4,Co,[H]C(=NC1C([H])C([H])C([H])C([H])C1N=C([H])C1C([H])C([H])C([H])C([H])C1O)C1C([H],8.91,9.1541,True,COSALP10;COSALP11
590391935808,2,2,2,2,2,4,Ni,Cl;[H]C(=NC1C([H])C([H])C([H])C2C([H])C([H])C([H])NC12)C1C([H])C(C(C([H])([H])[H,8.91,9.096,False,VETTUM;VETTUM01
356898165187,3,3,3,3,2,4,Ni,[H]C(=NC([H])([H])C([H])([H])N=C([H])C1C([H])C([H])C([H])C([H])C1O)C1C([H])C([H],8.88,8.8814,False,COXNIN;FEYWEM;TUBJEH
473044553894,3,3,3,2,1,4,Ni,[H]C1C([H])C(S(=O)(=O)N=C(S)S)C([H])C([H])C1C([H])([H])[H];[H]C1C([H])C(S(=O)(=O,8.71,8.7101,False,LARMEY;LARMOI;LARMUO
888391653448,2,2,2,2,2,4,Cu,[H]C1C([H])C([H])C2SC(=NN=C3N(C([H])([H])[H])C([H])([H])C([H])([H])N3C([H])([H]),8.69,9.718,True,SAQJUT;SAQKAA
15051971201,2,2,2,2,2,4,Ni,[H]C1C([H])C2NC(C1[H])C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])N(C([H]),8.17,17.6365,True,HAPFUD;HAPGAK
619191397574,4,4,4,2,2,4,Zn,[H]C1C([H])C([H])C(C([H])([H])N(C(S)S)C([H])([H])C2C([H])C([H])C([H])C([H])C2[H],8.16,8.2073,False,IPEHOA01;IPEHOA02;IPEHOA03;IPEHOA04
739455498492,2,2,2,2,2,4,Ni,[H]C1C([H])C([H])C(C(N[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N[Si](C,8.05,9.0114,False,TAPKEB;VAWKOT
138713195408,5,5,5,4,2,6,Cu,O=N(O)O;[H]C1NC2C3NC([H])C([H])C([H])C3C([H])C([H])C2C([H])C1[H];[H]C1NC2C3NC([H,7.92,8.1613,True,GALFEJ;OWUQOO;WEMKUX;WEMKUX01;WEMKUX02
261231273898,2,2,2,2,2,4,Cr,[H]C([H])([H])C(NC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N,7.84,8.2758,True,LEGFOS;LEGFOS01
775942061520,4,4,4,3,2,6,Fe,[H]C(=NC([H])([H])C([H])([H])C([H])([H])[H])c1nc(C([H])([H])[H])n([H])c1[H];[H]C,7.57,7.5822,False,BAKGUR;BAKGUR01;RANDER;RANDER04
5920713159,11,11,11,8,2,6,Zn,[H]C(=NC([H])([H])C([H])([H])N(C([H])([H])C([H])([H])N=C([H])C1NC(C([H])([H])[H],7.56,8.1043,True,NIQGAW;NIQGAW01;NIQGAW02;NIQGAW03;NIQGAW04;NIQGAW05
969556754373,23,23,23,9,2,6,Fe,[H]C1NC(C2NC([H])C([H])C([H])C2[H])C([H])C([H])C1[H];[H]C1NC(C2NC([H])C([H])C([H,7.55,7.5617,True,GOLNEE;HIYREO;HUCJIB;HUCJIB01;JOSVOE;LOQFII
335338447408,10,10,10,8,2,6,Fe,[H]C(=NC([H])([H])C([H])([H])N(C([H])([H])C([H])([H])N=C([H])C1NC(C([H])([H])[H],7.45,10.3244,True,NIQFUP06;NIQFUP07;NIQFUP08;NIQFUP09;NIQFUP10;NIQFUP11
138760508298,8,8,7,4,2,4,Ni,[H]C(=NC1C([H])C([H])C([H])C([H])C1N=C([H])C1C([H])C([H])C([H])C([H])C1O)C1C([H],7.42,9.0895,True,ZZZTZI02;ZZZTZI03;ZZZTZI05;ZZZTZI06;ZZZTZI07;ZZZTZI09
282230833682,10,10,10,8,2,6,Zn,[H]C1NC(C2NC([H])C([H])C([H])C2[H])C([H])C([H])C1[H];[H]C1NC(C2NC([H])C([H])C([H,7.32,7.688,True,OLOCOI;TEBSUP;TEBSUP01;TOMSUL;UTAXUL;WOTSON
264369328494,2,2,2,2,1,5,Ni,[H]C([H])([H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])N(C,7.28,8.7532,False,XIPHEN;XIPVAX
