variant,metric,value
composite_pretrained,cn_mrr,0.0
composite_pretrained,cn_n,2000
composite_pretrained,cn_top1,0.0055
composite_pretrained,cn_top5,0.033
composite_pretrained,donor_mrr,0.2816
composite_pretrained,donor_n,2336
composite_pretrained,donor_top1,0.1464
composite_pretrained,donor_top5,0.405
composite_pretrained,joint_cn_only_top1,0.0055
composite_pretrained,joint_metal_cn_top1,0.0055
composite_pretrained,joint_metal_only_top1,0.0055
composite_pretrained,metal_mrr,0.0
composite_pretrained,metal_n,2000
composite_pretrained,metal_top1,0.0055
composite_pretrained,metal_top5,0.0345
composite_matched,cn_mrr,0.0
composite_matched,cn_n,2000
composite_matched,cn_top1,0.1375
composite_matched,cn_top5,0.3805
composite_matched,donor_mrr,0.2581
composite_matched,donor_n,1175
composite_matched,donor_top1,0.1506
composite_matched,donor_top5,0.3643
composite_matched,joint_cn_only_top1,0.1375
composite_matched,joint_metal_cn_top1,0.1375
composite_matched,joint_metal_only_top1,0.1375
composite_matched,metal_mrr,0.0
composite_matched,metal_n,2000
composite_matched,metal_top1,0.1375
composite_matched,metal_top5,0.3815
factorized,cn_mrr,0.0
factorized,cn_n,2000
factorized,cn_top1,0.49
factorized,cn_top5,0.9595
factorized,donor_mrr,0.4352
factorized,donor_n,4541
factorized,donor_top1,0.275
factorized,donor_top5,0.6388
factorized,joint_cn_only_top1,0.467
factorized,joint_metal_cn_top1,0.294
factorized,joint_metal_only_top1,0.662
factorized,metal_mrr,0.0
factorized,metal_n,2000
factorized,metal_top1,0.6775
factorized,metal_top5,0.9875
