model,ablation_mode,cn,n,top1,top5
composite_pretrained,full_context,1,2,1.0,1.0
composite_pretrained,full_context,10,202,0.901,1.0
composite_pretrained,full_context,11,138,0.8841,1.0
composite_pretrained,full_context,12,424,0.9198,0.9976
composite_pretrained,full_context,13,102,0.9314,1.0
composite_pretrained,full_context,14,66,0.8939,1.0
composite_pretrained,full_context,15,2,1.0,1.0
composite_pretrained,full_context,16,2,1.0,1.0
composite_pretrained,full_context,2,12,0.8333,1.0
composite_pretrained,full_context,3,88,0.9318,1.0
composite_pretrained,full_context,4,334,0.9192,1.0
composite_pretrained,full_context,5,546,0.9304,1.0
composite_pretrained,full_context,6,1446,0.9025,1.0
composite_pretrained,full_context,7,594,0.8737,1.0
composite_pretrained,full_context,8,704,0.8651,0.9986
composite_pretrained,full_context,9,338,0.858,1.0
composite_pretrained,no_ligand_smiles_keep_length,1,2,1.0,1.0
composite_pretrained,no_ligand_smiles_keep_length,10,202,0.8168,1.0
composite_pretrained,no_ligand_smiles_keep_length,11,138,0.8261,0.9855
composite_pretrained,no_ligand_smiles_keep_length,12,424,0.8726,0.9906
composite_pretrained,no_ligand_smiles_keep_length,13,102,0.8039,0.9804
composite_pretrained,no_ligand_smiles_keep_length,14,66,0.8939,1.0
composite_pretrained,no_ligand_smiles_keep_length,15,2,1.0,1.0
composite_pretrained,no_ligand_smiles_keep_length,16,2,1.0,1.0
composite_pretrained,no_ligand_smiles_keep_length,2,12,0.8333,1.0
composite_pretrained,no_ligand_smiles_keep_length,3,88,0.8636,1.0
composite_pretrained,no_ligand_smiles_keep_length,4,334,0.8443,0.985
composite_pretrained,no_ligand_smiles_keep_length,5,546,0.815,0.9817
composite_pretrained,no_ligand_smiles_keep_length,6,1444,0.8116,0.9861
composite_pretrained,no_ligand_smiles_keep_length,7,594,0.766,0.9865
composite_pretrained,no_ligand_smiles_keep_length,8,704,0.7955,0.9886
composite_pretrained,no_ligand_smiles_keep_length,9,338,0.7722,0.9882
composite_pretrained,metal_cn_only,1,2,1.0,1.0
composite_pretrained,metal_cn_only,10,202,0.8168,0.995
composite_pretrained,metal_cn_only,11,138,0.8261,0.9855
composite_pretrained,metal_cn_only,12,424,0.8726,0.9906
composite_pretrained,metal_cn_only,13,102,0.8039,0.9804
composite_pretrained,metal_cn_only,14,66,0.8939,1.0
composite_pretrained,metal_cn_only,15,2,1.0,1.0
composite_pretrained,metal_cn_only,16,2,1.0,1.0
composite_pretrained,metal_cn_only,2,12,0.8333,1.0
composite_pretrained,metal_cn_only,3,88,0.8636,1.0
composite_pretrained,metal_cn_only,4,334,0.8413,0.985
composite_pretrained,metal_cn_only,5,546,0.8132,0.9817
composite_pretrained,metal_cn_only,6,1444,0.8012,0.9861
composite_pretrained,metal_cn_only,7,594,0.766,0.9865
composite_pretrained,metal_cn_only,8,704,0.7912,0.9901
composite_pretrained,metal_cn_only,9,338,0.7692,0.9911
composite_matched,full_context,1,2,0.0,1.0
composite_matched,full_context,10,202,0.1238,0.896
composite_matched,full_context,11,138,0.0942,0.9058
