model,ablation_mode,metal_row,n,top1,top5
composite_pretrained,full_context,3d,1740,0.9121,0.9989
composite_pretrained,full_context,4d,1862,0.8985,1.0
composite_pretrained,full_context,5d,1398,0.8755,1.0
composite_pretrained,no_ligand_smiles_keep_length,3d,1738,0.8285,0.9908
composite_pretrained,no_ligand_smiles_keep_length,4d,1862,0.8104,0.9893
composite_pretrained,no_ligand_smiles_keep_length,5d,1398,0.7926,0.9807
composite_pretrained,metal_cn_only,3d,1738,0.8245,0.9908
composite_pretrained,metal_cn_only,4d,1862,0.8061,0.9903
composite_pretrained,metal_cn_only,5d,1398,0.7883,0.98
composite_matched,full_context,3d,1740,0.0954,0.946
composite_matched,full_context,4d,1862,0.0886,0.9398
composite_matched,full_context,5d,1398,0.1044,0.9385
composite_matched,no_ligand_smiles_keep_length,3d,1738,0.3446,0.9891
composite_matched,no_ligand_smiles_keep_length,4d,1862,0.3518,0.9834
composite_matched,no_ligand_smiles_keep_length,5d,1398,0.3641,0.9764
composite_matched,metal_cn_only,3d,1738,0.3372,0.9891
composite_matched,metal_cn_only,4d,1862,0.3502,0.9817
composite_matched,metal_cn_only,5d,1398,0.3598,0.975
factorized,full_context,3d,1740,0.077,0.9874
factorized,full_context,4d,1862,0.1004,0.9914
factorized,full_context,5d,1398,0.1059,0.9828
factorized,no_ligand_smiles_keep_length,3d,1738,0.2232,0.9873
factorized,no_ligand_smiles_keep_length,4d,1862,0.2234,0.9774
factorized,no_ligand_smiles_keep_length,5d,1398,0.2589,0.9793
factorized,metal_cn_only,3d,1738,0.2048,0.9873
factorized,metal_cn_only,4d,1862,0.2159,0.9753
factorized,metal_cn_only,5d,1398,0.2396,0.9785
