category,token,vocab_id
composite_metal_cn,[Metal:Cr|CN:10],484
composite_metal_cn,[Metal:Cr|CN:11],473
composite_metal_cn,[Metal:Cr|CN:12],298
composite_metal_cn,[Metal:Cr|CN:3],541
composite_metal_cn,[Metal:Cr|CN:4],367
composite_metal_cn,[Metal:Cr|CN:5],548
composite_metal_cn,[Metal:Cr|CN:6],365
composite_metal_cn,[Metal:Cr|CN:7],495
composite_metal_cn,[Metal:Cr|CN:8],542
composite_metal_cn,[Metal:Cr|CN:9],358
composite_metal_cn,[Metal:Fe|ox:+2|d:d6|CN:10],403
composite_metal_cn,[Metal:Fe|ox:+2|d:d6|CN:11],491
composite_metal_cn,[Metal:Fe|ox:+2|d:d6|CN:12],419
composite_metal_cn,[Metal:Fe|ox:+2|d:d6|CN:13],483
composite_metal_cn,[Metal:Fe|ox:+2|d:d6|CN:14],522
composite_metal_cn,[Metal:Fe|ox:+2|d:d6|CN:15],574
composite_metal_cn,[Metal:Fe|ox:+2|d:d6|CN:16],654
composite_metal_cn,[Metal:Fe|ox:+2|d:d6|CN:1],649
composite_metal_cn,[Metal:Fe|ox:+2|d:d6|CN:2],561
composite_metal_cn,[Metal:Fe|ox:+2|d:d6|CN:3],443
composite_metal_cn,[Metal:Fe|ox:+2|d:d6|CN:4],379
composite_metal_cn,[Metal:Fe|ox:+2|d:d6|CN:5],305
composite_metal_cn,[Metal:Fe|ox:+2|d:d6|CN:6],385
composite_metal_cn,[Metal:Fe|ox:+2|d:d6|CN:7],323
composite_metal_cn,[Metal:Fe|ox:+2|d:d6|CN:8],246
composite_metal_cn,[Metal:Fe|ox:+2|d:d6|CN:9],372
composite_metal_cn,[Metal:Hf|CN:10],391
composite_metal_cn,[Metal:Hf|CN:11],579
composite_metal_cn,[Metal:Hf|CN:12],489
composite_metal_cn,[Metal:Hf|CN:13],470
factorized_metal,[Ag],25
factorized_metal,[As],559
factorized_metal,[Au],33
factorized_metal,[Cd],26
factorized_metal,[Co],6
factorized_metal,[Cr],18
factorized_metal,[Cu],8
factorized_metal,[Fe],5
factorized_metal,[H],261
factorized_metal,[Hf],28
factorized_metal,[Hg],34
factorized_metal,[Ir],14
factorized_metal,[La],27
factorized_metal,[Mn],19
factorized_metal,[Mo],23
factorized_metal,[Nb],22
factorized_metal,[Ni],7
factorized_metal,[Os],32
factorized_metal,[Pd],12
factorized_metal,[Pt],13
factorized_metal,[Re],31
factorized_metal,[Rh],11
factorized_metal,[Ru],10
factorized_metal,[Sc],15
factorized_metal,[Se],445
factorized_metal,[Si],368
factorized_metal,[Ta],29
factorized_metal,[Tc],24
factorized_metal,[Ti],16
factorized_metal,[V],17
factorized_metal,[W],30
factorized_metal,[Y],20
factorized_metal,[Zn],9
factorized_metal,[Zr],21
factorized_cn,;CN=2,58
factorized_cn,;CN=3,59
factorized_cn,;CN=4,60
factorized_cn,;CN=5,61
factorized_cn,;CN=6,62
factorized_cn,;CN=7,63
factorized_cn,;CN=8,64
factorized_ox,;ox=+1,35
factorized_ox,;ox=+2,36
factorized_ox,;ox=+3,37
factorized_ox,;ox=+4,38
factorized_ox,;ox=+5,39
factorized_ox,;ox=+6,40
factorized_ox,;ox=-1,42
factorized_ox,;ox=-2,43
factorized_ox,;ox=0,41
factorized_d,;d=0,47
factorized_d,;d=1,48
factorized_d,;d=10,57
factorized_d,;d=2,49
factorized_d,;d=3,50
factorized_d,;d=4,51
factorized_d,;d=5,52
factorized_d,;d=6,53
factorized_d,;d=7,54
factorized_d,;d=8,55
factorized_d,;d=9,56
