family_rank,family_label,L3_key_hash,metal,CN,n_records,n_refcodes,n_unique_L0,n_unique_L1,trajectory_span,centroid_log_S_SP,centroid_log_S_Td,span_log_S_SP,span_log_S_Td,crosses_shape_boundary,dominant_L1_shape,geometry_region
1,LINMOL,463888590564,Pd,4,3,3,3,3,10.1,1.1184,1.0599,0.3088,0.1115,True,670659335015,Td-dominated
2,NIDTHC10,413504888459,Ni,4,2,2,2,2,9.84,1.1196,1.0582,0.3174,0.1851,False,729925565766,Td-dominated
3,IKEXEC,371011783775,Ni,4,6,6,6,4,9.25,1.2672,1.2340,0.2440,0.2547,True,343190546553,Td-dominated
4,TOPHIP,918517807621,Cu,4,2,2,2,2,9.1,1.2284,1.3373,0.2309,0.0465,True,201892383674,SP-dominated
5,GADNOP,459862244708,Pd,4,3,3,3,2,8.97,1.0828,1.2608,0.2837,0.1822,False,933286345775,SP-dominated
6,YOSNAV01,99885397104,Pt,4,4,4,4,2,8.97,1.1206,1.3158,0.2833,0.1831,False,382695875637,SP-dominated
7,COSALP10,426961457385,Co,4,2,2,2,2,8.91,1.1644,1.2707,0.2611,0.0489,True,59453938411,SP-dominated
8,VETTUM,590391935808,Ni,4,2,2,2,2,8.91,1.2230,1.2411,0.2289,0.0456,False,491858643780,SP-dominated
9,COXNIN,356898165187,Ni,4,3,3,3,3,8.88,1.1702,1.1644,0.2619,0.0155,False,727011814460,Td-dominated
10,LARMEY,473044553894,Ni,4,3,3,3,2,8.71,1.0562,1.3406,0.2928,0.0034,False,772972540631,SP-dominated
11,SAQJUT,888391653448,Cu,4,2,2,2,2,8.69,1.1125,1.1867,0.2861,0.1225,True,495325885635,SP-dominated
12,HAPFUD,15051971201,Ni,4,2,2,2,2,8.17,1.1553,1.3367,0.0000,0.0000,True,593472453961,SP-dominated
13,IPEHOA01,619191397574,Zn,4,4,4,4,2,8.16,1.0611,1.1440,0.2611,0.0285,False,910840886424,SP-dominated
14,TAPKEB,739455498492,Ni,4,2,2,2,2,8.05,1.2051,1.2397,0.2158,0.1010,False,836485501017,SP-dominated
15,LEGFOS,261231273898,Cr,4,2,2,2,2,7.84,1.2001,1.2692,0.2127,0.0619,True,77273876663,SP-dominated
