family_rank,family_label,L3_key_hash,metal,CN,n_family_members,trajectory_span,refcode,L0_key_hash,L1_shape_id,S_SP,S_Td,log_S_SP,log_S_Td,delta_SP_Td,shape_boundary_flag,shape_label,trajectory_scalar,is_LINMOL,is_IKEXEC_thumbnail,render_order,selection_reason
1,LINMOL,463888590564,Pd,4,3,11.22,LINMOL,443391701105,670659335015,11.6100,13.5000,1.0686,1.1335,1.8900,False,SP-like,-1.8900,True,False,,
1,LINMOL,463888590564,Pd,4,3,11.22,LINMOL01,825347327306,233955390089,9.6500,10.4700,0.9890,1.0241,0.8200,True,boundary,-0.8200,True,False,,
1,LINMOL,463888590564,Pd,4,3,11.22,LINMOL02,886806765236,455884819515,19.7500,10.4200,1.2978,1.0220,9.3300,False,Td-like,9.3300,True,False,,
2,IKEXEC,371011783775,Ni,4,6,8.0,IKEXEC,921693438750,118847843759,12.1700,14.3800,1.0888,1.1608,2.2100,False,SP-like,-2.2100,False,True,1,trajectory start (most SP-like)
2,IKEXEC,371011783775,Ni,4,6,8.0,MIGTEE01,315623179779,343190546553,21.4000,22.3000,1.3324,1.3502,0.9000,True,boundary,-0.9000,False,True,2,boundary state (delta = 0.90)
2,IKEXEC,371011783775,Ni,4,6,8.0,MIGTEE,757021496993,343190546553,21.4200,22.0800,1.3328,1.3460,0.6600,True,boundary,-0.6600,False,False,,
2,IKEXEC,371011783775,Ni,4,6,8.0,SONXUP,167919421352,508932113005,19.6100,17.1100,1.2947,1.2358,2.5000,False,Td-like,2.5000,False,True,3,early Td-leaning intermediate
2,IKEXEC,371011783775,Ni,4,6,8.0,MIGTEE02,164551413697,508932113005,19.5500,16.3400,1.2934,1.2159,3.2100,False,Td-like,3.2100,False,True,4,late intermediate
2,IKEXEC,371011783775,Ni,4,6,8.0,MIGTEE03,108678561272,664806603656,18.1500,12.3600,1.2613,1.0955,5.7900,False,Td-like,5.7900,False,True,5,trajectory end (most Td-like)
3,TOPHIP,918517807621,Cu,4,2,6.77,TOPHIP01,617789509120,201892383674,12.8700,20.5100,1.1129,1.3141,7.6400,False,SP-like,-7.6400,False,False,,
3,TOPHIP,918517807621,Cu,4,2,6.77,TOPHIP,181948137032,825559632617,21.9700,22.8400,1.3438,1.3606,0.8700,True,boundary,-0.8700,False,False,,
4,YOSNAV01,99885397104,Pt,4,4,8.86,YUVSAN,793747202994,382695875637,9.6500,22.9300,0.9890,1.3623,13.2800,False,SP-like,-13.2800,False,False,,
4,YOSNAV01,99885397104,Pt,4,4,8.86,YOSNAV01,145685571671,382695875637,16.8900,22.5600,1.2302,1.3553,5.6700,False,SP-like,-5.6700,False,False,,
4,YOSNAV01,99885397104,Pt,4,4,8.86,YUVYIB,288025727667,382695875637,9.6900,15.0800,0.9908,1.1813,5.3900,False,SP-like,-5.3900,False,False,,
4,YOSNAV01,99885397104,Pt,4,4,8.86,YUVSER,334041761539,371065759861,18.6200,23.0400,1.2723,1.3644,4.4200,False,SP-like,-4.4200,False,False,,
5,COSALP10,426961457385,Co,4,2,6.81,COSALP10,162623413995,59453938411,10.7100,17.5300,1.0338,1.2463,6.8200,False,SP-like,-6.8200,False,False,,
5,COSALP10,426961457385,Co,4,2,6.81,COSALP11,793022957715,433297215252,19.6200,19.6300,1.2949,1.2951,0.0100,True,boundary,-0.0100,False,False,,
