family_rank,family_label,L3_key_hash,metal,CN,n_records,n_refcodes,n_unique_L0,n_unique_L1,trajectory_span,refcode,L0_key_hash,L1_shape_id,S_SP,S_Td,log_S_SP,log_S_Td,trajectory_scalar,is_LINMOL,is_selected_for_thumbnail
1,LINMOL,463888590564,Pd,4,3,3,3,3,10.1,LINMOL,443391701105,670659335015,11.6100,13.5000,1.0686,1.1335,-1.8900,True,True
1,LINMOL,463888590564,Pd,4,3,3,3,3,10.1,LINMOL01,825347327306,233955390089,9.6500,10.4700,0.9890,1.0241,-0.8200,True,True
1,LINMOL,463888590564,Pd,4,3,3,3,3,10.1,LINMOL02,886806765236,455884819515,19.7500,10.4200,1.2978,1.0220,9.3300,True,True
2,NIDTHC10,413504888459,Ni,4,2,2,2,2,9.84,NIDTHC10,448893435755,729925565766,9.0400,14.0500,0.9609,1.1508,-5.0100,False,False
2,NIDTHC10,413504888459,Ni,4,2,2,2,2,9.84,NIDTHC11,433708344896,247408261934,18.8800,9.1400,1.2783,0.9657,9.7400,False,False
3,IKEXEC,371011783775,Ni,4,6,6,6,4,9.25,IKEXEC,921693438750,118847843759,12.1700,14.3800,1.0888,1.1608,-2.2100,False,False
3,IKEXEC,371011783775,Ni,4,6,6,6,4,9.25,MIGTEE01,315623179779,343190546553,21.4000,22.3000,1.3324,1.3502,-0.9000,False,False
3,IKEXEC,371011783775,Ni,4,6,6,6,4,9.25,MIGTEE,757021496993,343190546553,21.4200,22.0800,1.3328,1.3460,-0.6600,False,False
3,IKEXEC,371011783775,Ni,4,6,6,6,4,9.25,SONXUP,167919421352,508932113005,19.6100,17.1100,1.2947,1.2358,2.5000,False,False
3,IKEXEC,371011783775,Ni,4,6,6,6,4,9.25,MIGTEE02,164551413697,508932113005,19.5500,16.3400,1.2934,1.2159,3.2100,False,False
3,IKEXEC,371011783775,Ni,4,6,6,6,4,9.25,MIGTEE03,108678561272,664806603656,18.1500,12.3600,1.2613,1.0955,5.7900,False,False
4,TOPHIP,918517807621,Cu,4,2,2,2,2,9.1,TOPHIP01,617789509120,201892383674,12.8700,20.5100,1.1129,1.3141,-7.6400,False,False
4,TOPHIP,918517807621,Cu,4,2,2,2,2,9.1,TOPHIP,181948137032,825559632617,21.9700,22.8400,1.3438,1.3606,-0.8700,False,False
5,GADNOP,459862244708,Pd,4,3,3,3,2,8.97,GADNOP,831358271960,933286345775,9.6400,22.9300,0.9886,1.3623,-13.2900,False,False
5,GADNOP,459862244708,Pd,4,3,3,3,2,8.97,GADNOP02,587650632987,933286345775,9.6300,15.0400,0.9881,1.1801,-5.4100,False,False
5,GADNOP,459862244708,Pd,4,3,3,3,2,8.97,GADNOP01,650298778871,591422233173,18.6000,17.2800,1.2718,1.2400,1.3200,False,False
6,YOSNAV01,99885397104,Pt,4,4,4,4,2,8.97,YUVSAN,793747202994,382695875637,9.6500,22.9300,0.9890,1.3623,-13.2800,False,False
6,YOSNAV01,99885397104,Pt,4,4,4,4,2,8.97,YOSNAV01,145685571671,382695875637,16.8900,22.5600,1.2302,1.3553,-5.6700,False,False
6,YOSNAV01,99885397104,Pt,4,4,4,4,2,8.97,YUVYIB,288025727667,382695875637,9.6900,15.0800,0.9908,1.1813,-5.3900,False,False
6,YOSNAV01,99885397104,Pt,4,4,4,4,2,8.97,YUVSER,334041761539,371065759861,18.6200,23.0400,1.2723,1.3644,-4.4200,False,False
7,COSALP10,426961457385,Co,4,2,2,2,2,8.91,COSALP10,162623413995,59453938411,10.7100,17.5300,1.0338,1.2463,-6.8200,False,False
7,COSALP10,426961457385,Co,4,2,2,2,2,8.91,COSALP11,793022957715,433297215252,19.6200,19.6300,1.2949,1.2951,-0.0100,False,False
8,VETTUM,590391935808,Ni,4,2,2,2,2,8.91,VETTUM,462603767759,491858643780,12.7400,16.4300,1.1086,1.2183,-3.6900,False,False
8,VETTUM,590391935808,Ni,4,2,2,2,2,8.91,VETTUM01,200146102110,316054305283,21.6500,18.2600,1.3375,1.2639,3.3900,False,False
9,COXNIN,356898165187,Ni,4,3,3,3,3,8.88,TUBJEH,594143708976,727011814460,10.6300,14.5700,1.0306,1.1664,-3.9400,False,False
9,COXNIN,356898165187,Ni,4,3,3,3,3,8.88,COXNIN,773214459155,816530225919,15.3000,14.2100,1.1875,1.1556,1.0900,False,False
9,COXNIN,356898165187,Ni,4,3,3,3,3,8.88,FEYWEM,812469910762,127549034245,19.5100,14.7300,1.2925,1.1711,4.7800,False,False
10,LARMEY,473044553894,Ni,4,3,3,3,2,8.71,LARMEY,892925375702,772972540631,9.0700,21.9100,0.9624,1.3426,-12.8400,False,False
10,LARMEY,473044553894,Ni,4,3,3,3,2,8.71,LARMUO,797964089151,772972540631,8.9500,21.7400,0.9566,1.3393,-12.7900,False,False
10,LARMEY,473044553894,Ni,4,3,3,3,2,8.71,LARMOI,83678326055,412374980303,17.6600,21.7800,1.2494,1.3400,-4.1200,False,False
11,SAQJUT,888391653448,Cu,4,2,2,2,2,8.69,SAQJUT,544032018831,495325885635,9.2200,13.2500,0.9694,1.1255,-4.0300,False,False
11,SAQJUT,888391653448,Cu,4,2,2,2,2,8.69,SAQKAA,515996085470,458016701386,17.9100,17.6000,1.2555,1.2480,0.3100,False,False
12,HAPFUD,15051971201,Ni,4,2,2,2,2,8.17,HAPFUD,865262231008,593472453961,14.2000,21.6100,1.1553,1.3367,-7.4100,False,False
13,IPEHOA01,619191397574,Zn,4,4,4,4,2,8.16,IPEHOA02,610105893771,910840886424,9.8100,14.0700,0.9961,1.1514,-4.2600,False,False
13,IPEHOA01,619191397574,Zn,4,4,4,4,2,8.16,IPEHOA01,571092346105,910840886424,9.8100,14.0600,0.9961,1.1511,-4.2500,False,False
13,IPEHOA01,619191397574,Zn,4,4,4,4,2,8.16,IPEHOA03,917763936754,910840886424,9.8000,14.0500,0.9956,1.1508,-4.2500,False,False
13,IPEHOA01,619191397574,Zn,4,4,4,4,2,8.16,IPEHOA04,218613367917,950396917372,17.9600,13.1700,1.2567,1.1229,4.7900,False,False
14,TAPKEB,739455498492,Ni,4,2,2,2,2,8.05,VAWKOT,344168952232,836485501017,12.4100,15.3600,1.0973,1.1892,-2.9500,False,False
14,TAPKEB,739455498492,Ni,4,2,2,2,2,8.05,TAPKEB,802769593968,490353979966,20.4600,19.4100,1.3130,1.2903,1.0500,False,False
15,LEGFOS,261231273898,Cr,4,2,2,2,2,7.84,LEGFOS01,783723446882,77273876663,12.3100,17.2100,1.0938,1.2383,-4.9000,False,False
15,LEGFOS,261231273898,Cr,4,2,2,2,2,7.84,LEGFOS,54257430498,506492057767,20.1500,19.8600,1.3064,1.3002,0.2900,False,False
