visual_rank,family_label,L3_key_hash,metal,CN,n_members,n_unique_L1,trajectory_span,has_boundary_member,max_pairwise_angle_RMSD,mean_pairwise_angle_RMSD,start_end_angle_RMSD,max_pairwise_dist_RMSD,unique_angle_patterns,trans_count_change,max_angle_range,start_pattern,end_pattern,start_angles,end_angles,visual_score
1,ABEYAK,780320495607,Cu,4,433,14,2.89,True,42.26,12.31,27.02,0.1696,4,2,92.24,other,SP,"[99.65, 99.65, 99.76, 99.76, 126.67, 135.89]","[89.02, 89.95, 90.26, 91.06, 175.37, 176.32]",242.1
2,AHUVUU,416302548642,Cu,4,179,11,3.4,True,44.61,8.62,20.77,0.1618,3,2,100.89,other,SP,"[98.22, 98.28, 99.78, 102.71, 131.03, 131.74]","[90.97, 90.97, 90.97, 90.97, 165.05, 165.05]",218.4
3,WICHAR,795851538902,Fe,4,3,2,2.55,True,44.29,29.95,44.29,0.0489,2,2,134.71,other,SP,"[46.1, 47.18, 95.29, 96.56, 98.7, 131.4]","[46.67, 46.67, 133.33, 133.33, 180.0, 180.0]",216.0
4,GAZKUN,895774452902,Cu,4,8,5,2.87,True,42.52,16.59,23.24,0.0591,3,2,92.09,other,SP,"[96.1, 97.62, 98.2, 98.46, 135.03, 139.54]","[88.52, 90.21, 90.21, 91.3, 176.03, 176.03]",199.9
5,DEBXOX01,23472436462,Pt,4,5,3,2.01,True,34.3,14.25,32.7,0.0501,2,2,98.37,other,SP,"[86.96, 87.31, 117.88, 118.47, 118.92, 130.91]","[81.63, 81.78, 97.83, 98.82, 176.04, 178.91]",181.7
6,AMEYOJ,871273436324,Fe,4,85,12,2.85,True,41.46,9.87,11.78,0.0799,4,0,93.39,seesaw,seesaw,"[90.14, 92.79, 95.56, 97.56, 101.21, 167.01]","[88.08, 88.08, 89.19, 89.19, 126.69, 173.8]",181.6
7,PEHJAR,321891885790,Co,4,3,3,2.0,True,31.23,22.53,30.13,0.1651,2,2,96.55,other,SP,"[87.13, 90.38, 104.7, 111.86, 121.07, 139.84]","[83.45, 83.45, 96.55, 96.55, 180.0, 180.0]",171.7
8,UTAYUL,960250120588,Ni,4,3,2,1.43,True,29.84,20.04,29.74,0.0618,2,2,108.25,other,SP,"[75.05, 75.11, 125.37, 125.97, 126.63, 137.25]","[71.75, 71.75, 108.25, 108.25, 180.0, 180.0]",165.3
9,FOJTON,274699144749,Ru,4,11,7,2.18,True,36.07,21.71,17.0,0.0778,4,0,94.37,seesaw,seesaw,"[94.25, 95.27, 95.37, 96.01, 98.08, 163.99]","[86.67, 88.78, 89.09, 90.55, 136.58, 173.08]",163.6
10,EHAXIW,830495784924,Fe,4,3,3,1.64,True,25.6,17.12,24.11,0.0557,2,2,84.98,other,SP,"[88.5, 88.97, 101.65, 109.04, 109.24, 151.98]","[83.84, 84.49, 96.35, 98.93, 165.09, 166.0]",151.4
11,IDEDOM,28994221502,Ag,4,3,3,1.43,True,24.84,16.61,24.84,0.2129,2,2,110.44,other,SP,"[69.53, 72.3, 106.77, 132.63, 133.19, 145.42]","[68.78, 69.51, 110.48, 111.23, 178.78, 179.22]",150.9
12,GEMJIS,505989037386,Cu,4,7,5,1.53,True,20.43,10.51,18.29,0.0585,3,2,93.03,other,SP,"[91.67, 92.69, 100.51, 100.52, 140.1, 141.2]","[87.0, 87.98, 91.58, 92.14, 168.88, 172.59]",148.3
13,AFALIF,724140138118,Ru,4,4,2,1.29,True,26.82,13.53,26.82,0.0604,2,1,90.71,seesaw,SP,"[85.24, 85.35, 101.24, 106.34, 106.58, 161.74]","[82.07, 82.07, 98.53, 98.53, 170.64, 172.78]",139.9
14,SOZKEB,129363637382,Fe,4,3,3,1.23,True,21.95,14.99,21.95,0.0512,3,1,75.93,seesaw,Td,"[90.83, 92.49, 93.04, 93.37, 101.15, 164.55]","[94.83, 95.27, 102.06, 115.02, 119.9, 120.23]",135.8
15,EGIDAZ,212224743231,Cu,4,12,2,1.73,True,23.55,4.14,22.89,0.0116,2,1,70.85,Td,seesaw,"[93.0, 93.0, 111.83, 111.83, 121.8, 128.28]","[91.07, 91.85, 92.1, 92.18, 156.9, 161.92]",127.4
16,BIPNAP,673307225964,Cu,4,7,5,2.34,True,35.84,13.42,0.63,0.0552,3,0,94.07,other,other,"[94.35, 94.35, 98.74, 98.74, 138.19, 142.77]","[93.32, 95.38, 98.36, 99.11, 138.19, 142.75]",122.6
17,CECBEV,847780629506,Rh,4,10,5,1.57,True,22.13,13.95,21.89,0.1258,2,0,66.82,other,other,"[97.38, 98.19, 98.53, 98.69, 98.7, 154.71]","[92.66, 92.93, 93.04, 93.3, 151.29, 155.76]",117.1
18,AVISII,205863923061,Hg,4,49,5,1.88,True,19.04,6.77,10.92,0.2056,2,0,81.46,other,other,"[92.93, 93.79, 94.37, 107.07, 113.3, 152.77]","[71.31, 93.03, 98.79, 101.89, 117.68, 139.28]",94.5
19,GEVNIE,543927074302,Ir,4,3,3,1.65,True,28.8,19.3,0.52,0.068,2,0,91.7,other,other,"[90.25, 92.68, 96.31, 97.5, 102.24, 159.6]","[90.66, 93.81, 96.37, 97.48, 101.86, 159.54]",92.4
20,CAJZUI,893110469908,Os,4,4,3,1.16,True,17.24,11.59,1.35,0.0286,1,0,86.21,seesaw,seesaw,"[94.09, 94.93, 94.96, 95.56, 97.89, 165.08]","[94.36, 94.85, 94.94, 96.45, 97.93, 161.91]",60.5
