refcode,metal,oxidation_state,d_count,donor_set,denticity_pattern,S_TBPY,S_SPY,log_S_TBPY,log_S_SPY,delta_TBPY_SPY,is_intermediate_delta_lt_1,L3_key_hash
ABAHUH,Co,+2,d7,,,0.6200,1.0600,-0.1427,0.0645,0.4400,True,334544698987
ABAJAP,Ni,+2,d8,,,7.8300,9.0300,0.8993,0.9605,1.2000,False,853837277625
ABAJET,Zn,+2,d10,,,3.6800,5.7700,0.5775,0.7686,2.0900,False,248128825730
ABAJIX,Co,+3,d6,N,2,4.3300,11.2800,0.6464,1.0561,6.9500,False,866350500147
ABAKOE,W,,,"Cl,N",1-1,0.4200,0.8100,-0.2840,-0.0410,0.3900,True,359870830644
ABAMOJ,Cu,+2,d9,"N,O",2,0.7300,5.4400,-0.0809,0.7435,4.7100,False,816839424649
ABAMUO,Cu,+2,d9,"N,O",3-1,4.6900,5.9400,0.6803,0.7810,1.2500,False,171907245127
ABAMUP,Cu,+2,d9,"Br,N",1-1,1.1000,5.7300,0.0792,0.7657,4.6300,False,179269066267
ABARON,Co,+2,d7,,,0.7400,4.8800,-0.0757,0.6972,4.1400,False,995249886171
ABASAA,Zn,+2,d10,,,6.0600,7.0700,0.7896,0.8555,1.0100,False,685806322235
ABEGOG,Zn,+2,d10,O,1-1,0.0800,0.7400,-0.7447,-0.0757,0.6600,True,995992391440
ABEJAS,Rh,+3,d6,"C,I",1-1,8.8100,11.6200,0.9499,1.0689,2.8100,False,571780098059
ABEJUM01,Ru,+2,d6,"C,O",1-1,0.3000,1.9500,-0.3979,0.3118,1.6500,False,578267127252
ABENAW01,Zr,,,"C,N",1-1,0.6200,0.8800,-0.1427,-0.0088,0.2600,True,153228430539
ABERUW,Ti,,,,,11.9000,6.6500,1.0792,0.8293,5.2500,False,934537983297
ABEWIQ,Fe,+2,d6,"N,O",1-1,0.1600,1.1700,-0.5850,0.1038,1.0100,False,107705744469
ABEYIQ,Zr,,,,,0.5100,5.5000,-0.2147,0.7482,4.9900,False,508641765153
ABEZAJ,Ti,,,,,7.1100,8.6300,0.8579,0.9410,1.5200,False,151584853680
ABIJEB,Fe,+2,d6,,,7.3500,9.3900,0.8722,0.9773,2.0400,False,877695524785
ABILUW,Mo,,,C,1-1-1-1,0.0700,1.2200,-0.7696,0.1206,1.1500,False,593512195708
ABIWUH,Hg,,,,,6.2100,6.7700,0.8000,0.8370,0.5600,True,922750213300
ABIXAO,Hg,,,,,5.2000,5.3500,0.7243,0.7364,0.1500,True,352334914542
ABIZIW,Cd,,,,,3.7500,5.5800,0.5855,0.7543,1.8300,False,205543667132
ABOBOK,V,,,,,1.1100,5.9300,0.0828,0.7803,4.8200,False,523996991066
ABOFAC,Zn,+2,d10,,,0.6900,0.8500,-0.1024,-0.0223,0.1600,True,76969175088
ABOJOU,Ni,+2,d8,"Br,N",1-1,4.3200,6.7700,0.6454,0.8370,2.4500,False,74669104906
ABOMAH,Ni,+2,d8,N,2,5.1200,5.6700,0.7177,0.7612,0.5500,True,407911279837
ABOSIW,Cu,+2,d9,N,1-1-1-1,0.4000,0.6900,-0.3010,-0.1024,0.2900,True,370098306598
ABOWOF,Zn,+2,d10,O,1-1,0.1700,5.6300,-0.5686,0.7582,5.4600,False,786659749212
ABOXOI,Zn,+2,d10,,,0.7700,5.6100,-0.0605,0.7566,4.8400,False,455133104798
ABOXUO,Zn,+2,d10,,,0.5900,0.9200,-0.1612,0.0086,0.3300,True,833605910590
ABOZOJ,Fe,+2,d6,,,0.3000,1.0700,-0.3979,0.0682,0.7700,True,405586241841
