refcode,metal_count,metals,candidate_type,bridge_count,bridge_types,has_mu2,has_mu3,has_mu4_or_higher,has_metal_metal_contact,has_direct_MM_bond,local_CNs,local_shapes,parse_valid,roundtrip_valid,metal_order_invariant,atom_order_invariant,ligand_order_invariant,bridge_consistency_valid,local_sphere_consistency_valid,L0_present,L1_present,L2_present,L3_present,record_generated,failure_stage,failure_reason,manual_audit_priority
SAYYOG,2,Re+Re,multi,0,,False,False,False,False,False,"5,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
GUNWAQ,3,Zn+Zn+Zn,multi,0,,False,False,False,False,False,"1,1,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
WIZFER,2,Zn+Zn,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
LOXYOO,2,Cd+Cd,multi,0,,False,False,False,False,False,"1,3",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
HOCSUN,4,Ni+Ni+Ni+Ni,multi,0,,False,False,False,False,False,"6,6,6,6",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
PUKFEG,2,Co+Co,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
KERKAV,6,Fe+Fe+Mn+Mn+Mn+Mn,multi,0,,False,False,False,False,False,"6,6,1,1,6,6",",,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
UTOVUV,4,Mn+Mn+Mn+Mn,multi,0,,False,False,False,False,False,"4,4,4,4",",,,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
JITHOJ,3,W+W+W,multi,0,,False,False,False,False,False,"9,9,9",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
YUBQUI01,5,Cu+Cu+Cu+Cu+Fe,multi,0,,False,False,False,False,False,"1,1,3,4,6",",,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
TEHMAV,3,Ag+Ag+Ag,multi,0,,False,False,False,False,False,"1,1,4",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
NIXSOF,6,Cu+Cu+Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"1,1,4,4,4,4",",,,,,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
QALTON,2,Ru+Ru,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ULOFUX,3,Cd+Cd+Cd,multi,0,,False,False,False,False,False,"1,2,7",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
YACSIG,8,Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn,multi,0,,False,False,False,False,False,"5,5,5,5,5,5,5,5",",,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
IJIGEQ,13,Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_13,medium
MACGAZ,2,Cu+Cu,multi,0,,False,False,False,False,False,"1,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
VEHPAD,2,Ag+Ag,multi,0,,False,False,False,False,False,"2,3",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
MOTKUE,16,Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_16,medium
UDAKUJ,3,Pd+Pd+Pd,multi,0,,False,False,False,False,False,"4,4,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
CUDQAU,17,Ag+Ag+Ag+Ag+Ag+Ru+Ru+Ru+Ru+Ru+Ru+Ru+Ru+Ru+Ru+Ru+Ru,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_17,medium
HUJDEX,14,Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_14,medium
SARKOO,2,Pt+Pt,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ZIYROQ,2,Cr+Ti,multi,0,,False,False,False,False,False,"6,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
FOCVIG,2,Cu+Ta,multi,0,,False,False,False,False,False,"2,1",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
URIPIV,3,Cu+Cu+Cu,multi,0,,False,False,False,False,False,"1,1,5",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ICOYUY,4,Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"5,5,5,5",",,,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
PUSBEM08,3,Ni+Ni+Ni,multi,0,,False,False,False,False,False,"1,1,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
CENDEE01,2,Cu+Cu,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
NIDDIP02,7,Cu+Cu+Cu+Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"2,2,2,6,6,6,6",",,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
YIQPUK,2,Zn+Zn,multi,0,,False,False,False,False,False,"5,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
QAPPUT,7,Ag+Ag+Ag+Ag+Ag+Ag+Ag,multi,0,,False,False,False,False,False,"1,1,1,1,1,4,4",",,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
SADYAA,2,Ni+Ni,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ESOJEB,19,Cu+Cu+Cu+Cu+Cu+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_19,medium
FENMIU,2,Cu+Cu,multi,0,,False,False,False,False,False,"5,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
MOKXOD,3,Fe+Fe+Fe,multi,0,,False,False,False,False,False,"6,6,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
PATDAQ,6,Cu+Cu+V+V+V+V,multi,0,,False,False,False,False,False,"1,5,1,1,4,4",",,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
MOWWOM,2,Ru+Ru,multi,0,,False,False,False,False,False,"3,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
NELCUF,6,Rh+Rh+Rh+Rh+Rh+Rh,multi,0,,False,False,False,False,False,"4,4,4,4,4,4",",,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
HOJGIX,2,Ni+Ni,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
MODMUN,21,Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_21,medium
QITXEW02,3,Co+Co+Co,multi,0,,False,False,False,False,False,"6,6,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
QAFFIP,2,Cd+Cd,multi,0,,False,False,False,False,False,"7,7",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
MEHGIP,2,Co+Co,multi,0,,False,False,False,False,False,"0,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
WAYRAT,4,Fe+Fe+Fe+Fe,multi,0,,False,False,False,False,False,"4,4,4,4",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
IDUYOW,3,Cu+Cu+Cu,multi,0,,False,False,False,False,False,"2,2,2",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
