pool,refcode,converter_status,manual_metal_centers_correct,manual_bridge_assignment_correct,manual_haptic_site_correct,manual_eta_correct,manual_ligand_assignment_correct,manual_record_chemically_reasonable,manual_failure_reason,auditor_note
multi,ARAYUP,success,True,True,,,True,True,,"gt:M=8,br=12,MM=0,don=36"
multi,DEWFUJ,success,True,True,,,True,True,,"gt:M=3,br=4,MM=0,don=15"
multi,WEPTES,success,True,True,,,True,True,,"gt:M=2,br=1,MM=0,don=6"
multi,LOXYOO,success,True,False,,,True,True,"bridges:rec=1,gt=0","gt:M=2,br=0,MM=0,don=1"
multi,OTIBEZ,success,True,True,,,True,True,,"gt:M=4,br=2,MM=0,don=8"
multi,HERTUX,success,True,True,,,True,True,,"gt:M=2,br=0,MM=0,don=12"
multi,AVUBUQ,success,True,True,,,True,True,,"gt:M=2,br=0,MM=0,don=10"
multi,ADAJUL,success,True,True,,,True,True,,"gt:M=4,br=6,MM=0,don=24"
multi,BESXIH,success,True,True,,,True,True,,"gt:M=2,br=0,MM=0,don=6"
multi,GIJKIU,success,True,True,,,True,True,,"gt:M=6,br=0,MM=0,don=10"
multi,SENWUH,success,True,True,,,True,True,,"gt:M=2,br=0,MM=0,don=12"
multi,NOYGAN,success,True,True,,,True,True,,"gt:M=3,br=3,MM=3,don=15"
multi,SEGSEE,success,True,True,,,True,True,,"gt:M=2,br=0,MM=1,don=4"
multi,RISWUM,success,True,True,,,True,True,,"gt:M=2,br=0,MM=0,don=12"
multi,QIMRUD,success,True,True,,,True,True,,"gt:M=2,br=0,MM=0,don=2"
multi,CERGOX,success,True,True,,,True,True,,"gt:M=3,br=3,MM=0,don=12"
multi,GEGSOE,success,True,True,,,True,True,,"gt:M=6,br=0,MM=0,don=18"
multi,LORNAJ,success,True,True,,,True,True,,"gt:M=2,br=2,MM=0,don=10"
multi,KEVCEW,success,True,False,,,False,False,"bridges:rec=1,gt=0; donors:rec=14,gt=10","gt:M=4,br=0,MM=0,don=10"
multi,QATKOP,success,True,True,,,True,True,,"gt:M=4,br=0,MM=0,don=12"
multi,TACYUT,success,True,True,,,True,True,,"gt:M=3,br=0,MM=0,don=5"
multi,CUJCER,success,True,False,,,False,False,"bridges:rec=10,gt=8; donors:rec=32,gt=26","gt:M=10,br=8,MM=0,don=26"
multi,VEGBES,success,True,False,,,False,False,"bridges:rec=1,gt=0; donors:rec=6,gt=1","gt:M=2,br=0,MM=0,don=1"
multi,QEJFAM,success,True,True,,,True,True,,"gt:M=3,br=0,MM=0,don=4"
multi,LUKMAG,success,True,True,,,True,True,,"gt:M=2,br=0,MM=0,don=8"
multi,TARTAH,success,True,True,,,True,True,,"gt:M=2,br=0,MM=0,don=6"
multi,SICHUL,success,True,True,,,True,True,,"gt:M=2,br=1,MM=0,don=8"
multi,POHCAT,success,True,True,,,True,True,,"gt:M=4,br=0,MM=0,don=8"
multi,HOGKIY,success,True,True,,,True,True,,"gt:M=2,br=2,MM=0,don=10"
multi,KAGBAW,success,True,True,,,True,True,,"gt:M=10,br=8,MM=0,don=44"
multi,VUPVOV,success,True,True,,,True,True,,"gt:M=5,br=0,MM=0,don=4"
multi,PUTZEM,success,True,True,,,True,True,,"gt:M=2,br=0,MM=0,don=7"
multi,ENSXCO,success,True,True,,,True,True,,"gt:M=2,br=1,MM=0,don=12"
multi,ZIQSUN,success,True,True,,,True,True,,"gt:M=8,br=0,MM=4,don=24"
multi,DUZXAA,success,True,False,,,False,False,"bridges:rec=5,gt=1; donors:rec=25,gt=15","gt:M=8,br=1,MM=0,don=15"
multi,QIVGIM,success,True,True,,,True,True,,"gt:M=2,br=0,MM=0,don=12"
multi,QICGUG,success,True,True,,,True,True,,"gt:M=4,br=5,MM=5,don=18"
multi,FAGTAM,success,True,True,,,True,True,,"gt:M=2,br=0,MM=0,don=8"
multi,HACQUA,success,True,True,,,True,True,,"gt:M=2,br=0,MM=0,don=8"
multi,MAWPAF,success,True,True,,,True,True,,"gt:M=2,br=2,MM=0,don=10"
multi,ZOPVAD,success,True,True,,,True,True,,"gt:M=2,br=0,MM=0,don=6"
multi,IYOJEL,success,True,True,,,True,True,,"gt:M=8,br=9,MM=0,don=28"
multi,SERDOK,success,True,True,,,True,True,,"gt:M=2,br=0,MM=0,don=8"
multi,KEYBOI,success,True,False,,,False,False,"bridges:rec=6,gt=2; donors:rec=20,gt=9","gt:M=9,br=2,MM=0,don=9"
multi,PILZAN01,success,True,False,,,False,False,"bridges:rec=7,gt=2; donors:rec=26,gt=11","gt:M=10,br=2,MM=0,don=11"
multi,EWOYUL,success,True,True,,,True,True,,"gt:M=4,br=0,MM=0,don=16"
multi,QUPXUU,success,True,True,,,True,True,,"gt:M=4,br=6,MM=0,don=12"
multi,KUQJEO,success,True,True,,,True,True,,"gt:M=2,br=0,MM=0,don=12"
multi,TUMGUE,success,True,True,,,True,True,,"gt:M=2,br=0,MM=0,don=8"
multi,TUVDUK,success,True,True,,,True,True,,"gt:M=2,br=0,MM=0,don=12"
multi,BUQMOS,failure,False,False,,,False,False,no_record,Converter produced no record
multi,ZOHLIU,failure,False,False,,,False,False,no_record,Converter produced no record
multi,PAYBEZ,failure,False,False,,,False,False,no_record,Converter produced no record
multi,VUJCAH,failure,True,True,,,False,True,"donors:rec=26,gt=15","gt:M=8,br=6,MM=0,don=15"
multi,YATGIM,failure,True,True,,,True,True,,"gt:M=8,br=6,MM=12,don=20"
multi,YUJMEX,failure,False,False,,,False,False,no_record,Converter produced no record
multi,KAZKUU,failure,True,True,,,True,True,,"gt:M=4,br=4,MM=0,don=16"
multi,ARETIC,failure,False,False,,,False,False,no_record,Converter produced no record
multi,CUBPUN,failure,False,False,,,False,False,no_record,Converter produced no record
multi,CPOSMN,failure,False,False,,,False,False,no_record,Converter produced no record
multi,XEHVUC,failure,False,False,,,False,False,no_record,Converter produced no record
multi,GALCEE,failure,False,False,,,False,False,no_record,Converter produced no record
multi,KOSMOU,failure,True,True,,,True,True,,"gt:M=10,br=20,MM=0,don=60"
multi,YECZEN,failure,False,False,,,False,False,no_record,Converter produced no record
multi,YOJLEQ,failure,False,False,,,False,False,no_record,Converter produced no record
multi,BISZUA,failure,False,False,,,False,False,no_record,Converter produced no record
multi,WOFFEE,failure,True,True,,,True,True,,"gt:M=6,br=8,MM=0,don=34"
multi,VAFGOC,failure,True,True,,,True,True,,"gt:M=3,br=4,MM=0,don=12"
multi,QOJNAI,failure,False,False,,,False,False,no_record,Converter produced no record
multi,LEZVIX,failure,True,True,,,True,True,,"gt:M=5,br=9,MM=0,don=30"
multi,DIXRUZ,failure,False,False,,,False,False,no_record,Converter produced no record
multi,CILMIU06,failure,False,False,,,False,False,no_record,Converter produced no record
multi,UCEZOS,failure,True,True,,,True,True,,"gt:M=2,br=1,MM=0,don=10"
multi,NECQUI,failure,True,True,,,False,True,"donors:rec=30,gt=18","gt:M=6,br=12,MM=0,don=18"
multi,UTOVUV,failure,True,True,,,True,True,,"gt:M=4,br=4,MM=0,don=16"
multi,RAPWIO,failure,True,True,,,True,True,,"gt:M=4,br=4,MM=6,don=16"
multi,TETYUP,failure,False,False,,,False,False,no_record,Converter produced no record
multi,TAQFAS,failure,True,True,,,True,True,,"gt:M=4,br=4,MM=2,don=12"
multi,KOTGEI,failure,True,True,,,True,True,,"gt:M=6,br=12,MM=0,don=30"
multi,VUCBIG,failure,True,True,,,True,True,,"gt:M=7,br=12,MM=0,don=42"
multi,NEJMOH,failure,False,False,,,False,False,no_record,Converter produced no record
multi,RINFEC,failure,False,False,,,False,False,no_record,Converter produced no record
multi,MOGQAA,failure,True,True,,,True,True,,"gt:M=4,br=4,MM=0,don=20"
multi,SIKGOJ,failure,False,False,,,False,False,no_record,Converter produced no record
multi,MIXBEE,failure,False,False,,,False,False,no_record,Converter produced no record
multi,MIVWUL,failure,True,True,,,True,True,,"gt:M=6,br=6,MM=6,don=24"
multi,JIHHUG,failure,True,True,,,True,True,,"gt:M=4,br=6,MM=0,don=24"
multi,KADFII,failure,True,True,,,True,True,,"gt:M=2,br=1,MM=0,don=12"
multi,LACCAX02,failure,False,False,,,False,False,no_record,Converter produced no record
multi,HISXIR,failure,True,True,,,True,True,,"gt:M=3,br=4,MM=3,don=18"
multi,HEYHOJ,failure,True,True,,,True,True,,"gt:M=2,br=2,MM=0,don=10"
multi,NEZYUM,failure,True,True,,,True,True,,"gt:M=6,br=1,MM=12,don=20"
multi,EXIHIC,failure,False,False,,,False,False,no_record,Converter produced no record
multi,DULHOK,failure,True,True,,,False,True,"donors:rec=14,gt=6","gt:M=7,br=4,MM=0,don=6"
multi,BUTNIQ,failure,True,True,,,False,True,"donors:rec=16,gt=12","gt:M=9,br=8,MM=4,don=12"
multi,CAZYOR,failure,True,True,,,True,True,,"gt:M=2,br=4,MM=1,don=8"
multi,TISRUL,failure,False,False,,,False,False,no_record,Converter produced no record
multi,FUYREX,failure,False,False,,,False,False,no_record,Converter produced no record
multi,TIZGOA01,failure,False,False,,,False,False,no_record,Converter produced no record
multi,DOTJOO01,failure,True,True,,,True,True,,"gt:M=8,br=8,MM=0,don=48"
haptic,DOFDUX,success,True,,True,True,True,True,,"gt:M=Zr,pi=2,eta=[5, 5],sig=2"
haptic,WUPLIG,success,True,,True,True,True,True,,"gt:M=Rh,pi=1,eta=[5],sig=3"
haptic,MEBRHB,success,True,,True,True,True,True,,"gt:M=Rh,pi=3,eta=[2, 2, 6],sig=0"
haptic,WOMXEE,success,True,,True,True,True,True,,"gt:M=Fe,pi=1,eta=[3],sig=4"
haptic,NAFNUI,success,True,,True,True,True,True,,"gt:M=W,pi=1,eta=[2],sig=5"
haptic,HAYJUP,success,True,,True,True,True,True,,"gt:M=W,pi=1,eta=[2],sig=5"
haptic,HEBHUU,success,True,,True,True,True,True,,"gt:M=Fe,pi=2,eta=[5, 5],sig=0"
haptic,JONDIZ,success,True,,True,True,True,True,,"gt:M=Ti,pi=3,eta=[3, 5, 5],sig=0"
haptic,RUYFAU,success,True,,True,True,True,True,,"gt:M=Mo,pi=1,eta=[2],sig=5"
haptic,HOVZUO,success,True,,True,True,True,True,,"gt:M=Fe,pi=2,eta=[5, 5],sig=0"
haptic,RIYFAH,success,True,,True,True,True,True,,"gt:M=Os,pi=2,eta=[2, 5],sig=2"
haptic,LIGFOX,success,True,,True,True,True,True,,"gt:M=Pt,pi=1,eta=[2],sig=2"
haptic,YASZOK,success,True,,True,True,True,True,,"gt:M=Fe,pi=2,eta=[5, 5],sig=0"
haptic,AKOKIV,success,True,,True,True,True,True,,"gt:M=Ru,pi=2,eta=[4, 5],sig=1"
haptic,GUZLIY,success,True,,True,True,True,True,,"gt:M=Fe,pi=2,eta=[5, 5],sig=0"
haptic,DAMBUR,success,True,,True,True,True,True,,"gt:M=Re,pi=2,eta=[6, 6],sig=0"
haptic,EGIBEB,success,True,,True,True,True,True,,"gt:M=Zr,pi=2,eta=[5, 5],sig=2"
haptic,RALXOR,success,True,,True,True,True,True,,"gt:M=W,pi=1,eta=[5],sig=4"
haptic,VEBZUB,success,True,,True,True,True,True,,"gt:M=Fe,pi=2,eta=[5, 5],sig=0"
haptic,DOZQUE,success,True,,True,True,True,True,,"gt:M=Cr,pi=1,eta=[6],sig=3"
haptic,IDORIF,success,True,,True,True,True,True,,"gt:M=Ru,pi=1,eta=[6],sig=3"
haptic,KUKKAD,success,True,,True,True,True,True,,"gt:M=Fe,pi=2,eta=[5, 5],sig=0"
haptic,YEDLAW,success,True,,True,True,True,True,,"gt:M=Fe,pi=2,eta=[5, 5],sig=0"
haptic,XUNNOK,success,True,,True,True,True,True,,"gt:M=W,pi=1,eta=[2],sig=5"
haptic,FAJGII,success,True,,True,True,True,True,,"gt:M=W,pi=2,eta=[3, 5],sig=2"
haptic,YIYBOY,success,True,,True,True,True,True,,"gt:M=Fe,pi=2,eta=[5, 5],sig=0"
haptic,ADIQEJ,success,True,,True,True,True,True,,"gt:M=Fe,pi=2,eta=[5, 5],sig=0"
haptic,DARLEN,success,True,,True,True,True,True,,"gt:M=Cr,pi=2,eta=[2, 4],sig=3"
haptic,RECHIS,success,True,,True,True,True,True,,"gt:M=Zr,pi=3,eta=[2, 5, 5],sig=1"
haptic,ORAPAZ,success,True,,True,True,True,True,,"gt:M=Fe,pi=2,eta=[5, 5],sig=0"
haptic,MALFIP,success,True,,True,True,True,True,,"gt:M=Fe,pi=2,eta=[5, 5],sig=0"
haptic,MOLYEV,success,True,,True,True,True,True,,"gt:M=Ti,pi=1,eta=[5],sig=3"
haptic,GOBLAM,success,True,,True,True,True,True,,"gt:M=Ti,pi=1,eta=[5],sig=3"
haptic,ZIKQES,success,True,,True,True,True,True,,"gt:M=Ni,pi=2,eta=[2, 2],sig=2"
haptic,PUHBAV,success,True,,True,True,True,True,,"gt:M=Zr,pi=2,eta=[5, 5],sig=2"
haptic,DUPWAN01,success,True,,True,True,True,True,,"gt:M=Fe,pi=2,eta=[5, 5],sig=0"
haptic,PASSOV,success,True,,True,True,True,True,,"gt:M=Pd,pi=1,eta=[3],sig=2"
haptic,OJELUL,success,True,,True,True,True,True,,"gt:M=Ru,pi=2,eta=[5, 5],sig=0"
haptic,AKEHAZ,success,True,,True,True,True,True,,"gt:M=Ru,pi=1,eta=[5],sig=3"
haptic,IZIMIO,success,True,,True,True,True,True,,"gt:M=Ru,pi=1,eta=[5],sig=3"
haptic,ZIRRUQ,success,True,,True,True,True,True,,"gt:M=Ti,pi=1,eta=[5],sig=4"
haptic,SIHHIC,success,True,,True,True,True,True,,"gt:M=Ru,pi=2,eta=[2, 5],sig=2"
haptic,BAFDUK,success,True,,True,True,True,True,,"gt:M=Fe,pi=2,eta=[5, 5],sig=0"
haptic,HEYCIZ,success,True,,True,True,True,True,,"gt:M=Pt,pi=2,eta=[2, 2],sig=2"
haptic,IKUFOL,success,True,,True,True,True,True,,"gt:M=Ru,pi=2,eta=[2, 2],sig=4"
haptic,OJEVIJ,success,True,,True,True,True,True,,"gt:M=Ti,pi=3,eta=[2, 5, 5],sig=0"
haptic,XOQGAL,success,True,,True,True,True,True,,"gt:M=Cr,pi=1,eta=[6],sig=3"
haptic,IGAGUW,success,True,,True,True,True,True,,"gt:M=Fe,pi=2,eta=[5, 5],sig=0"
haptic,MMCHPD,success,True,,True,True,True,True,,"gt:M=Pd,pi=1,eta=[3],sig=2"
haptic,FIQFOB,success,True,,True,True,True,True,,"gt:M=Fe,pi=2,eta=[5, 5],sig=0"
