pool,refcode,converter_status,manual_metal_centers_correct,manual_bridge_assignment_correct,manual_haptic_site_correct,manual_eta_correct,manual_ligand_assignment_correct,manual_record_chemically_reasonable,manual_failure_reason,auditor_note
multi,ARAYUP,success,,,,,,,,[TO BE FILLED]
multi,DEWFUJ,success,,,,,,,,[TO BE FILLED]
multi,WEPTES,success,,,,,,,,[TO BE FILLED]
multi,LOXYOO,success,,,,,,,,[TO BE FILLED]
multi,OTIBEZ,success,,,,,,,,[TO BE FILLED]
multi,HERTUX,success,,,,,,,,[TO BE FILLED]
multi,AVUBUQ,success,,,,,,,,[TO BE FILLED]
multi,ADAJUL,success,,,,,,,,[TO BE FILLED]
multi,BESXIH,success,,,,,,,,[TO BE FILLED]
multi,GIJKIU,success,,,,,,,,[TO BE FILLED]
multi,SENWUH,success,,,,,,,,[TO BE FILLED]
multi,NOYGAN,success,,,,,,,,[TO BE FILLED]
multi,SEGSEE,success,,,,,,,,[TO BE FILLED]
multi,RISWUM,success,,,,,,,,[TO BE FILLED]
multi,QIMRUD,success,,,,,,,,[TO BE FILLED]
multi,CERGOX,success,,,,,,,,[TO BE FILLED]
multi,GEGSOE,success,,,,,,,,[TO BE FILLED]
multi,LORNAJ,success,,,,,,,,[TO BE FILLED]
multi,KEVCEW,success,,,,,,,,[TO BE FILLED]
multi,QATKOP,success,,,,,,,,[TO BE FILLED]
multi,TACYUT,success,,,,,,,,[TO BE FILLED]
multi,CUJCER,success,,,,,,,,[TO BE FILLED]
multi,VEGBES,success,,,,,,,,[TO BE FILLED]
multi,QEJFAM,success,,,,,,,,[TO BE FILLED]
multi,LUKMAG,success,,,,,,,,[TO BE FILLED]
multi,TARTAH,success,,,,,,,,[TO BE FILLED]
multi,SICHUL,success,,,,,,,,[TO BE FILLED]
multi,POHCAT,success,,,,,,,,[TO BE FILLED]
multi,HOGKIY,success,,,,,,,,[TO BE FILLED]
multi,KAGBAW,success,,,,,,,,[TO BE FILLED]
multi,VUPVOV,success,,,,,,,,[TO BE FILLED]
multi,PUTZEM,success,,,,,,,,[TO BE FILLED]
multi,ENSXCO,success,,,,,,,,[TO BE FILLED]
multi,ZIQSUN,success,,,,,,,,[TO BE FILLED]
multi,DUZXAA,success,,,,,,,,[TO BE FILLED]
multi,QIVGIM,success,,,,,,,,[TO BE FILLED]
multi,QICGUG,success,,,,,,,,[TO BE FILLED]
multi,FAGTAM,success,,,,,,,,[TO BE FILLED]
multi,HACQUA,success,,,,,,,,[TO BE FILLED]
multi,MAWPAF,success,,,,,,,,[TO BE FILLED]
multi,ZOPVAD,success,,,,,,,,[TO BE FILLED]
multi,IYOJEL,success,,,,,,,,[TO BE FILLED]
multi,SERDOK,success,,,,,,,,[TO BE FILLED]
multi,KEYBOI,success,,,,,,,,[TO BE FILLED]
multi,PILZAN01,success,,,,,,,,[TO BE FILLED]
multi,EWOYUL,success,,,,,,,,[TO BE FILLED]
multi,QUPXUU,success,,,,,,,,[TO BE FILLED]
multi,KUQJEO,success,,,,,,,,[TO BE FILLED]
multi,TUMGUE,success,,,,,,,,[TO BE FILLED]
multi,TUVDUK,success,,,,,,,,[TO BE FILLED]
multi,BUQMOS,failure,,,,,,,too_many_metals_20,[TO BE FILLED]
multi,ZOHLIU,failure,,,,,,,too_many_metals_132,[TO BE FILLED]
multi,PAYBEZ,failure,,,,,,,too_many_metals_20,[TO BE FILLED]
multi,VUJCAH,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,YATGIM,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,YUJMEX,failure,,,,,,,no_sites_found,[TO BE FILLED]
multi,KAZKUU,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,ARETIC,failure,,,,,,,no_sites_found,[TO BE FILLED]
multi,CUBPUN,failure,,,,,,,too_many_metals_13,[TO BE FILLED]
multi,CPOSMN,failure,,,,,,,no_sites_found,[TO BE FILLED]
multi,XEHVUC,failure,,,,,,,too_many_metals_15,[TO BE FILLED]
multi,GALCEE,failure,,,,,,,too_many_metals_16,[TO BE FILLED]
multi,KOSMOU,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,YECZEN,failure,,,,,,,no_sites_found,[TO BE FILLED]
multi,YOJLEQ,failure,,,,,,,too_many_metals_45,[TO BE FILLED]
multi,BISZUA,failure,,,,,,,too_many_metals_18,[TO BE FILLED]
multi,WOFFEE,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,VAFGOC,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,QOJNAI,failure,,,,,,,too_many_metals_30,[TO BE FILLED]
multi,LEZVIX,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,DIXRUZ,failure,,,,,,,too_many_metals_28,[TO BE FILLED]
multi,CILMIU06,failure,,,,,,,too_many_metals_15,[TO BE FILLED]
multi,UCEZOS,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,NECQUI,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,UTOVUV,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,RAPWIO,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,TETYUP,failure,,,,,,,too_many_metals_18,[TO BE FILLED]
multi,TAQFAS,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,KOTGEI,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,VUCBIG,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,NEJMOH,failure,,,,,,,too_many_metals_18,[TO BE FILLED]
multi,RINFEC,failure,,,,,,,too_many_metals_26,[TO BE FILLED]
multi,MOGQAA,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,SIKGOJ,failure,,,,,,,too_many_metals_15,[TO BE FILLED]
multi,MIXBEE,failure,,,,,,,too_many_metals_24,[TO BE FILLED]
multi,MIVWUL,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,JIHHUG,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,KADFII,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,LACCAX02,failure,,,,,,,too_many_metals_15,[TO BE FILLED]
multi,HISXIR,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,HEYHOJ,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,NEZYUM,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,EXIHIC,failure,,,,,,,no_sites_found,[TO BE FILLED]
multi,DULHOK,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,BUTNIQ,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,CAZYOR,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
multi,TISRUL,failure,,,,,,,too_many_metals_23,[TO BE FILLED]
multi,FUYREX,failure,,,,,,,too_many_metals_15,[TO BE FILLED]
multi,TIZGOA01,failure,,,,,,,too_many_metals_22,[TO BE FILLED]
multi,DOTJOO01,failure,,,,,,,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,[TO BE FILLED]
haptic,DOFDUX,success,,,,,,,,[TO BE FILLED]
haptic,WUPLIG,success,,,,,,,,[TO BE FILLED]
haptic,MEBRHB,success,,,,,,,,[TO BE FILLED]
haptic,WOMXEE,success,,,,,,,,[TO BE FILLED]
haptic,NAFNUI,success,,,,,,,,[TO BE FILLED]
haptic,HAYJUP,success,,,,,,,,[TO BE FILLED]
haptic,HEBHUU,success,,,,,,,,[TO BE FILLED]
haptic,JONDIZ,success,,,,,,,,[TO BE FILLED]
haptic,RUYFAU,success,,,,,,,,[TO BE FILLED]
haptic,HOVZUO,success,,,,,,,,[TO BE FILLED]
haptic,RIYFAH,success,,,,,,,,[TO BE FILLED]
haptic,LIGFOX,success,,,,,,,,[TO BE FILLED]
haptic,YASZOK,success,,,,,,,,[TO BE FILLED]
haptic,AKOKIV,success,,,,,,,,[TO BE FILLED]
haptic,GUZLIY,success,,,,,,,,[TO BE FILLED]
haptic,DAMBUR,success,,,,,,,,[TO BE FILLED]
haptic,EGIBEB,success,,,,,,,,[TO BE FILLED]
haptic,RALXOR,success,,,,,,,,[TO BE FILLED]
haptic,VEBZUB,success,,,,,,,,[TO BE FILLED]
haptic,DOZQUE,success,,,,,,,,[TO BE FILLED]
haptic,IDORIF,success,,,,,,,,[TO BE FILLED]
haptic,KUKKAD,success,,,,,,,,[TO BE FILLED]
haptic,YEDLAW,success,,,,,,,,[TO BE FILLED]
haptic,XUNNOK,success,,,,,,,,[TO BE FILLED]
haptic,FAJGII,success,,,,,,,,[TO BE FILLED]
haptic,YIYBOY,success,,,,,,,,[TO BE FILLED]
haptic,ADIQEJ,success,,,,,,,,[TO BE FILLED]
haptic,DARLEN,success,,,,,,,,[TO BE FILLED]
haptic,RECHIS,success,,,,,,,,[TO BE FILLED]
haptic,ORAPAZ,success,,,,,,,,[TO BE FILLED]
haptic,MALFIP,success,,,,,,,,[TO BE FILLED]
haptic,MOLYEV,success,,,,,,,,[TO BE FILLED]
haptic,GOBLAM,success,,,,,,,,[TO BE FILLED]
haptic,ZIKQES,success,,,,,,,,[TO BE FILLED]
haptic,PUHBAV,success,,,,,,,,[TO BE FILLED]
haptic,DUPWAN01,success,,,,,,,,[TO BE FILLED]
haptic,PASSOV,success,,,,,,,,[TO BE FILLED]
haptic,OJELUL,success,,,,,,,,[TO BE FILLED]
haptic,AKEHAZ,success,,,,,,,,[TO BE FILLED]
haptic,IZIMIO,success,,,,,,,,[TO BE FILLED]
haptic,ZIRRUQ,success,,,,,,,,[TO BE FILLED]
haptic,SIHHIC,success,,,,,,,,[TO BE FILLED]
haptic,BAFDUK,success,,,,,,,,[TO BE FILLED]
haptic,HEYCIZ,success,,,,,,,,[TO BE FILLED]
haptic,IKUFOL,success,,,,,,,,[TO BE FILLED]
haptic,OJEVIJ,success,,,,,,,,[TO BE FILLED]
haptic,XOQGAL,success,,,,,,,,[TO BE FILLED]
haptic,IGAGUW,success,,,,,,,,[TO BE FILLED]
haptic,MMCHPD,success,,,,,,,,[TO BE FILLED]
haptic,FIQFOB,success,,,,,,,,[TO BE FILLED]
