refcode,n_metals,is_polymeric,has_disorder,old_failure_stage,old_failure_reason,diagnosis_category,fix_applied,fix_result
UTOVUV,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
NIXSOF,6,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
IJIGEQ,13,True,True,metal_count,too_many_metals_13,polymeric_or_extended_future_scope,,out_of_scope
MOTKUE,16,False,True,metal_count,too_many_metals_16,polymeric_or_extended_future_scope,,out_of_scope
CUDQAU,17,True,False,metal_count,too_many_metals_17,polymeric_or_extended_future_scope,,out_of_scope
HUJDEX,14,False,True,metal_count,too_many_metals_14,polymeric_or_extended_future_scope,,out_of_scope
ICOYUY,4,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ESOJEB,19,True,True,metal_count,too_many_metals_19,polymeric_or_extended_future_scope,,out_of_scope
MODMUN,21,True,True,metal_count,too_many_metals_21,polymeric_or_extended_future_scope,,out_of_scope
TITMAO,27,True,True,metal_count,too_many_metals_27,polymeric_or_extended_future_scope,,out_of_scope
XUSVUF,2,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
JANMOB,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
RUWYUF,4,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
KEBYEV,3,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
YEQLIS,18,False,True,metal_count,too_many_metals_18,polymeric_or_extended_future_scope,,out_of_scope
HULKIL,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
QURCEN,24,False,True,metal_count,too_many_metals_24,polymeric_or_extended_future_scope,,out_of_scope
LOLDOH,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
KUDPUX,14,False,False,metal_count,too_many_metals_14,polymeric_or_extended_future_scope,,out_of_scope
TASSAK,25,False,True,metal_count,too_many_metals_25,polymeric_or_extended_future_scope,,out_of_scope
VEJNUU,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
OMITUB,38,True,True,metal_count,too_many_metals_38,polymeric_or_extended_future_scope,,out_of_scope
CBUPRH,2,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
YOWLON,19,True,True,metal_count,too_many_metals_19,polymeric_or_extended_future_scope,,out_of_scope
XUYPIQ02,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
DULHOK,7,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
MAZFAW,2,False,True,site_detection,no_sites_found,disorder_or_partial_occupancy,,out_of_scope
ERIMAT,4,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
