refcode,metal_count,metals,n_sites,bridge_count,parse_valid,roundtrip_valid,metal_order_invariant,atom_order_invariant,ligand_order_invariant,bridge_consistency_valid,local_sphere_consistency_valid,identity_keys_present,record_generated,failure_stage,failure_reason
SAYYOG,2,Re+Re,9,0,True,True,True,True,True,True,True,True,True,,
GUNWAQ,3,Zn+Zn+Zn,6,2,True,True,True,True,True,True,True,True,True,,
WIZFER,2,Zn+Zn,12,0,True,True,True,True,True,True,True,True,True,,
LOXYOO,2,Cd+Cd,3,1,True,True,True,True,True,True,True,True,True,,
HOCSUN,4,Ni+Ni+Ni+Ni,20,2,True,True,True,True,True,True,True,True,True,,
PUKFEG,2,Co+Co,8,2,True,True,True,True,True,True,True,True,True,,
KERKAV,6,Fe+Fe+Mn+Mn+Mn+Mn,26,0,True,True,True,True,True,True,True,True,True,,
UTOVUV,4,Mn+Mn+Mn+Mn,12,4,True,True,True,True,True,True,True,True,True,,
JITHOJ,3,W+W+W,13,7,True,True,True,True,True,True,True,True,True,,
YUBQUI01,5,Cu+Cu+Cu+Cu+Fe,15,0,True,True,True,True,True,True,True,True,True,,
TEHMAV,3,Ag+Ag+Ag,4,2,True,True,True,True,True,True,True,True,True,,
NIXSOF,6,Cu+Cu+Cu+Cu+Cu+Cu,8,6,True,True,True,True,True,True,True,True,True,,
QALTON,2,Ru+Ru,12,0,True,True,True,True,True,True,True,True,True,,
ULOFUX,3,Cd+Cd+Cd,9,1,True,True,True,True,True,True,True,True,True,,
YACSIG,8,Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn,28,12,True,True,True,True,True,True,True,True,True,,
MACGAZ,2,Cu+Cu,6,0,True,True,True,True,True,True,True,True,True,,
VEHPAD,2,Ag+Ag,2,2,True,True,True,True,True,True,True,True,True,,
UDAKUJ,3,Pd+Pd+Pd,14,0,True,True,True,True,True,True,True,True,True,,
SARKOO,2,Pt+Pt,6,2,True,True,True,True,True,True,True,True,True,,
ZIYROQ,2,Cr+Ti,10,1,True,True,True,True,True,True,True,True,True,,
FOCVIG,2,Cu+Ta,1,0,True,True,True,True,True,True,True,True,True,,
URIPIV,3,Cu+Cu+Cu,6,1,True,True,True,True,True,True,True,True,True,,
ICOYUY,4,Cu+Cu+Cu+Cu,12,4,True,True,True,True,True,True,True,True,True,,
PUSBEM08,3,Ni+Ni+Ni,4,0,True,True,True,True,True,True,True,True,True,,
CENDEE01,2,Cu+Cu,6,2,True,True,True,True,True,True,True,True,True,,
NIDDIP02,7,Cu+Cu+Cu+Cu+Cu+Cu+Cu,24,6,True,True,True,True,True,True,True,True,True,,
YIQPUK,2,Zn+Zn,8,2,True,True,True,True,True,True,True,True,True,,
QAPPUT,7,Ag+Ag+Ag+Ag+Ag+Ag+Ag,12,1,True,True,True,True,True,True,True,True,True,,
SADYAA,2,Ni+Ni,8,0,True,True,True,True,True,True,True,True,True,,
FENMIU,2,Cu+Cu,8,2,True,True,True,True,True,True,True,True,True,,
MOKXOD,3,Fe+Fe+Fe,18,0,True,True,True,True,True,True,True,True,True,,
PATDAQ,6,Cu+Cu+V+V+V+V,16,0,True,True,True,True,True,True,True,True,True,,
MOWWOM,2,Ru+Ru,9,0,True,True,True,True,True,True,True,True,True,,
NELCUF,6,Rh+Rh+Rh+Rh+Rh+Rh,24,0,True,True,True,True,True,True,True,True,True,,
HOJGIX,2,Ni+Ni,12,0,True,True,True,True,True,True,True,True,True,,
QITXEW02,3,Co+Co+Co,14,0,True,True,True,True,True,True,True,True,True,,
QAFFIP,2,Cd+Cd,14,0,True,True,True,True,True,True,True,True,True,,
MEHGIP,2,Co+Co,4,0,True,True,True,True,True,True,True,True,True,,
WAYRAT,4,Fe+Fe+Fe+Fe,8,4,True,True,True,True,True,True,True,True,True,,
IDUYOW,3,Cu+Cu+Cu,6,0,True,True,True,True,True,True,True,True,True,,
POSSAR,3,Au+Au+Au,4,1,True,True,True,True,True,True,True,True,True,,
IVIGIE,2,Cu+Cu,10,0,True,True,True,True,True,True,True,True,True,,
HOYROC,4,Co+Co+Co+Fe,5,5,True,True,True,True,True,True,True,True,True,,
BOGDEK,6,Ag+Ag+Ag+Ag+Ag+Ag,12,0,True,True,True,True,True,True,True,True,True,,
IQEZAF,4,Co+Co+Co+Co,11,3,True,True,True,True,True,True,True,True,True,,
AVONAD03,5,Cu+Cu+Cu+Cu+Cu,6,3,True,True,True,True,True,True,True,True,True,,
KAPBAF,3,Zn+Zn+Zn,12,0,True,True,True,True,True,True,True,True,True,,
MEYPUB,2,Fe+Rh,6,2,True,True,True,True,True,True,True,True,True,,
WEKXUG,3,Fe+Ru+Ru,14,4,True,True,True,True,True,True,True,True,True,,
QEMKOJ,3,Hg+Hg+Hg,6,0,True,True,True,True,True,True,True,True,True,,
XUSVUF,2,Nb+Nb,10,4,True,True,True,True,True,True,True,True,True,,
EFOYOR,4,Cu+Cu+Cu+Cu,8,6,True,True,True,True,True,True,True,True,True,,
MOXQUP,3,Ni+Ni+Ni,18,0,True,True,True,True,True,True,True,True,True,,
ZNCROC,2,Zn+Zn,7,0,True,True,True,True,True,True,True,True,True,,
XOMDOU,6,Ag+Ag+Ag+Ag+Ag+Ag,12,1,True,True,True,True,True,True,True,True,True,,
IWUZAC,7,Zn+Zn+Zn+Zn+Zn+Zn+Zn,24,1,True,True,True,True,True,True,True,True,True,,
RUWYUF,4,Fe+Fe+Fe+Fe,8,4,True,True,True,True,True,True,True,True,True,,
OBUMUX,2,Mn+Mn,12,0,True,True,True,True,True,True,True,True,True,,
FAZQEF,2,Mn+Mn,10,2,True,True,True,True,True,True,True,True,True,,
HOSMUZ,2,Co+Co,4,0,True,True,True,True,True,True,True,True,True,,
OFABOP,4,Ag+Ag+Ag+Ag,8,0,True,True,True,True,True,True,True,True,True,,
TAKGUK,5,Cu+Cu+Cu+Cu+Cu,7,4,True,True,True,True,True,True,True,True,True,,
XEHXUD,2,Ni+Rh,9,0,True,True,True,True,True,True,True,True,True,,
YINHEL,2,Ni+Ni,6,1,True,True,True,True,True,True,True,True,True,,
FEXWOV,2,Fe+W,6,2,True,True,True,True,True,True,True,True,True,,
KEBYEV,3,Co+Co+Co,10,1,True,True,True,True,True,True,True,True,True,,
PAGSIB,2,Ti+Zr,2,0,True,True,True,True,True,True,True,True,True,,
MUZXUA,2,Rh+Rh,4,0,True,True,True,True,True,True,True,True,True,,
MURVUR,2,Co+Co,6,1,True,True,True,True,True,True,True,True,True,,
