refcode,n_metals,is_polymeric,has_disorder,reason
IJIGEQ,13,True,True,metals>12
MOTKUE,16,False,True,metals>12
CUDQAU,17,True,False,metals>12
HUJDEX,14,False,True,metals>12
ESOJEB,19,True,True,metals>12
MODMUN,21,True,True,metals>12
TITMAO,27,True,True,metals>12
YEQLIS,18,False,True,metals>12
QURCEN,24,False,True,metals>12
KUDPUX,14,False,False,metals>12
TASSAK,25,False,True,metals>12
OMITUB,38,True,True,metals>12
YOWLON,19,True,True,metals>12
SEMXER,32,False,True,metals>12
GUCXAF,30,False,True,metals>12
TIZGOA01,22,False,False,metals>12
QEBBUY,16,False,True,metals>12
ZUTMIN,19,True,True,metals>12
KOCQOL,24,False,True,metals>12
QOYKOG,22,False,True,metals>12
ISAKUK,18,True,True,metals>12
HEWWEO,17,True,True,metals>12
XOQBOW,14,False,False,metals>12
LIMLID,17,False,False,metals>12
CILMIU26,28,True,False,metals>12
HEPPUR,14,False,True,metals>12
DOHPIB,13,False,False,metals>12
ZIJNEP,32,False,True,metals>12
AWENUN,22,False,True,metals>12
GILVOP,48,False,True,metals>12
QOCKOJ,20,True,True,metals>12
KIDLER,15,False,False,metals>12
MEBFAA,24,True,True,metals>12
NUDNUW07,17,True,True,metals>12
GECQEO,37,False,False,metals>12
FORWUF,15,True,False,metals>12
CEVQOK,14,False,False,metals>12
IXIQEO,15,True,False,metals>12
SEDJUH,16,True,True,metals>12
ZOHHOW,30,True,True,metals>12
OZOHIX,31,True,False,metals>12
VEDPAY,32,False,True,metals>12
WOKPUJ,186,False,True,metals>12
ROVGIV,48,False,True,metals>12
LOGFUJ,42,False,False,metals>12
DANZEZ,17,True,True,metals>12
GECRIS,43,True,True,metals>12
KAKDAC01,23,True,False,metals>12
NIRQOW,38,False,False,metals>12
MENBOX02,14,True,False,metals>12
IPEGIU,18,False,True,metals>12
CIFCOL,18,True,True,metals>12
ASISON,15,False,True,metals>12
GUPKOV,16,True,True,metals>12
WODGAY,28,False,False,metals>12
BAFQIM,13,False,True,metals>12
OQIQUB,16,True,False,metals>12
BISZUA,18,False,True,metals>12
RUVWAK,24,False,True,metals>12
PEJGET,172,True,True,metals>12
MIXBEE,24,False,True,metals>12
DUYKIV,15,False,True,metals>12
CUBPUN,13,True,True,metals>12
PITBUQ,28,True,False,metals>12
XALTOV,14,True,False,metals>12
MENDIW,88,False,True,metals>12
YIVSAY,22,True,False,metals>12
BOMZUZ,21,False,True,metals>12
FOHYAE,50,False,False,metals>12
XIWQOJ,20,False,False,metals>12
KICWOM,26,False,True,metals>12
CUVHUA,13,True,True,metals>12
ROMGOT,18,False,True,metals>12
REPFIF,28,False,True,metals>12
AKAQOU,46,False,True,metals>12
HIKSIF,30,True,True,metals>12
WUTFOJ,36,False,True,metals>12
ROJRIR,30,False,True,metals>12
EPIQAX,15,False,True,metals>12
TIQPUH,34,False,True,metals>12
DUXKEN,55,False,True,metals>12
JEDROC,22,False,True,metals>12
TULBUB,19,True,True,metals>12
JEPBIS,15,False,True,metals>12
WORLAS,18,True,True,metals>12
TIMDAX,13,False,True,metals>12
TOWXIM,18,False,False,metals>12
OPIQIQ,14,True,True,metals>12
YOZLIM,16,True,False,metals>12
LURRUO,50,False,True,metals>12
MEFZUU,18,False,True,metals>12
MUYLOI,15,True,True,metals>12
SEGZUA,13,True,False,metals>12
CUFWOR,20,False,True,metals>12
ZOHLIU,132,False,False,metals>12
WOMCOS,16,False,True,metals>12
MOJDIA,18,True,True,metals>12
OSACIV,18,False,False,metals>12
JUGHIG,43,False,True,metals>12
KICCUY,13,True,True,metals>12
ZULLUP,36,False,True,metals>12
XOCWUK,51,True,True,metals>12
UTEWOG,17,True,True,metals>12
ASPTCO,15,False,False,metals>12
GENDEL,32,False,True,metals>12
ADOWEY,30,True,False,metals>12
VAXJUC,21,True,True,metals>12
DIXRUZ,28,False,True,metals>12
QOJNAI,30,True,True,metals>12
YUJSED,30,False,True,metals>12
QAWXAP,18,False,True,metals>12
SAGNUN,30,False,True,metals>12
QUBSOY,21,True,True,metals>12
DOLDUH,18,True,True,metals>12
QODHUO01,13,False,False,metals>12
CAKCAU,27,False,True,metals>12
REYDUY,13,False,True,metals>12
GALCEE,16,False,True,metals>12
DOMBAL,36,True,False,metals>12
KALDAG,28,False,True,metals>12
ZUJTEG,28,False,True,metals>12
UHAJOF,15,True,True,metals>12
UTOJOF,116,False,True,metals>12
SOKMAI,21,False,True,metals>12
LAHSIZ,42,False,True,metals>12
YUZQOC,16,False,True,metals>12
CESGIR,18,False,True,metals>12
JIWRAJ,13,False,True,metals>12
HAPMIX,16,True,True,metals>12
XEHVUC,15,False,False,metals>12
GAYNOL,32,False,True,metals>12
DOMXUZ,26,False,True,metals>12
MIZXIG,14,False,True,metals>12
LACCAX02,15,False,True,metals>12
PAYBEZ,20,False,True,metals>12
NIWYOJ,19,True,True,metals>12
TEXDUY,24,False,False,metals>12
HIJTAX,13,False,False,metals>12
JOCHIV,23,True,True,metals>12
VEBXOT,22,True,True,metals>12
TASWEQ,45,False,True,metals>12
GUWFUA,19,True,True,metals>12
FOPTOU,15,False,True,metals>12
YAWHEK,32,False,True,metals>12
NACXEY,18,True,True,metals>12
QEFLIA,26,True,True,metals>12
NETLIH,16,False,False,metals>12
WOYPUX,72,False,True,metals>12
HAFGIE,15,False,True,metals>12
SOYBEP,29,False,True,metals>12
ISUCOP,16,False,True,metals>12
OJUPEQ,20,True,True,metals>12
OQUGUE,16,True,True,metals>12
ZIMGOV,140,False,True,metals>12
ETOJAA,17,True,True,metals>12
HEHCEG,25,True,True,metals>12
XUKQAZ,48,False,True,metals>12
NUTQAX,21,True,True,metals>12
TISRUL,23,True,False,metals>12
FIZPUB,14,False,True,metals>12
NISFII,24,True,True,metals>12
VIQZON,38,True,False,metals>12
DOHXOP,19,False,True,metals>12
MOTVEY,20,True,False,metals>12
DOBROD,18,False,True,metals>12
IVUTOJ,13,False,True,metals>12
JUSSID,14,True,True,metals>12
YUCFOR,13,False,True,metals>12
LURZAA,25,False,False,metals>12
ZEBVAF,19,True,True,metals>12
LAXREK,36,False,True,metals>12
JODDOY,21,True,True,metals>12
YOYTUD,17,True,False,metals>12
CEJPEO,19,False,True,metals>12
QADZON,24,True,False,metals>12
SIRHEG,24,False,True,metals>12
SEMLIF,13,False,False,metals>12
