refcode,n_metals,is_polymeric,has_disorder,old_record_generated,scope_class
SAYYOG,2,False,False,True,molecular_multinuclear_supported
GUNWAQ,3,True,False,True,molecular_multinuclear_supported
WIZFER,2,False,False,True,molecular_multinuclear_supported
LOXYOO,2,True,False,True,molecular_multinuclear_supported
HOCSUN,4,False,False,True,molecular_multinuclear_supported
PUKFEG,2,False,False,True,molecular_multinuclear_supported
KERKAV,6,True,False,True,molecular_multinuclear_supported
UTOVUV,4,False,False,False,molecular_multinuclear_supported
JITHOJ,3,False,False,True,molecular_multinuclear_supported
YUBQUI01,5,True,False,True,molecular_multinuclear_supported
TEHMAV,3,True,True,True,molecular_multinuclear_supported
NIXSOF,6,True,False,False,molecular_multinuclear_supported
QALTON,2,False,True,True,molecular_multinuclear_supported
ULOFUX,3,True,False,True,molecular_multinuclear_supported
YACSIG,8,False,True,True,molecular_multinuclear_supported
IJIGEQ,13,True,True,False,polymeric_or_extended_future_scope
MACGAZ,2,True,False,True,molecular_multinuclear_supported
VEHPAD,2,True,False,True,molecular_multinuclear_supported
MOTKUE,16,False,True,False,polymeric_or_extended_future_scope
UDAKUJ,3,False,True,True,molecular_multinuclear_supported
CUDQAU,17,True,False,False,polymeric_or_extended_future_scope
HUJDEX,14,False,True,False,polymeric_or_extended_future_scope
SARKOO,2,False,True,True,molecular_multinuclear_supported
ZIYROQ,2,False,False,True,molecular_multinuclear_supported
FOCVIG,2,False,True,True,molecular_multinuclear_supported
URIPIV,3,True,False,True,molecular_multinuclear_supported
ICOYUY,4,False,True,False,molecular_multinuclear_supported
PUSBEM08,3,True,False,True,molecular_multinuclear_supported
CENDEE01,2,False,False,True,molecular_multinuclear_supported
NIDDIP02,7,True,True,True,molecular_multinuclear_supported
YIQPUK,2,False,False,True,molecular_multinuclear_supported
QAPPUT,7,True,False,True,molecular_multinuclear_supported
SADYAA,2,False,True,True,molecular_multinuclear_supported
ESOJEB,19,True,True,False,polymeric_or_extended_future_scope
FENMIU,2,False,False,True,molecular_multinuclear_supported
MOKXOD,3,False,False,True,molecular_multinuclear_supported
PATDAQ,6,True,False,True,molecular_multinuclear_supported
MOWWOM,2,False,False,True,molecular_multinuclear_supported
NELCUF,6,False,True,True,molecular_multinuclear_supported
HOJGIX,2,False,True,True,molecular_multinuclear_supported
MODMUN,21,True,True,False,polymeric_or_extended_future_scope
QITXEW02,3,False,True,True,molecular_multinuclear_supported
QAFFIP,2,False,False,True,molecular_multinuclear_supported
MEHGIP,2,False,False,True,molecular_multinuclear_supported
WAYRAT,4,False,True,True,molecular_multinuclear_supported
IDUYOW,3,False,False,True,molecular_multinuclear_supported
POSSAR,3,False,False,True,molecular_multinuclear_supported
IVIGIE,2,False,False,True,molecular_multinuclear_supported
HOYROC,4,False,True,True,molecular_multinuclear_supported
BOGDEK,6,False,True,True,molecular_multinuclear_supported
IQEZAF,4,True,True,True,molecular_multinuclear_supported
AVONAD03,5,True,True,True,molecular_multinuclear_supported
KAPBAF,3,False,True,True,molecular_multinuclear_supported
TITMAO,27,True,True,False,polymeric_or_extended_future_scope
MEYPUB,2,False,False,True,molecular_multinuclear_supported
