model,n,precision,recall,f1,jaccard,all_correct,top1,top5,denticity
Random,1254,0.1380,0.1380,0.1380,0.1380,0.1380,0.1380,0.1380,1
Random,334,0.2829,0.3578,0.3044,0.2365,0.0689,0.2904,0.4760,2
Random,412,0.3888,0.5829,0.4388,0.3209,0.0194,0.4053,0.7913,>=3
GlobalFreq,1254,0.2496,0.2496,0.2496,0.2496,0.2496,0.2496,0.2496,1
GlobalFreq,334,0.5165,0.6946,0.5758,0.4795,0.2275,0.3623,0.8054,2
GlobalFreq,412,0.4714,0.9654,0.6051,0.4631,0.0340,0.7913,1.0000,>=3
CondFreq,1254,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,1
CondFreq,334,0.4925,0.6617,0.5489,0.4506,0.1976,0.5868,0.7874,2
CondFreq,412,0.4610,0.9440,0.5916,0.4495,0.0316,0.8932,0.9976,>=3
LigandFreq,1254,0.9474,0.9474,0.9474,0.9474,0.9474,0.9474,0.9474,1
LigandFreq,334,0.8368,0.8338,0.8199,0.7685,0.6347,0.7605,0.9431,2
LigandFreq,412,0.8046,0.8930,0.7991,0.7209,0.4709,0.8859,0.9879,>=3
GCN_ligand_only,1254,0.8876,0.8876,0.8876,0.8876,0.8876,,,1
GCN_ligand_only,334,0.8039,0.8039,0.8039,0.7515,0.6467,,,2
GCN_ligand_only,412,0.7990,0.7990,0.7990,0.7132,0.4442,,,>=3
GIN_ligand_only,1254,0.8907,0.8907,0.8907,0.8907,0.8907,,,1
GIN_ligand_only,334,0.8114,0.8114,0.8114,0.7645,0.6707,,,2
GIN_ligand_only,412,0.8127,0.8127,0.8127,0.7307,0.4684,,,>=3
GIN_ligand_context,1254,0.9306,0.9306,0.9306,0.9306,0.9306,,,1
GIN_ligand_context,334,0.8548,0.8548,0.8548,0.8134,0.7305,,,2
GIN_ligand_context,412,0.8635,0.8635,0.8635,0.8044,0.6141,,,>=3
