method,decoy_type,n,win_rate
Random,boundary_hard,922,0.5043
Random,co_ligand_hard,1500,0.5173
Random,ligand_hard,1493,0.5137
Random,metal_hard,1425,0.5116
Random,stereo_hard,689,0.5341
RuleValidator,boundary_hard,922,0.0000
RuleValidator,co_ligand_hard,1500,0.0000
RuleValidator,ligand_hard,1493,0.0000
RuleValidator,metal_hard,1425,0.0000
RuleValidator,stereo_hard,689,0.0000
Frequency,boundary_hard,922,0.7690
Frequency,co_ligand_hard,1500,0.5060
Frequency,ligand_hard,1493,0.4501
Frequency,metal_hard,1425,0.8274
Frequency,stereo_hard,689,0.7228
WLHash,boundary_hard,922,0.0000
WLHash,co_ligand_hard,1500,0.3847
WLHash,ligand_hard,1493,0.6075
WLHash,metal_hard,1425,0.0000
WLHash,stereo_hard,689,0.0000
GIN_Ranker,boundary_hard,922,0.4111
GIN_Ranker,co_ligand_hard,1500,0.4867
GIN_Ranker,ligand_hard,1493,0.7214
GIN_Ranker,metal_hard,1425,0.4281
GIN_Ranker,stereo_hard,689,0.4224
