complex_id,ligand_id,denticity,all_correct,issue
tmqm_1,L1,2,0,bidentate_all_wrong
tmqm_2,L2,2,0,bidentate_all_wrong
tmqm_40,L1,2,0,bidentate_all_wrong
tmqm_42,L3,2,0,bidentate_all_wrong
tmqm_61,L6,2,0,bidentate_all_wrong
tmqm_63,L1,2,0,bidentate_all_wrong
tmqm_70,L1,2,0,bidentate_all_wrong
tmqm_74,L1,2,0,bidentate_all_wrong
tmqm_75,L1,2,0,bidentate_all_wrong
tmqm_80,L1,2,0,bidentate_all_wrong
tmqm_97,L1,2,0,bidentate_all_wrong
tmqm_120,L2,2,0,bidentate_all_wrong
tmqm_125,L1,2,0,bidentate_all_wrong
tmqm_139,L2,2,0,bidentate_all_wrong
tmqm_140,L1,2,0,bidentate_all_wrong
tmqm_141,L4,2,0,bidentate_all_wrong
tmqm_165,L1,2,0,bidentate_all_wrong
tmqm_169,L1,2,0,bidentate_all_wrong
tmqm_170,L1,2,0,bidentate_all_wrong
tmqm_180,L1,2,0,bidentate_all_wrong
tmqm_192,L2,2,0,bidentate_all_wrong
tmqm_196,L3,2,0,bidentate_all_wrong
tmqm_208,L1,2,0,bidentate_all_wrong
tmqm_209,L1,2,0,bidentate_all_wrong
tmqm_214,L2,2,0,bidentate_all_wrong
tmqm_220,L2,2,0,bidentate_all_wrong
tmqm_239,L3,2,0,bidentate_all_wrong
tmqm_240,L1,2,0,bidentate_all_wrong
tmqm_250,L1,2,0,bidentate_all_wrong
tmqm_253,L1,2,0,bidentate_all_wrong
tmqm_257,L1,2,0,bidentate_all_wrong
tmqm_296,L1,2,0,bidentate_all_wrong
tmqm_311,L1,2,0,bidentate_all_wrong
tmqm_316,L1,2,0,bidentate_all_wrong
tmqm_318,L1,2,0,bidentate_all_wrong
tmqm_325,L1,2,0,bidentate_all_wrong
tmqm_335,L1,2,0,bidentate_all_wrong
tmqm_342,L3,2,0,bidentate_all_wrong
tmqm_343,L1,2,0,bidentate_all_wrong
tmqm_356,L2,2,0,bidentate_all_wrong
tmqm_363,L1,2,0,bidentate_all_wrong
tmqm_372,L1,2,0,bidentate_all_wrong
tmqm_379,L1,2,0,bidentate_all_wrong
tmqm_388,L1,2,0,bidentate_all_wrong
tmqm_391,L1,2,0,bidentate_all_wrong
tmqm_395,L1,2,0,bidentate_all_wrong
tmqm_406,L1,2,0,bidentate_all_wrong
tmqm_413,L1,2,0,bidentate_all_wrong
tmqm_433,L3,2,0,bidentate_all_wrong
tmqm_436,L3,2,0,bidentate_all_wrong
tmqm_443,L2,2,0,bidentate_all_wrong
tmqm_466,L3,2,0,bidentate_all_wrong
tmqm_479,L1,2,0,bidentate_all_wrong
tmqm_490,L1,2,0,bidentate_all_wrong
tmqm_508,L1,2,0,bidentate_all_wrong
tmqm_542,L4,2,0,bidentate_all_wrong
tmqm_545,L1,2,0,bidentate_all_wrong
tmqm_547,L1,2,0,bidentate_all_wrong
tmqm_551,L2,2,0,bidentate_all_wrong
tmqm_558,L1,2,0,bidentate_all_wrong
tmqm_561,L3,2,0,bidentate_all_wrong
tmqm_562,L1,2,0,bidentate_all_wrong
tmqm_566,L2,2,0,bidentate_all_wrong
tmqm_575,L1,2,0,bidentate_all_wrong
tmqm_577,L1,2,0,bidentate_all_wrong
tmqm_597,L3,2,0,bidentate_all_wrong
tmqm_604,L1,2,0,bidentate_all_wrong
tmqm_609,L1,2,0,bidentate_all_wrong
tmqm_620,L1,2,0,bidentate_all_wrong
tmqm_627,L1,2,0,bidentate_all_wrong
tmqm_632,L3,2,0,bidentate_all_wrong
tmqm_639,L1,2,0,bidentate_all_wrong
tmqm_646,L4,2,0,bidentate_all_wrong
tmqm_652,L1,2,0,bidentate_all_wrong
tmqm_658,L2,2,0,bidentate_all_wrong
tmqm_659,L1,2,0,bidentate_all_wrong
tmqm_660,L1,2,0,bidentate_all_wrong
tmqm_666,L1,2,0,bidentate_all_wrong
tmqm_701,L1,2,0,bidentate_all_wrong
tmqm_710,L2,2,0,bidentate_all_wrong
tmqm_713,L1,2,0,bidentate_all_wrong
tmqm_715,L2,2,0,bidentate_all_wrong
tmqm_729,L3,2,0,bidentate_all_wrong
tmqm_733,L1,2,0,bidentate_all_wrong
tmqm_735,L2,2,0,bidentate_all_wrong
tmqm_739,L4,2,0,bidentate_all_wrong
tmqm_755,L3,2,0,bidentate_all_wrong
tmqm_759,L4,2,0,bidentate_all_wrong
tmqm_773,L1,2,0,bidentate_all_wrong
tmqm_774,L1,2,0,bidentate_all_wrong
tmqm_775,L1,2,0,bidentate_all_wrong
tmqm_777,L2,2,0,bidentate_all_wrong
tmqm_781,L1,2,0,bidentate_all_wrong
tmqm_786,L1,2,0,bidentate_all_wrong
tmqm_808,L1,2,0,bidentate_all_wrong
tmqm_818,L1,2,0,bidentate_all_wrong
tmqm_819,L3,2,0,bidentate_all_wrong
tmqm_830,L1,2,0,bidentate_all_wrong
tmqm_850,L1,2,0,bidentate_all_wrong
tmqm_858,L1,2,0,bidentate_all_wrong
tmqm_870,L2,2,0,bidentate_all_wrong
tmqm_893,L2,2,0,bidentate_all_wrong
