complex_id,metal,CN,metal_row,ranker_base_top1,ranker_base_mrr,ranker_base_win_rate,minphys_only_top1,minphys_only_mrr,minphys_only_win_rate,ranker_minphys_top1,ranker_minphys_mrr,ranker_minphys_win_rate,shuffled_minphys_top1,shuffled_minphys_mrr,shuffled_minphys_win_rate
tmqm_3817,Tc,6,4d,0,0.1667,0.7059,0,0.0769,0.2941,0,0.1429,0.6471,0,0.1429,0.6471
tmqm_900,Hf,7,5d,0,0.0769,0.2,0,0.0625,0.0,0,0.0667,0.0667,0,0.0714,0.1333
tmqm_2298,W,7,5d,0,0.3333,0.8571,0,0.0769,0.1429,0,0.1429,0.5714,0,0.1429,0.5714
tmqm_4054,Tc,8,4d,0,0.1429,0.6471,0,0.0588,0.0588,0,0.1429,0.6471,0,0.125,0.5882
tmqm_4509,Mn,5,3d,0,0.1429,0.6471,0,0.0714,0.2353,0,0.1111,0.5294,0,0.2,0.7647
tmqm_9902,Co,5,3d,0,0.0714,0.0714,0,0.0909,0.2857,0,0.0714,0.0714,0,0.0714,0.0714
tmqm_1775,Ta,8,5d,0,0.1,0.4,0,0.0833,0.2667,0,0.0909,0.3333,0,0.1111,0.4667
tmqm_6320,Fe,6,3d,0,0.1429,0.6471,0,0.0588,0.0588,0,0.1667,0.7059,0,0.1429,0.6471
tmqm_2390,W,7,5d,0,0.1111,0.5294,0,0.0714,0.2353,0,0.1667,0.7059,0,0.1111,0.5294
tmqm_5783,Os,8,5d,0,0.1,0.3571,0,0.0833,0.2143,0,0.1429,0.5714,0,0.1111,0.4286
tmqm_74,Sc,7,3d,0,0.2,0.7143,0,0.0667,0.0,0,0.1429,0.5714,0,0.1667,0.6429
tmqm_3675,Mn,8,3d,0,0.1429,0.6471,0,0.0556,0.0,0,0.1429,0.6471,0,0.1111,0.5294
tmqm_1994,W,6,5d,0,0.0769,0.1429,0,0.0833,0.2143,0,0.1111,0.4286,0,0.1111,0.4286
tmqm_1654,V,11,3d,0,0.0833,0.3125,0,0.0714,0.1875,0,0.0833,0.3125,0,0.1111,0.5
tmqm_98,Y,4,4d,0,0.1429,0.5714,0,0.0909,0.2857,0,0.1,0.3571,0,0.1429,0.5714
