metric,value
boundary_hard_minphys_only_auroc,0.5
boundary_hard_ranker_base_auroc,0.6979
boundary_hard_ranker_minphys_auroc,0.7039
boundary_hard_shuffled_minphys_auroc,0.6968
co_ligand_hard_minphys_only_auroc,0.5894
co_ligand_hard_ranker_base_auroc,0.5555
co_ligand_hard_ranker_minphys_auroc,0.5504
co_ligand_hard_shuffled_minphys_auroc,0.5528
ligand_hard_minphys_only_auroc,0.5644
ligand_hard_ranker_base_auroc,0.6557
ligand_hard_ranker_minphys_auroc,0.6636
ligand_hard_shuffled_minphys_auroc,0.6561
metal_hard_minphys_only_auroc,0.5
metal_hard_ranker_base_auroc,0.7922
metal_hard_ranker_minphys_auroc,0.8013
metal_hard_shuffled_minphys_auroc,0.7923
minphys_only_auroc,0.5406
minphys_only_mrr,0.1028
minphys_only_top1,0.0313
minphys_only_win_rate,0.1884
n_decoys_per,20
n_test,1501
ranker_base_auroc,0.6967
ranker_base_mrr,0.3353
ranker_base_top1,0.1286
ranker_base_win_rate,0.7452
ranker_minphys_auroc,0.7009
ranker_minphys_mrr,0.3328
ranker_minphys_top1,0.1233
ranker_minphys_win_rate,0.7454
shuffled_minphys_auroc,0.6957
shuffled_minphys_mrr,0.3314
shuffled_minphys_top1,0.1206
shuffled_minphys_win_rate,0.7455
stereo_hard_minphys_only_auroc,0.5
stereo_hard_ranker_base_auroc,0.9475
stereo_hard_ranker_minphys_auroc,0.943
stereo_hard_shuffled_minphys_auroc,0.938
