ablation_mode,CN,n,top1_acc,top5_acc,mrr,mean_nll
full_context,1,8,0.875,0.875,0.8875,1.4178
full_context,10,958,0.8445,0.9833,0.9023,0.52
full_context,11,310,0.8355,0.9806,0.8977,0.6258
full_context,12,620,0.8645,0.9839,0.9136,0.4957
full_context,13,124,0.8952,0.9919,0.9345,0.344
full_context,14,120,0.825,0.9833,0.8884,0.58
full_context,15,22,0.7273,1.0,0.8371,0.7274
full_context,16,4,0.75,0.75,0.7778,0.9651
full_context,2,74,0.8649,1.0,0.9261,0.3733
full_context,3,260,0.8808,0.9885,0.926,0.3767
full_context,4,1168,0.8622,0.9854,0.9155,0.4574
full_context,5,1980,0.8636,0.9803,0.9136,0.4561
full_context,6,5986,0.8633,0.9821,0.9142,0.4905
full_context,7,2642,0.8543,0.9826,0.9107,0.5192
full_context,8,3614,0.8426,0.9773,0.9015,0.5776
full_context,9,2102,0.8635,0.98,0.9158,0.5037
no_ligand_smiles_keep_length,1,8,0.625,1.0,0.7917,1.494
no_ligand_smiles_keep_length,10,958,0.6169,0.8236,0.721,2.2146
no_ligand_smiles_keep_length,11,310,0.6065,0.8032,0.709,2.6858
no_ligand_smiles_keep_length,12,620,0.6274,0.8435,0.7359,2.3937
no_ligand_smiles_keep_length,13,124,0.6452,0.8226,0.7343,2.7674
no_ligand_smiles_keep_length,14,120,0.6167,0.7917,0.7165,2.1055
no_ligand_smiles_keep_length,15,22,0.5909,0.7727,0.6932,2.2395
no_ligand_smiles_keep_length,16,4,0.5,0.75,0.6528,2.1275
no_ligand_smiles_keep_length,2,74,0.5811,0.9459,0.7267,2.1022
no_ligand_smiles_keep_length,3,260,0.7,0.8808,0.7907,2.5888
no_ligand_smiles_keep_length,4,1168,0.6147,0.8553,0.7267,2.715
no_ligand_smiles_keep_length,5,1978,0.6239,0.8423,0.7277,2.8754
no_ligand_smiles_keep_length,6,5982,0.5873,0.8333,0.709,2.502
no_ligand_smiles_keep_length,7,2640,0.6121,0.8322,0.7226,2.5128
no_ligand_smiles_keep_length,8,3614,0.622,0.8315,0.7266,2.5443
no_ligand_smiles_keep_length,9,2102,0.6546,0.8554,0.7531,2.2165
no_ligand_smiles_collapsed,1,8,0.0,1.0,0.3542,3.4348
no_ligand_smiles_collapsed,10,958,0.5929,0.9342,0.7265,2.0295
no_ligand_smiles_collapsed,11,310,0.6452,0.9161,0.754,1.8119
no_ligand_smiles_collapsed,12,620,0.7226,0.8968,0.8065,1.6337
no_ligand_smiles_collapsed,13,124,0.7581,0.9355,0.8321,1.5
no_ligand_smiles_collapsed,14,120,0.75,0.9917,0.8346,0.9815
no_ligand_smiles_collapsed,15,22,0.3636,0.9091,0.6193,2.2747
no_ligand_smiles_collapsed,16,4,0.75,1.0,0.875,0.6484
no_ligand_smiles_collapsed,2,74,0.3514,0.7703,0.5213,4.488
no_ligand_smiles_collapsed,3,260,0.4385,0.8231,0.5819,3.819
no_ligand_smiles_collapsed,4,1168,0.3793,0.792,0.5459,3.971
no_ligand_smiles_collapsed,5,1980,0.4328,0.8207,0.5921,3.6125
no_ligand_smiles_collapsed,6,5986,0.5997,0.9014,0.721,2.2291
no_ligand_smiles_collapsed,7,2642,0.6718,0.916,0.7768,1.8942
no_ligand_smiles_collapsed,8,3614,0.6317,0.9344,0.7516,2.1299
no_ligand_smiles_collapsed,9,2102,0.6613,0.9486,0.7821,1.8875
no_geometry_stereo,1,8,0.875,0.875,0.8875,1.4178
no_geometry_stereo,10,958,0.8424,0.9833,0.901,0.5296
no_geometry_stereo,11,310,0.829,0.9806,0.8939,0.672
no_geometry_stereo,12,620,0.8645,0.9839,0.9126,0.5003
no_geometry_stereo,13,124,0.8952,0.9919,0.9325,0.3515
no_geometry_stereo,14,120,0.825,0.9833,0.8906,0.587
no_geometry_stereo,15,22,0.7727,1.0,0.8523,0.7304
no_geometry_stereo,16,4,0.75,0.75,0.7778,1.0276
no_geometry_stereo,2,74,0.8514,1.0,0.9194,0.3245
no_geometry_stereo,3,260,0.8808,0.9885,0.9265,0.376
no_geometry_stereo,4,1168,0.8587,0.9854,0.914,0.4565
no_geometry_stereo,5,1980,0.8611,0.9808,0.9128,0.4572
no_geometry_stereo,6,5986,0.8598,0.9821,0.9123,0.4998
no_geometry_stereo,7,2642,0.8524,0.9822,0.9101,0.5256
no_geometry_stereo,8,3614,0.8409,0.9776,0.9001,0.5878
no_geometry_stereo,9,2102,0.8625,0.98,0.9153,0.5113
metal_cn_only,1,8,0.625,1.0,0.7917,1.494
metal_cn_only,10,958,0.6127,0.8225,0.7177,2.2012
metal_cn_only,11,310,0.6065,0.8032,0.7081,2.6705
metal_cn_only,12,620,0.6194,0.8371,0.7269,2.3735
metal_cn_only,13,124,0.6532,0.8226,0.7348,2.6693
metal_cn_only,14,120,0.6667,0.7917,0.7422,2.123
metal_cn_only,15,22,0.4545,0.7727,0.6242,2.2289
metal_cn_only,16,4,0.25,0.75,0.5312,2.082
metal_cn_only,2,74,0.5811,0.8378,0.7052,2.2188
metal_cn_only,3,260,0.6808,0.8731,0.7746,2.6198
metal_cn_only,4,1168,0.5967,0.8399,0.7124,2.7562
metal_cn_only,5,1978,0.6031,0.8357,0.7146,2.892
metal_cn_only,6,5982,0.5602,0.8241,0.6889,2.5322
metal_cn_only,7,2640,0.5981,0.8288,0.7104,2.5506
metal_cn_only,8,3614,0.6173,0.8254,0.7203,2.5772
metal_cn_only,9,2102,0.6622,0.853,0.7554,2.221
shuffled_ligand_smiles_control,1,8,0.875,0.875,0.8875,1.4178
shuffled_ligand_smiles_control,10,958,0.2056,0.4833,0.3343,11.477
shuffled_ligand_smiles_control,11,310,0.2194,0.5065,0.3465,10.7575
shuffled_ligand_smiles_control,12,620,0.2339,0.4855,0.3566,10.876
shuffled_ligand_smiles_control,13,124,0.2258,0.5161,0.363,10.7404
shuffled_ligand_smiles_control,14,120,0.2583,0.5583,0.3796,10.4345
shuffled_ligand_smiles_control,15,22,0.5,0.7727,0.6199,5.1673
shuffled_ligand_smiles_control,16,4,0.25,0.25,0.309,11.9282
shuffled_ligand_smiles_control,2,74,0.2838,0.5541,0.3984,11.2957
shuffled_ligand_smiles_control,3,260,0.3154,0.5115,0.4115,10.2383
shuffled_ligand_smiles_control,4,1168,0.2209,0.4503,0.3324,11.7315
shuffled_ligand_smiles_control,5,1980,0.2126,0.4485,0.3306,11.8199
shuffled_ligand_smiles_control,6,5986,0.2315,0.4823,0.351,11.0616
shuffled_ligand_smiles_control,7,2642,0.2123,0.4955,0.3426,11.4501
shuffled_ligand_smiles_control,8,3614,0.1954,0.464,0.3229,11.6749
shuffled_ligand_smiles_control,9,2102,0.186,0.4543,0.3073,12.2674
