ablation_mode,donor_element,n,top1_acc,top5_acc,mrr,mean_nll
full_context,C,16031,0.9506,0.9875,0.967,0.2248
full_context,N,1586,0.2957,0.9729,0.6,1.9954
full_context,O,1579,0.6257,0.9633,0.7623,1.2019
full_context,P,290,0.4793,0.9138,0.6613,2.1352
full_context,S,223,0.3274,0.8475,0.5085,2.8813
full_context,halide,283,0.8021,0.9576,0.8718,0.816
no_ligand_smiles_keep_length,C,16024,0.7557,0.9983,0.8651,1.3553
no_ligand_smiles_keep_length,N,1586,0.0,0.0467,0.1003,4.2549
no_ligand_smiles_keep_length,O,1578,0.1033,0.4151,0.2807,3.333
no_ligand_smiles_keep_length,P,290,0.0,0.0,0.0002,22.9788
no_ligand_smiles_keep_length,S,223,0.0,0.0045,0.009,20.3918
no_ligand_smiles_keep_length,halide,283,0.0,0.0283,0.0244,18.7602
no_ligand_smiles_collapsed,C,16031,0.7368,0.9501,0.8252,1.4677
no_ligand_smiles_collapsed,N,1586,0.0385,0.8789,0.394,3.4238
no_ligand_smiles_collapsed,O,1579,0.0108,0.8613,0.3047,4.0445
no_ligand_smiles_collapsed,P,290,0.0,0.0,0.0057,21.923
no_ligand_smiles_collapsed,S,223,0.0,0.1031,0.1161,9.0225
no_ligand_smiles_collapsed,halide,283,0.0,0.0071,0.0645,11.7184
no_geometry_stereo,C,16031,0.9499,0.9878,0.9669,0.2218
no_geometry_stereo,N,1586,0.2812,0.9716,0.5901,2.0575
no_geometry_stereo,O,1579,0.6213,0.9614,0.7596,1.2425
no_geometry_stereo,P,290,0.4621,0.9138,0.6516,2.2084
no_geometry_stereo,S,223,0.3274,0.852,0.5067,2.9597
no_geometry_stereo,halide,283,0.7986,0.9576,0.8713,0.8142
metal_cn_only,C,16024,0.7456,0.9944,0.8581,1.3749
metal_cn_only,N,1586,0.0,0.0416,0.101,4.2311
metal_cn_only,O,1578,0.033,0.3739,0.2074,3.614
metal_cn_only,P,290,0.0,0.0,0.0002,22.9781
metal_cn_only,S,223,0.0,0.0045,0.0098,20.0981
metal_cn_only,halide,283,0.0,0.0247,0.0256,18.0956
shuffled_ligand_smiles_control,C,16031,0.2455,0.4595,0.3493,11.3772
shuffled_ligand_smiles_control,N,1586,0.0385,0.5599,0.2642,11.5351
shuffled_ligand_smiles_control,O,1579,0.1545,0.6029,0.3592,10.6492
shuffled_ligand_smiles_control,P,290,0.0621,0.3552,0.1947,14.3414
shuffled_ligand_smiles_control,S,223,0.0762,0.4753,0.2612,12.0804
shuffled_ligand_smiles_control,halide,283,0.1378,0.2721,0.2093,15.9981
