ablation_mode,complex_id,ligand_id,denticity,n_donors,all_correct_top1
full_context,tmqm_0,L2,dent=2,2,1
full_context,tmqm_1,L1,dent=2,2,0
full_context,tmqm_2,L2,dent=2,2,0
full_context,tmqm_3,L3,dent=1,1,0
full_context,tmqm_3,L2,dent=1,1,0
full_context,tmqm_4,L3,dent=1,1,0
full_context,tmqm_4,L1,dent=1,1,1
full_context,tmqm_5,L3,dent=1,1,0
full_context,tmqm_5,L1,dent=1,1,1
full_context,tmqm_6,L3,dent=1,1,1
full_context,tmqm_6,L1,dent=1,1,1
full_context,tmqm_7,L1,dent=2,2,1
full_context,tmqm_8,L1,dent=2,2,1
full_context,tmqm_9,L2,dent=2,2,1
full_context,tmqm_10,L4,dent=1,1,1
full_context,tmqm_10,L3,dent=1,1,1
full_context,tmqm_11,L3,dent=1,1,1
full_context,tmqm_11,L1,dent=1,1,0
full_context,tmqm_12,L1,dent=2,2,1
full_context,tmqm_13,L1,dent=1,1,1
full_context,tmqm_13,L2,dent=1,1,0
full_context,tmqm_14,L4,dent=2,2,1
full_context,tmqm_15,L2,dent=1,1,0
full_context,tmqm_15,L4,dent=1,1,1
full_context,tmqm_16,L5,dent=1,1,1
full_context,tmqm_16,L4,dent=1,1,1
full_context,tmqm_17,L4,dent=2,2,1
full_context,tmqm_18,L1,dent=1,1,1
full_context,tmqm_18,L3,dent=1,1,1
full_context,tmqm_19,L2,dent=2,2,1
full_context,tmqm_20,L3,dent=1,1,1
full_context,tmqm_20,L2,dent=1,1,0
full_context,tmqm_21,L1,dent=1,1,1
full_context,tmqm_21,L3,dent=1,1,1
full_context,tmqm_22,L4,dent=1,1,1
full_context,tmqm_22,L1,dent=1,1,0
full_context,tmqm_23,L1,dent=1,1,0
full_context,tmqm_23,L3,dent=1,1,1
full_context,tmqm_24,L3,dent=1,1,1
full_context,tmqm_24,L2,dent=1,1,0
full_context,tmqm_25,L1,dent=1,1,1
full_context,tmqm_25,L2,dent=1,1,1
full_context,tmqm_26,L1,dent=2,2,1
full_context,tmqm_27,L4,dent=1,1,1
full_context,tmqm_27,L2,dent=1,1,0
full_context,tmqm_28,L2,dent=1,1,0
full_context,tmqm_28,L1,dent=1,1,1
full_context,tmqm_29,L1,dent=1,1,1
full_context,tmqm_29,L2,dent=1,1,1
full_context,tmqm_30,L2,dent=2,2,1
full_context,tmqm_31,L2,dent=1,1,1
full_context,tmqm_31,L4,dent=1,1,0
