dataset,method,corruption_type,n,valid_before,valid_after,strict_valid_after,exact_match,valid_rate_after,strict_valid_rate,exact_rate,field_match_rate
synthetic,corrupted_only,delimiter_mismatch,400,387,387,326,0,0.9675,0.815,0.0,0.865
synthetic,corrupted_only,missing_bracket,400,0,0,0,0,0.0,0.0,0.0,0.8362
synthetic,corrupted_only,missing_charge,400,387,387,387,0,0.9675,0.9675,0.0,0.8333
synthetic,corrupted_only,token_swap,400,97,97,97,0,0.2425,0.2425,0.0,0.8333
synthetic,corrupted_only,truncation,400,147,147,147,0,0.3675,0.3675,0.0,0.8333
synthetic,rule_only,delimiter_mismatch,400,387,400,400,172,1.0,1.0,0.43,0.9337
synthetic,rule_only,missing_bracket,400,0,399,399,0,0.9975,0.9975,0.0,0.8362
synthetic,rule_only,missing_charge,400,387,400,400,0,1.0,1.0,0.0,0.8279
synthetic,rule_only,token_swap,400,97,396,396,75,0.99,0.99,0.1875,0.8646
synthetic,rule_only,truncation,400,147,400,400,0,1.0,1.0,0.0,0.8333
synthetic,edit_distance,delimiter_mismatch,400,387,400,400,172,1.0,1.0,0.43,0.9337
synthetic,edit_distance,missing_bracket,400,0,400,400,0,1.0,1.0,0.0,0.8362
synthetic,edit_distance,missing_charge,400,387,400,400,0,1.0,1.0,0.0,0.8279
synthetic,edit_distance,token_swap,400,97,400,400,75,1.0,1.0,0.1875,0.8646
synthetic,edit_distance,truncation,400,147,400,400,0,1.0,1.0,0.0,0.8333
synthetic,char_bigram,delimiter_mismatch,400,387,400,400,172,1.0,1.0,0.43,0.9337
synthetic,char_bigram,missing_bracket,400,0,400,400,0,1.0,1.0,0.0,0.8362
synthetic,char_bigram,missing_charge,400,387,400,400,0,1.0,1.0,0.0,0.8279
synthetic,char_bigram,token_swap,400,97,400,400,75,1.0,1.0,0.1875,0.8646
synthetic,char_bigram,truncation,400,147,400,400,0,1.0,1.0,0.0,0.8333
synthetic,coordrep_mlm,delimiter_mismatch,100,98,99,86,0,0.99,0.86,0.0,0.865
synthetic,coordrep_mlm,missing_bracket,100,0,90,90,0,0.9,0.9,0.0,0.35
synthetic,coordrep_mlm,missing_charge,100,93,97,97,0,0.97,0.97,0.0,0.7933
synthetic,coordrep_mlm,token_swap,100,23,24,24,0,0.24,0.24,0.0,0.4583
synthetic,coordrep_mlm,truncation,100,37,69,69,0,0.69,0.69,0.0,0.5283
csd_transfer,corrupted_only,delimiter_mismatch,521,521,521,455,0,1.0,0.8733,0.0,0.8816
csd_transfer,corrupted_only,missing_bracket,491,0,0,0,0,0.0,0.0,0.0,0.8381
csd_transfer,corrupted_only,missing_charge,258,258,258,258,0,1.0,1.0,0.0,0.8333
csd_transfer,corrupted_only,token_swap,174,119,119,114,0,0.6839,0.6552,0.0,0.8372
csd_transfer,corrupted_only,truncation,432,164,164,164,0,0.3796,0.3796,0.0,0.8353
csd_transfer,rule_only,delimiter_mismatch,521,521,521,521,179,1.0,1.0,0.3436,0.9389
csd_transfer,rule_only,missing_bracket,491,0,491,491,0,1.0,1.0,0.0,0.8381
csd_transfer,rule_only,missing_charge,258,258,258,258,254,1.0,1.0,0.9845,0.9974
csd_transfer,rule_only,token_swap,174,119,174,169,28,1.0,0.9713,0.1609,0.864
csd_transfer,rule_only,truncation,432,164,432,432,0,1.0,1.0,0.0,0.8372
csd_transfer,edit_distance,delimiter_mismatch,521,521,521,521,179,1.0,1.0,0.3436,0.9389
csd_transfer,edit_distance,missing_bracket,491,0,491,491,0,1.0,1.0,0.0,0.8381
csd_transfer,edit_distance,missing_charge,258,258,258,258,254,1.0,1.0,0.9845,0.9974
csd_transfer,edit_distance,token_swap,174,119,174,169,28,1.0,0.9713,0.1609,0.864
csd_transfer,edit_distance,truncation,432,164,432,432,0,1.0,1.0,0.0,0.8372
csd_transfer,char_bigram,delimiter_mismatch,521,521,521,521,179,1.0,1.0,0.3436,0.9389
csd_transfer,char_bigram,missing_bracket,491,0,491,491,0,1.0,1.0,0.0,0.8381
csd_transfer,char_bigram,missing_charge,258,258,258,258,254,1.0,1.0,0.9845,0.9974
csd_transfer,char_bigram,token_swap,174,119,174,169,28,1.0,0.9713,0.1609,0.864
csd_transfer,char_bigram,truncation,432,164,432,432,0,1.0,1.0,0.0,0.8372
csd_transfer,coordrep_mlm,delimiter_mismatch,100,100,100,86,0,1.0,0.86,0.0,0.88
csd_transfer,coordrep_mlm,missing_bracket,100,0,91,91,0,0.91,0.91,0.0,0.23
csd_transfer,coordrep_mlm,missing_charge,100,100,100,100,0,1.0,1.0,0.0,0.8333
csd_transfer,coordrep_mlm,token_swap,100,70,70,68,0,0.7,0.68,0.0,0.6583
csd_transfer,coordrep_mlm,truncation,100,31,65,65,0,0.65,0.65,0.0,0.43
