refcode,metal,oxidation_state,d_count,donor_set,denticity_pattern,S_TBPY,S_SPY,log_S_TBPY,log_S_SPY,boundary_delta,path_coordinate,boundary_coordinate,L0_hash,L1_hash,L3_hash
ABAHUH,Co,+2,d7,,,0.6200,1.0600,-0.2076,0.0253,0.4400,0.3690,0.2619,907983214727,880215105318,334544698987
ABAJAP,Ni,+2,d8,,,7.8300,9.0300,0.8938,0.9557,1.2000,0.4644,0.0712,316379146172,580245323523,853837277625
ABAJET,Zn,+2,d10,,,3.6800,5.7700,0.5658,0.7612,2.0900,0.3894,0.2212,833021365497,704995646141,248128825730
ABAJIX,Co,+3,d6,N,2,4.3300,11.2800,0.6365,1.0523,6.9500,0.2774,0.4452,456827705001,694865383525,866350500147
ABAKOE,W,,,"Cl,N",1-1,0.4200,0.8100,-0.3768,-0.0915,0.3900,0.3415,0.3171,452666335721,942420813,359870830644
ABAMOJ,Cu,+2,d9,"N,O",2,0.7300,5.4400,-0.1367,0.7356,4.7100,0.1183,0.7634,368550253593,82618035347,816839424649
ABAMUO,Cu,+2,d9,"N,O",3-1,4.6900,5.9400,0.6712,0.7738,1.2500,0.4412,0.1176,952860967817,171655486323,171907245127
ABAMUP,Cu,+2,d9,"Br,N",1-1,1.1000,5.7300,0.0414,0.7582,4.6300,0.1611,0.6779,475823338073,539506391804,179269066267
ABARON,Co,+2,d7,,,0.7400,4.8800,-0.1308,0.6884,4.1400,0.1317,0.7367,222636258229,161666099062,995249886171
ABASAA,Zn,+2,d10,,,6.0600,7.0700,0.7825,0.8494,1.0100,0.4615,0.0769,616611287578,691661034630,685806322235
ABEGOG,Zn,+2,d10,O,1-1,0.0800,0.7400,-1.0969,-0.1308,0.6600,0.0976,0.8049,550167419711,675169604111,995992391440
ABEJAS,Rh,+3,d6,"C,I",1-1,8.8100,11.6200,0.9450,1.0652,2.8100,0.4312,0.1375,795632390135,945217627325,571780098059
ABEJUM01,Ru,+2,d6,"C,O",1-1,0.3000,1.9500,-0.5229,0.2900,1.6500,0.1333,0.7333,14771359859,76677228289,578267127252
ABENAW01,Zr,,,"C,N",1-1,0.6200,0.8800,-0.2076,-0.0555,0.2600,0.4133,0.1733,880411363051,844323725497,153228430539
ABERUW,Ti,,,,,11.9000,6.6500,1.0755,0.8228,5.2500,0.6415,0.2830,200524351364,129934335309,934537983297
ABEWIQ,Fe,+2,d6,"N,O",1-1,0.1600,1.1700,-0.7959,0.0682,1.0100,0.1203,0.7594,200568003789,52244344353,107705744469
ABEYIQ,Zr,,,,,0.5100,5.5000,-0.2924,0.7404,4.9900,0.0849,0.8303,793910587077,91289561321,508641765153
ABEZAJ,Ti,,,,,7.1100,8.6300,0.8519,0.9360,1.5200,0.4517,0.0966,12168138539,13138381379,151584853680
ABIJEB,Fe,+2,d6,,,7.3500,9.3900,0.8663,0.9727,2.0400,0.4391,0.1219,29746121976,448276397697,877695524785
ABILUW,Mo,,,C,1-1-1-1,0.0700,1.2200,-1.1549,0.0864,1.1500,0.0543,0.8915,824148823644,663746761228,593512195708
ABIWUH,Hg,,,,,6.2100,6.7700,0.7931,0.8306,0.5600,0.4784,0.0431,874186366748,304126333445,922750213300
