region,feature,value,count_in_region,n_region,fraction_in_region,fraction_overall,odds_ratio
low distortion,d_count,d9,1514,10060,0.1505,0.0586,5.907
low distortion,metal,Cu,1514,10060,0.1505,0.0586,5.907
low distortion,denticity_pattern,2-2-1-1,3127,10060,0.3108,0.1311,5.696
low distortion,has_stereo,True,9870,10060,0.9811,0.9367,4.369
low distortion,metal_row,4,7734,10060,0.7688,0.5425,3.752
low distortion,denticity_pattern,1-1-1-1-1-1,3974,10060,0.395,0.2106,3.663
low distortion,donor_set,Cl,167,10060,0.0166,0.0078,3.416
low distortion,donor_set,"N,O",3853,10060,0.383,0.2162,3.197
low distortion,denticity_pattern,3-3,673,10060,0.0669,0.0348,2.852
low distortion,metal,Co,1597,10060,0.1587,0.0873,2.743
low distortion,donor_set,O,1481,10060,0.1472,0.0815,2.687
low distortion,metal,Cd,436,10060,0.0433,0.0248,2.36
low distortion,d_count,d10,856,10060,0.0851,0.0495,2.351
low distortion,metal,Zn,856,10060,0.0851,0.0495,2.351
high JT proxy,has_stereo,False,1889,22521,0.0839,0.0633,2.271
low distortion,d_count,d8,1628,10060,0.1618,0.099,2.258
low distortion,metal,Ni,1628,10060,0.1618,0.099,2.258
low distortion,oxidation_state,+3,1654,10060,0.1644,0.1021,2.198
low distortion,oxidation_state,+2,5486,10060,0.5453,0.4131,2.037
high JT proxy,denticity_pattern,2-2-2,2157,22521,0.0958,0.0753,1.977
high JT proxy,donor_set,"C,Cl,N",531,22521,0.0236,0.019,1.762
high JT proxy,denticity_pattern,2-1-1-1-1,3067,22521,0.1362,0.113,1.691
high JT proxy,denticity_pattern,1-1,3130,22521,0.139,0.1156,1.68
high JT proxy,metal,Mo,1583,22521,0.0703,0.0579,1.678
high JT proxy,metal,Ir,1200,22521,0.0533,0.0444,1.605
high JT proxy,donor_set,"C,N",1675,22521,0.0744,0.0622,1.603
Oh/TPr boundary,denticity_pattern,2-1-1,549,8800,0.0624,0.0449,1.591
high JT proxy,denticity_pattern,3-1-1-1,1152,22521,0.0512,0.0428,1.591
high JT proxy,metal_row,6,5834,22521,0.259,0.2248,1.552
high JT proxy,donor_set,"C,P",910,22521,0.0404,0.0341,1.543
high JT proxy,denticity_pattern,1-1-1-1,1776,22521,0.0789,0.0671,1.531
high JT proxy,denticity_pattern,2-1-1,1191,22521,0.0529,0.0449,1.525
Oh/TPr boundary,donor_set,"C,N,O",330,8800,0.0375,0.0276,1.522
Oh/TPr boundary,denticity_pattern,2-1-1-1-1,1309,8800,0.1487,0.113,1.517
Oh/TPr boundary,metal,Re,929,8800,0.1056,0.0793,1.517
high JT proxy,metal,W,1228,22521,0.0545,0.0466,1.498
high JT proxy,metal_row,5,5968,22521,0.265,0.2327,1.496
Oh/TPr boundary,metal_row,6,2492,8800,0.2832,0.2248,1.495
