panel,key,label,value,denominator,unit,source_file
A,all_csd,All current CSD entries,1371757,,entries,corrected_csd_strict_full_application_v4_hapticityfix/conversion_funnel_public.csv
A,tm_3d,3D entries with predefined transition-metal element,602116,,entries,corrected_csd_strict_full_application_v4_hapticityfix/conversion_funnel_public.csv
A,strict_core,Conservative mononuclear eta1 core,101878,,entries,corrected_csd_strict_full_application_v4_hapticityfix/SUMMARY.json
A,ligand_topology,CSD bond-topology ligand tier,84453,,entries,corrected_csd_strict_full_application_v4_hapticityfix/SUMMARY.json
A,linked,Linked multimetal candidate records,52760,,entries,current_csd_v2_safe_claims_20260723_v1/scope_counts_public.csv
A,haptic,Haptic or pi candidate records,38203,,entries,current_csd_v2_safe_claims_20260723_v1/scope_counts_public.csv
B,UCIVOT_SPY,UCIVOT CShM SPY,0.303096844743034,,CShM,corrected_csd_strict_full_application_v4_hapticityfix/candidate_casebook_internal_licensed.csv
B,UCIVOT_TBP,UCIVOT CShM TBP,5.054018676905062,,CShM,derived as best_cshm plus shape_margin from candidate_casebook_internal_licensed.csv
B,UCIVUZ_SPY,UCIVUZ CShM SPY,3.795194827431067,,CShM,derived as best_cshm plus shape_margin from candidate_casebook_internal_licensed.csv
B,UCIVUZ_TBP,UCIVUZ CShM TBP,0.490697781559668,,CShM,corrected_csd_strict_full_application_v4_hapticityfix/candidate_casebook_internal_licensed.csv
C,screened_families,Geometry-free molecular families,69133,,families,corrected_csd_strict_full_application_v4_hapticityfix/same_connectivity_application_public.csv
C,clear_families,Clear geometry-diverse families,48,,families,corrected_csd_strict_full_application_v4_hapticityfix/same_connectivity_application_public.csv
C,structures,Structures in clear geometry-diverse families,609,,structures,corrected_csd_strict_full_application_v4_hapticityfix/same_connectivity_application_public.csv
C,SP_Td,Square-planar versus tetrahedral families,22,,families,corrected_csd_strict_full_application_v4_hapticityfix/shape_transition_groups_public.csv
C,SPY_TBP,Square-pyramidal versus trigonal-bipyramidal families,21,,families,corrected_csd_strict_full_application_v4_hapticityfix/shape_transition_groups_public.csv
C,Oh_TPr,Octahedral versus trigonal-prismatic families,5,,families,corrected_csd_strict_full_application_v4_hapticityfix/shape_transition_groups_public.csv
D,parent_sample_n,Predefined parent sample size per domain,400,,records,current_csd_v2_safe_claims_20260723_v1/four_gate_validation_public.csv
D,linked_numerator,Linked multimetal topology recovered,218,218,records,current_csd_v2_safe_claims_20260723_v1/four_gate_validation_public.csv
D,linked_denominator,Linked multimetal topology denominator,218,,records,current_csd_v2_safe_claims_20260723_v1/four_gate_validation_public.csv
D,haptic_numerator,Haptic or pi topology recovered,398,398,records,current_csd_v2_safe_claims_20260723_v1/four_gate_validation_public.csv
D,haptic_denominator,Haptic or pi topology denominator,398,,records,current_csd_v2_safe_claims_20260723_v1/four_gate_validation_public.csv
