panel,metric,numerator,denominator,percent,note
C,processing success,15905,15906,99.9937,CSD MOF entries
C,state-bearing entries,10948,15906,68.8294,CSD MOF entries
C,entries with >=1 nonzero-translation site,9805,10948,89.5597,state-bearing entries
C,states with nonzero translation edge,74354,172332,43.1458,local metal states
C,unique metric IDs,36552,172332,21.2102,identity diversity
C,unique stereo IDs,60139,172332,34.8972,identity diversity
D,entry-state multiset retained,400,400,100.0,compound gauge rewrite
D,local metric identity retained,5920,5920,100.0,compound gauge rewrite
D,local stereo identity retained,5920,5920,100.0,det(U)=+1 basis rewrite
D,reflected-basis metric identity retained,50,50,100.0,det(U)=-1 basis rewrite
