S_Oh_bin_center,S_TPr_bin_center,count
-0.00000001,15.00000000,1
-0.00000001,15.60000000,8
-0.00000001,16.20000000,30
-0.00000001,16.80000000,19
0.18518518,13.80000000,1
0.18518518,14.40000000,4
0.18518518,15.00000000,32
0.18518518,15.60000000,44
0.18518518,16.20000000,46
0.18518518,16.80000000,3
0.37037037,13.20000000,2
0.37037037,13.80000000,8
0.37037037,14.40000000,29
0.37037037,15.00000000,46
0.37037037,15.60000000,53
0.37037037,16.20000000,30
0.37037037,16.80000000,12
0.55555555,11.40000000,1
0.55555555,12.00000000,1
0.55555555,12.60000000,3
0.55555555,13.20000000,6
0.55555555,13.80000000,14
0.55555555,14.40000000,17
0.55555555,15.00000000,50
0.55555555,15.60000000,57
0.55555555,16.20000000,34
0.55555555,16.80000000,15
0.74074074,12.00000000,2
0.74074074,12.60000000,7
0.74074074,13.20000000,4
0.74074074,13.80000000,19
0.74074074,14.40000000,51
0.74074074,15.00000000,64
0.74074074,15.60000000,47
0.74074074,16.20000000,40
0.74074074,16.80000000,20
0.74074074,17.40000000,3
0.92592592,11.40000000,2
0.92592592,12.60000000,10
0.92592592,13.20000000,18
0.92592592,13.80000000,27
0.92592592,14.40000000,57
0.92592592,15.00000000,93
0.92592592,15.60000000,63
0.92592592,16.20000000,33
0.92592592,16.80000000,11
0.92592592,17.40000000,3
1.11111111,10.20000000,1
1.11111111,12.00000000,2
1.11111111,12.60000000,1
1.11111111,13.20000000,25
1.11111111,13.80000000,43
1.11111111,14.40000000,76
1.11111111,15.00000000,87
1.11111111,15.60000000,50
1.11111111,16.20000000,30
1.11111111,16.80000000,15
1.11111111,17.40000000,1
1.29629629,10.80000000,1
1.29629629,11.40000000,2
1.29629629,12.00000000,5
1.29629629,12.60000000,10
1.29629629,13.20000000,19
1.29629629,13.80000000,27
1.29629629,14.40000000,33
1.29629629,15.00000000,47
1.29629629,15.60000000,31
1.29629629,16.20000000,17
1.29629629,16.80000000,6
1.29629629,17.40000000,1
1.48148148,9.00000000,1
1.48148148,11.40000000,1
1.48148148,12.00000000,5
1.48148148,12.60000000,14
1.48148148,13.20000000,26
1.48148148,13.80000000,22
1.48148148,14.40000000,21
1.48148148,15.00000000,15
1.48148148,15.60000000,14
1.48148148,16.20000000,6
1.48148148,16.80000000,2
1.48148148,17.40000000,1
1.66666667,10.20000000,2
1.66666667,11.40000000,1
1.66666667,12.00000000,12
1.66666667,12.60000000,11
1.66666667,13.20000000,18
1.66666667,13.80000000,18
1.66666667,14.40000000,16
1.66666667,15.00000000,16
1.66666667,15.60000000,3
1.66666667,16.20000000,5
1.66666667,16.80000000,3
1.66666667,17.40000000,1
1.85185185,9.60000000,1
1.85185185,11.40000000,2
1.85185185,12.00000000,7
1.85185185,12.60000000,10
1.85185185,13.20000000,27
1.85185185,13.80000000,25
1.85185185,14.40000000,17
1.85185185,15.00000000,3
1.85185185,15.60000000,1
1.85185185,16.20000000,5
2.03703704,10.20000000,2
2.03703704,10.80000000,1
2.03703704,11.40000000,3
2.03703704,12.00000000,1
2.03703704,12.60000000,4
2.03703704,13.20000000,17
2.03703704,13.80000000,13
2.03703704,14.40000000,8
2.03703704,15.00000000,2
2.03703704,15.60000000,3
2.03703704,16.20000000,1
2.03703704,16.80000000,1
2.22222222,10.20000000,3
2.22222222,10.80000000,2
2.22222222,11.40000000,1
2.22222222,12.00000000,3
2.22222222,12.60000000,5
2.22222222,13.20000000,5
2.22222222,13.80000000,1
2.22222222,14.40000000,5
2.22222222,15.00000000,3
2.22222222,15.60000000,2
2.22222222,16.80000000,1
2.22222222,17.40000000,1
2.40740741,10.80000000,2
2.40740741,11.40000000,2
2.40740741,12.00000000,8
2.40740741,12.60000000,4
2.40740741,13.20000000,2
2.40740741,14.40000000,2
2.40740741,15.00000000,1
2.40740741,15.60000000,4
2.40740741,16.20000000,1
2.40740741,17.40000000,2
2.40740741,18.00000000,2
2.59259259,10.20000000,2
2.59259259,10.80000000,1
2.59259259,11.40000000,8
2.59259259,12.00000000,10
2.59259259,12.60000000,2
2.59259259,13.80000000,1
2.59259259,14.40000000,1
2.59259259,15.00000000,2
2.59259259,15.60000000,1
2.59259259,16.80000000,3
2.77777778,10.20000000,3
2.77777778,10.80000000,2
2.77777778,11.40000000,10
2.77777778,12.00000000,9
2.77777778,13.20000000,1
2.77777778,15.00000000,1
2.77777778,15.60000000,2
2.77777778,17.40000000,1
2.96296296,9.60000000,2
2.96296296,10.20000000,2
2.96296296,10.80000000,2
2.96296296,12.00000000,2
2.96296296,12.60000000,1
3.14814815,10.20000000,2
3.14814815,10.80000000,1
3.14814815,12.00000000,1
3.14814815,12.60000000,1
3.14814815,14.40000000,2
3.14814815,15.00000000,1
3.14814815,15.60000000,1
3.33333334,9.60000000,1
3.33333334,10.20000000,2
3.33333334,12.00000000,1
3.51851852,9.60000000,2
3.51851852,12.00000000,1
3.70370371,9.60000000,2
3.70370371,10.20000000,1
3.70370371,11.40000000,1
4.25925926,9.60000000,2
4.81481482,9.60000000,1
0.09259259,14.70000000,4
0.09259259,15.30000000,29
0.09259259,15.90000000,37
0.09259259,16.50000000,40
0.27777777,13.50000000,2
0.27777777,14.10000000,6
0.27777777,14.70000000,20
0.27777777,15.30000000,46
0.27777777,15.90000000,46
0.27777777,16.50000000,22
0.27777777,17.10000000,1
0.46296296,12.90000000,2
0.46296296,13.50000000,4
0.46296296,14.10000000,18
0.46296296,14.70000000,25
0.46296296,15.30000000,48
0.46296296,15.90000000,49
0.46296296,16.50000000,17
0.46296296,17.10000000,11
0.64814814,11.70000000,1
0.64814814,12.30000000,1
0.64814814,12.90000000,4
0.64814814,13.50000000,10
0.64814814,14.10000000,17
0.64814814,14.70000000,39
0.64814814,15.30000000,52
0.64814814,15.90000000,50
0.64814814,16.50000000,27
0.64814814,17.10000000,5
0.83333333,12.90000000,7
0.83333333,13.50000000,21
0.83333333,14.10000000,39
0.83333333,14.70000000,59
0.83333333,15.30000000,83
0.83333333,15.90000000,60
0.83333333,16.50000000,24
0.83333333,17.10000000,9
1.01851852,11.10000000,3
1.01851852,11.70000000,1
1.01851852,12.90000000,10
1.01851852,13.50000000,22
1.01851852,14.10000000,59
1.01851852,14.70000000,78
1.01851852,15.30000000,85
1.01851852,15.90000000,39
1.01851852,16.50000000,28
1.01851852,17.10000000,5
1.20370370,9.90000000,1
1.20370370,11.70000000,1
1.20370370,12.30000000,5
1.20370370,12.90000000,19
1.20370370,13.50000000,33
1.20370370,14.10000000,50
1.20370370,14.70000000,40
1.20370370,15.30000000,51
1.20370370,15.90000000,36
1.20370370,16.50000000,19
1.20370370,17.10000000,5
1.38888889,9.90000000,1
1.38888889,11.70000000,2
1.38888889,12.30000000,9
1.38888889,12.90000000,20
1.38888889,13.50000000,32
1.38888889,14.10000000,18
1.38888889,14.70000000,20
1.38888889,15.30000000,16
1.38888889,15.90000000,17
1.38888889,16.50000000,5
1.38888889,17.10000000,4
1.38888889,17.70000000,3
1.57407407,10.50000000,2
1.57407407,11.10000000,1
1.57407407,11.70000000,4
1.57407407,12.30000000,15
1.57407407,12.90000000,17
1.57407407,13.50000000,17
1.57407407,14.10000000,13
1.57407407,14.70000000,18
1.57407407,15.30000000,16
1.57407407,15.90000000,8
1.57407407,16.50000000,1
1.57407407,17.10000000,4
1.75925926,9.90000000,3
1.75925926,10.50000000,4
1.75925926,11.10000000,2
1.75925926,11.70000000,3
1.75925926,12.30000000,3
1.75925926,12.90000000,18
1.75925926,13.50000000,22
1.75925926,14.10000000,17
1.75925926,14.70000000,6
1.75925926,15.90000000,3
1.75925926,16.50000000,1
1.94444444,9.90000000,3
1.94444444,10.50000000,1
1.94444444,11.70000000,2
1.94444444,12.30000000,6
1.94444444,12.90000000,17
1.94444444,13.50000000,10
1.94444444,14.10000000,20
1.94444444,14.70000000,9
1.94444444,15.30000000,5
1.94444444,15.90000000,1
1.94444444,16.50000000,3
2.12962963,10.50000000,1
2.12962963,11.10000000,4
2.12962963,11.70000000,5
2.12962963,12.30000000,2
2.12962963,12.90000000,8
2.12962963,13.50000000,10
2.12962963,14.10000000,5
2.12962963,14.70000000,2
2.12962963,15.30000000,2
2.12962963,16.50000000,1
2.12962963,17.10000000,1
2.31481481,10.50000000,1
2.31481481,11.10000000,2
2.31481481,11.70000000,6
2.31481481,12.30000000,1
2.31481481,12.90000000,4
2.31481481,13.50000000,1
2.31481481,14.10000000,4
2.31481481,15.30000000,3
2.31481481,15.90000000,1
2.31481481,17.10000000,1
2.50000000,11.10000000,1
2.50000000,11.70000000,7
2.50000000,12.30000000,4
2.50000000,12.90000000,2
2.50000000,14.10000000,1
2.50000000,14.70000000,1
2.50000000,15.30000000,1
2.50000000,15.90000000,1
2.50000000,16.50000000,2
2.50000000,17.10000000,2
2.50000000,17.70000000,1
2.68518519,9.30000000,1
2.68518519,9.90000000,1
2.68518519,10.50000000,4
2.68518519,11.10000000,3
2.68518519,11.70000000,9
2.68518519,12.30000000,4
2.68518519,12.90000000,1
2.68518519,13.50000000,1
2.68518519,14.10000000,1
