panel,series,category,value,unit,note
A,field retained,metal + CN,1,binary,L0 State
A,field retained,metal + CN,1,binary,L1 ShapeID
A,field retained,metal + CN,1,binary,L2 TopoID
A,field retained,metal + CN,1,binary,L3 ConnID
A,field retained,ligand payload,1,binary,L0 State
A,field retained,ligand payload,1,binary,L1 ShapeID
A,field retained,ligand payload,1,binary,L2 TopoID
A,field retained,ligand payload,1,binary,L3 ConnID
A,field retained,oxidation state,1,binary,L0 State
A,field retained,oxidation state,1,binary,L1 ShapeID
A,field retained,oxidation state,0,binary,L2 TopoID
A,field retained,oxidation state,0,binary,L3 ConnID
A,field retained,d-electron count,1,binary,L0 State
A,field retained,d-electron count,0,binary,L1 ShapeID
A,field retained,d-electron count,0,binary,L2 TopoID
A,field retained,d-electron count,0,binary,L3 ConnID
A,field retained,best-shape label,1,binary,L0 State
A,field retained,best-shape label,1,binary,L1 ShapeID
A,field retained,best-shape label,1,binary,L2 TopoID
A,field retained,best-shape label,0,binary,L3 ConnID
A,field retained,shape / $\Delta$ bins + boundary,1,binary,L0 State
A,field retained,shape / $\Delta$ bins + boundary,1,binary,L1 ShapeID
A,field retained,shape / $\Delta$ bins + boundary,0,binary,L2 TopoID
A,field retained,shape / $\Delta$ bins + boundary,0,binary,L3 ConnID
A,field retained,cis / trans / fac–mer signature,1,binary,L0 State
A,field retained,cis / trans / fac–mer signature,1,binary,L1 ShapeID
A,field retained,cis / trans / fac–mer signature,0,binary,L2 TopoID
A,field retained,cis / trans / fac–mer signature,0,binary,L3 ConnID
A,field retained,exact CShM + donor-site map,1,binary,L0 State
A,field retained,exact CShM + donor-site map,0,binary,L1 ShapeID
A,field retained,exact CShM + donor-site map,0,binary,L2 TopoID
A,field retained,exact CShM + donor-site map,0,binary,L3 ConnID
B,mean pairwise agreement,L0,11.226683,percent,3491 corrected families
B,mean pairwise agreement,L1,83.514677,percent,3491 corrected families
B,mean pairwise agreement,L2,96.627950,percent,3491 corrected families
B,mean pairwise agreement,L3,97.370813,percent,3491 corrected families
B,complete concordance,L0,10.197651,percent,356/3491
B,complete concordance,L1,81.266113,percent,2837/3491
B,complete concordance,L2,95.989688,percent,3351/3491
B,complete concordance,L3,96.791750,percent,3379/3491
C,XEYVEC,XEYVEC,6.918371232079441,S(Td),Td; yellow C2/c
C,XEYVEC,XEYVEC,11.764741731531167,S(SP),Td; yellow C2/c
C,XEYVEC,XEYVEC01,11.843055979522857,S(Td),SP; green P-1
C,XEYVEC,XEYVEC01,6.823632197892317,S(SP),SP; green P-1
C,XEYVEC,XEYVEC02,7.419001472909977,S(Td),Td; yellow C2/c
C,XEYVEC,XEYVEC02,11.144443516074775,S(SP),Td; yellow C2/c
C,XEYVEC,XEYVEC03,11.84788137862971,S(Td),SP; green P-1
C,XEYVEC,XEYVEC03,6.819712325307487,S(SP),SP; green P-1
C,XEYVEC,XEYVEC04,7.495256149011058,S(Td),Td; yellow C2/c
C,XEYVEC,XEYVEC04,11.053105589102975,S(SP),Td; yellow C2/c
C,XEYVEC hierarchy,L0,5,identities,corrected coordinate-space CShM scan
C,XEYVEC hierarchy,L1,2,identities,corrected coordinate-space CShM scan
C,XEYVEC hierarchy,L2,2,identities,corrected coordinate-space CShM scan
C,XEYVEC hierarchy,L3,1,identities,corrected coordinate-space CShM scan
D,identity diversity,metric IDs,36552,IDs,CR-PLS/2
D,identity diversity,split metric IDs,23587,IDs,exactly two stereo IDs
D,identity diversity,stereo IDs,60139,IDs,CR-PLS/2
D,MID-to-SID split by CN,CN 2,0,split metric IDs,1041 total MIDs; 0.000000% split
D,MID-to-SID split by CN,CN 3,559,split metric IDs,812 total MIDs; 68.842365% split
D,MID-to-SID split by CN,CN 4,5722,split metric IDs,9209 total MIDs; 62.134868% split
D,MID-to-SID split by CN,CN 5,7918,split metric IDs,9915 total MIDs; 79.858800% split
D,MID-to-SID split by CN,CN 6,9388,split metric IDs,15575 total MIDs; 60.276083% split
D,entry pairing,Sohncke,0,entries,1759 state-bearing; 0.000000%
D,entry pairing,not flagged Sohncke,7721,entries,9189 state-bearing; 84.024377%
D,shape pairing,L,0,metric IDs,1041 total; 0.000000%
D,shape pairing,Oh,9036,metric IDs,15041 total; 60.075793%
D,shape pairing,SP,357,metric IDs,922 total; 38.720174%
D,shape pairing,SPY,4143,metric IDs,5731 total; 72.291049%
D,shape pairing,TBP,3775,metric IDs,4184 total; 90.224665%
D,shape pairing,TP,559,metric IDs,812 total; 68.842365%
D,shape pairing,TPr,352,metric IDs,534 total; 65.917603%
D,shape pairing,Td,5365,metric IDs,8287 total; 64.739954%
