subset,model,seed,target,n_folds,n_graph_groups,n_pairs,n_member_records,true_abs_delta_mean,pair_delta_mae,pair_concordance_ties_half,pair_tie_fraction
CONTEXT_EXACT,visnet_3d,11,dipole_moment,5,49,65,111,2.5225984615384616,0.7287237185082068,1.0,0.0
CONTEXT_EXACT,visnet_3d,11,hl_gap_ev,5,65,102,156,0.25193741989339213,0.2487738521023539,0.4117647058823529,0.0
CONTEXT_EXACT,visnet_3d,22,dipole_moment,5,49,65,111,2.5225984615384616,0.650692781055157,0.9692307692307692,0.0
CONTEXT_EXACT,visnet_3d,22,hl_gap_ev,5,65,102,156,0.25193741989339213,0.2442557479429547,0.6568627450980392,0.0
CONTEXT_EXACT,visnet_3d,33,dipole_moment,5,49,65,111,2.5225984615384616,0.6627223496363714,0.9846153846153847,0.0
CONTEXT_EXACT,visnet_3d,33,hl_gap_ev,5,65,102,156,0.25193741989339213,0.2710765509045777,0.46078431372549017,0.0
G0,visnet_3d,11,dipole_moment,5,296,433,681,4.6915588914549655,0.7978202323384979,0.9884526558891455,0.0
G0,visnet_3d,11,hl_gap_ev,5,283,419,660,0.2715871695184367,0.2562413011181329,0.5322195704057279,0.0
G0,visnet_3d,22,dipole_moment,5,296,433,681,4.6915588914549655,0.8592220536115263,0.9792147806004619,0.0
G0,visnet_3d,22,hl_gap_ev,5,283,419,660,0.2715871695184367,0.26855866476719575,0.6133651551312649,0.0
G0,visnet_3d,33,dipole_moment,5,296,433,681,4.6915588914549655,0.7035673126194273,0.9815242494226328,0.0
G0,visnet_3d,33,hl_gap_ev,5,283,419,660,0.2715871695184367,0.26491836191103235,0.5727923627684964,0.0
S1,visnet_3d,11,dipole_moment,5,251,355,572,4.949423661971831,0.7169562470857861,0.9915492957746479,0.0
S1,visnet_3d,11,hl_gap_ev,5,242,353,565,0.2702129197266346,0.24823817570995252,0.5297450424929179,0.0
S1,visnet_3d,22,dipole_moment,5,251,355,572,4.949423661971831,0.7076423830521275,0.9774647887323944,0.0
S1,visnet_3d,22,hl_gap_ev,5,242,353,565,0.2702129197266346,0.26437810207331375,0.623229461756374,0.0
S1,visnet_3d,33,dipole_moment,5,251,355,572,4.949423661971831,0.7031193762421944,0.9830985915492958,0.0
S1,visnet_3d,33,hl_gap_ev,5,242,353,565,0.2702129197266346,0.26461889542597794,0.5524079320113314,0.0
S2,visnet_3d,11,dipole_moment,5,118,160,272,3.2333893750000002,0.6087757545948028,0.99375,0.0
S2,visnet_3d,11,hl_gap_ev,5,138,197,322,0.2382764345985533,0.2208981012167197,0.49746192893401014,0.0
S2,visnet_3d,22,dipole_moment,5,118,160,272,3.2333893750000002,0.6086184736061095,0.975,0.0
S2,visnet_3d,22,hl_gap_ev,5,138,197,322,0.2382764345985533,0.2284568376219343,0.6446700507614214,0.0
S2,visnet_3d,33,dipole_moment,5,118,160,272,3.2333893750000002,0.631704366877079,0.975,0.0
S2,visnet_3d,33,hl_gap_ev,5,138,197,322,0.2382764345985533,0.24207358727635703,0.5025380710659898,0.0
S3,visnet_3d,11,dipole_moment,5,32,45,74,2.394751111111111,0.6375848287200928,1.0,0.0
S3,visnet_3d,11,hl_gap_ev,5,34,66,89,0.2761832015848788,0.2928935847389449,0.3181818181818182,0.0
S3,visnet_3d,22,dipole_moment,5,32,45,74,2.394751111111111,0.5787009555731879,0.9777777777777777,0.0
S3,visnet_3d,22,hl_gap_ev,5,34,66,89,0.2761832015848788,0.2877023089988151,0.6212121212121212,0.0
S3,visnet_3d,33,dipole_moment,5,32,45,74,2.394751111111111,0.5637119314744738,0.9777777777777777,0.0
S3,visnet_3d,33,hl_gap_ev,5,34,66,89,0.2761832015848788,0.3223743880585687,0.36363636363636365,0.0
