mol_id,cn,reference_a,reference_b,S_reference_a,S_reference_b,best_shape,best_cshm,second_shape,shape_margin,boundary_margin_lt_1
ABAFOZ,4,SP,Td,1.1586660958970745,24.94176901661779,SP,1.1586660958970745,Td,23.783102920720715,False
ABAFUF,4,SP,Td,1.1660816878593148,24.67046478278283,SP,1.1660816878593148,Td,23.504383094923515,False
ABAGAM,4,SP,Td,0.2528721054278039,30.54638591879369,SP,0.2528721054278039,Td,30.293513813365884,False
ABAMIA,4,SP,Td,0.5154575652674687,33.52895543216695,SP,0.5154575652674687,Td,33.013497866899485,False
ABEFIZ,4,SP,Td,35.94690365851126,8.605934163763909,Td,8.605934163763909,SP,27.340969494747352,False
ABEPAA,4,SP,Td,0.7423900340610359,29.41170277253528,SP,0.7423900340610359,Td,28.669312738474243,False
ABEPEE,4,SP,Td,0.4784280364729831,33.04909314787546,SP,0.4784280364729831,Td,32.57066511140248,False
ABETEH,4,SP,Td,18.623193593034657,6.265703564911052,Td,6.265703564911052,SP,12.357490028123603,False
ABETIL,4,SP,Td,19.155606880329056,6.472403990761296,Td,6.472403990761296,SP,12.68320288956776,False
ABETUZ,4,SP,Td,2.0464701775884797,27.937660048994157,SP,2.0464701775884797,Td,25.891189871405675,False
ABEVAH,4,SP,Td,1.6073178693261974,31.480428843533016,SP,1.6073178693261974,Td,29.873110974206817,False
ABEVEL,4,SP,Td,1.66127115952256,31.59040250337496,SP,1.66127115952256,Td,29.9291313438524,False
ABICUK,4,SP,Td,1.1156234775088798,30.646471853319223,SP,1.1156234775088798,Td,29.530848375810343,False
ABIDIB,4,SP,Td,0.0337225809991481,33.35249824044546,SP,0.0337225809991481,Td,33.31877565944632,False
ABIFAV,4,SP,Td,0.0353608205766804,33.35577725918627,SP,0.0353608205766804,Td,33.32041643860959,False
ABIFEA,4,SP,Td,31.107477483444693,1.5900918616791198,Td,1.5900918616791198,SP,29.517385621765573,False
ABIFEZ,4,SP,Td,0.0259665132246077,33.34557042847259,SP,0.0259665132246077,Td,33.31960391524798,False
ABIPIK,4,SP,Td,0.0513422049272821,33.188947451929394,SP,0.0513422049272821,Td,33.137605247002114,False
ABIQUY,4,SP,Td,26.892929787466077,3.89360352915396,Td,3.89360352915396,SP,22.999326258312117,False
ABIWUD,4,SP,Td,0.2674920943902243,33.429258791794304,SP,0.2674920943902243,Td,33.16176669740408,False
ABODUS,4,SP,Td,30.54539551447439,0.4256862577797317,Td,0.4256862577797317,SP,30.11970925669466,False
ABOFAZ,4,SP,Td,0.3589783529599424,29.666029734965807,SP,0.3589783529599424,Td,29.307051382005863,False
ABOFUW,4,SP,Td,2.525378320527332,35.01605708084645,SP,2.525378320527332,Td,32.49067876031912,False
ABOJIO,4,SP,Td,0.4540087472543183,33.07766493005609,SP,0.4540087472543183,Td,32.62365618280177,False
ABOSAP,4,SP,Td,1.747876742317453,21.67045438289831,SP,1.747876742317453,Td,19.922577640580855,False
ABOXIY,4,SP,Td,1.4940313697583476,28.53540084312091,SP,1.4940313697583476,Td,27.041369473362565,False
ABOZOH,4,SP,Td,27.52753031772532,1.4213961587352113,Td,1.4213961587352113,SP,26.10613415899011,False
ABUCAC,4,SP,Td,0.186828358431398,32.85917394284237,SP,0.186828358431398,Td,32.67234558441097,False
ABUDOS,4,SP,Td,19.419122945991937,40.32293724004236,SP,19.419122945991937,Td,20.90381429405042,False
ABUVUP,4,SP,Td,0.1349994405903591,33.42107889152989,SP,0.1349994405903591,Td,33.28607945093953,False
ABUWEZ,4,SP,Td,0.122892000505073,33.41416176542981,SP,0.122892000505073,Td,33.291269764924735,False
ABUXIF,4,SP,Td,30.012197329034805,2.327827569339935,Td,2.327827569339935,SP,27.68436975969487,False
ACAPDA,4,SP,Td,0.1520122005421498,31.064944267635838,SP,0.1520122005421498,Td,30.912932067093685,False
ACAPIH,4,SP,Td,21.236906410706187,4.239392617189509,Td,4.239392617189509,SP,16.997513793516678,False
ACASOO,4,SP,Td,0.0203019244433824,32.186769771389635,SP,0.0203019244433824,Td,32.166467846946254,False
ACAWOR,4,SP,Td,1.0065974069584964,33.99526987323146,SP,1.0065974069584964,Td,32.98867246627296,False
ACEJUP,4,SP,Td,1.6336104923057662,28.96019113300628,SP,1.6336104923057662,Td,27.32658064070051,False
ACEKAU,4,SP,Td,9.76023832573784,32.59485532654461,SP,9.76023832573784,Td,22.834617000806773,False
ACEMEC,4,SP,Td,0.5252989850781595,33.29784273930775,SP,0.5252989850781595,Td,32.77254375422959,False
ACEQAA,4,SP,Td,0.3148595461348968,33.366638040168574,SP,0.3148595461348968,Td,33.05177849403368,False
ACEWIO,4,SP,Td,0.646888694869062,33.76181028072866,SP,0.646888694869062,Td,33.1149215858596,False
ACIFEY,4,SP,Td,31.53945707693448,2.257135655235653,Td,2.257135655235653,SP,29.28232142169883,False
ACITUB,4,SP,Td,0.7384244425473836,33.82221058181261,SP,0.7384244425473836,Td,33.08378613926523,False
